YEAR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,regional_AGB_demand_per_population_total,regional_smallholder_share_in_percent
2018,0,2287150,457430,343073,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.52,57.03
2019,0,2315245,463049,347287,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,11964.99,56.78
2020,0,2343335,468667,351500,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,12084.64,56.53
2021,0,2367180,473436,355077,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,12205.48,56.28
2022,0,2391025,478205,358654,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,12327.54,56.03
2023,0,2414865,482973,362230,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,12450.81,55.78
2024,0,2438710,487742,365807,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,12575.32,55.53
2025,0,2462555,492511,369383,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,12701.08,55.28
2026,0,2486400,497280,372960,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,12828.09,55.03
2027,0,2510245,502049,376537,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,12956.37,54.78
2028,0,2534085,506817,380113,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,13085.93,54.53
2029,0,2557930,511586,383690,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,13216.79,54.28
2030,0,2581775,516355,387266,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,13348.96,54.03
2031,0,2599785,519957,389968,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,13482.45,53.78
2032,0,2617795,523559,392669,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,13617.27,53.53
2033,0,2635805,527161,395371,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,13753.44,53.28
2034,0,2653820,530764,398073,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,13890.98,53.03
2035,0,2671830,534366,400775,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,14029.89,52.78
2036,0,2689840,537968,403476,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,14170.19,52.53
2037,0,2707850,541570,406178,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,14311.89,52.28
2038,0,2725860,545172,408879,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,14455.01,52.03
2039,0,2743870,548774,411581,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,14599.56,51.78
2040,0,2761880,552376,414282,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,14745.55,51.53
2041,0,2773285,554657,415993,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,14893.01,51.28
2042,0,2784690,556938,417704,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,15041.94,51.03
2043,0,2796090,559218,419414,1282,0,0,0,0,0,0,0,0,0,0,0,0,0,15192.36,50.78
2044,0,2807495,561499,421124,1295,0,0,0,0,0,0,0,0,0,0,0,0,0,15344.28,50.53
2045,0,2818895,563779,422834,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,15497.73,50.28
2046,0,2830300,566060,424545,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,15652.7,50.03
2047,0,2841705,568341,426256,1335,0,0,0,0,0,0,0,0,0,0,0,0,0,15809.23,49.78
2048,0,2853105,570621,427966,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,15967.32,49.53
2049,0,2864510,572902,429677,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,16127,49.28
2050,0,2875910,575182,431387,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,16288.26,49.03
2051,0,2880610,576122,432092,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,16451.15,48.78
2052,0,2885310,577062,432797,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,16615.66,48.53
2053,0,2890010,578002,433502,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,16781.82,48.28
2054,0,2894710,578942,434207,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,16949.63,48.03
2055,0,2899410,579882,434912,1445,0,0,0,0,0,0,0,0,0,0,0,0,0,17119.13,47.78
2056,0,2904105,580821,435616,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,17290.32,47.53
2057,0,2908805,581761,436321,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,17463.22,47.28
2058,0,2913505,582701,437026,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,17637.86,47.03
2059,0,2918205,583641,437731,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,17814.24,46.78
2060,0,2922905,584581,438436,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,17992.38,46.53
2061,0,2922790,584558,438419,1534,0,0,0,0,0,0,0,0,0,0,0,0,0,18172.3,46.28
2062,0,2922670,584534,438401,1549,0,0,0,0,0,0,0,0,0,0,0,0,0,18354.02,46.03
2063,0,2922555,584511,438383,1565,0,0,0,0,0,0,0,0,0,0,0,0,0,18537.56,45.78
2064,0,2922440,584488,438366,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,18722.94,45.53
2065,0,2922325,584465,438349,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,18910.17,45.28
2066,0,2922205,584441,438331,1612,0,0,0,0,0,0,0,0,0,0,0,0,0,19099.27,45.03
2067,0,2922090,584418,438314,1628,0,0,0,0,0,0,0,0,0,0,0,0,0,19290.26,44.78
2068,0,2921975,584395,438296,1645,0,0,0,0,0,0,0,0,0,0,0,0,0,19483.17,44.53
2069,0,2921860,584372,438279,1661,0,0,0,0,0,0,0,0,0,0,0,0,0,19678,44.28
2070,0,2921745,584349,438262,1678,0,0,0,0,0,0,0,0,0,0,0,0,0,19874.78,44.03
2071,0,2917655,583531,437648,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,20073.53,43.78
2072,0,2913570,582714,437036,1711,0,0,0,0,0,0,0,0,0,0,0,0,0,20274.26,43.53
2073,0,2909485,581897,436423,1729,0,0,0,0,0,0,0,0,0,0,0,0,0,20477,43.28
2074,0,2905400,581080,435810,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,20681.77,43.03
2075,0,2901315,580263,435197,1763,0,0,0,0,0,0,0,0,0,0,0,0,0,20888.59,42.78
2076,0,2897230,579446,434585,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,21097.48,42.53
2077,0,2893145,578629,433972,1799,0,0,0,0,0,0,0,0,0,0,0,0,0,21308.45,42.28
2078,0,2889060,577812,433359,1817,0,0,0,0,0,0,0,0,0,0,0,0,0,21521.54,42.03
2079,0,2884975,576995,432746,1835,0,0,0,0,0,0,0,0,0,0,0,0,0,21736.75,41.78
2080,0,2880890,576178,432134,1853,0,0,0,0,0,0,0,0,0,0,0,0,0,21954.12,41.53
2081,0,2873235,574647,430985,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,22173.66,41.28
2082,0,2865580,573116,429837,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,22395.4,41.03
2083,0,2857920,571584,428688,1909,0,0,0,0,0,0,0,0,0,0,0,0,0,22619.35,40.78
2084,0,2850265,570053,427540,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,22845.55,40.53
2085,0,2842610,568522,426392,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,23074,40.28
2086,0,2834955,566991,425243,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,23304.74,40.03
2087,0,2827295,565459,424094,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,23537.79,39.78
2088,0,2819640,563928,422946,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,23773.17,39.53
2089,0,2811985,562397,421798,2027,0,0,0,0,0,0,0,0,0,0,0,0,0,24010.9,39.28
2090,0,2804330,560866,420650,2047,0,0,0,0,0,0,0,0,0,0,0,0,0,24251.01,39.03
2091,0,2794665,558933,419200,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,24493.52,38.78
2092,0,2785000,557000,417750,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,24738.45,38.53
2093,0,2775335,555067,416300,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,24985.84,38.28
2094,0,2765675,553135,414851,2130,0,0,0,0,0,0,0,0,0,0,0,0,0,25235.7,38.03
2095,0,2756010,551202,413402,2152,0,0,0,0,0,0,0,0,0,0,0,0,0,25488.05,37.78
2096,0,2746345,549269,411952,2173,0,0,0,0,0,0,0,0,0,0,0,0,0,25742.93,37.53
2097,0,2736685,547337,410503,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,26000.36,37.28
2098,0,2727020,545404,409053,2217,0,0,0,0,0,0,0,0,0,0,0,0,0,26260.37,37.03
2099,0,2717357,543471,407603,2239,0,0,0,0,0,0,0,0,0,0,0,0,0,26522.97,36.78
2100,1,2707693,541539,406154,2261,0,0,0,0,0,0,0,0,0,0,0,0,0,26788.2,36.53
