"LPB-basic-LUT01 log file" ECUADOR Esmeraldas SSP2-4.5 "enforced_conservation scenario"
time step,year,minimum area built-up demand,mean area built-up demand,maximum area built-up demand
1,2018,52628,52628,52628
2,2019,53275,53275,53275
3,2020,53922,53922,53922
4,2021,54471,54471,54471
5,2022,55020,55020,55020
6,2023,55569,55569,55569
7,2024,56118,56118,56118
8,2025,56667,56667,56667
9,2026,57216,57216,57216
10,2027,57765,57765,57765
11,2028,58314,58314,58314
12,2029,58863,58863,58863
13,2030,59412,59412,59412
14,2031,59827,59827,59827
15,2032,60242,60242,60242
16,2033,60657,60657,60657
17,2034,61072,61072,61072
18,2035,61487,61487,61487
19,2036,61902,61902,61902
20,2037,62317,62317,62317
21,2038,62732,62732,62732
22,2039,63147,63147,63147
23,2040,63562,63562,63562
24,2041,63825,63825,63825
25,2042,64088,64088,64088
26,2043,64351,64351,64351
27,2044,64614,64614,64614
28,2045,64877,64877,64877
29,2046,65140,65140,65140
30,2047,65403,65403,65403
31,2048,65666,65666,65666
32,2049,65929,65929,65929
33,2050,66192,66192,66192
34,2051,66301,66301,66301
35,2052,66410,66410,66410
36,2053,66519,66519,66519
37,2054,66628,66628,66628
38,2055,66737,66737,66737
39,2056,66846,66846,66846
40,2057,66955,66955,66955
41,2058,67064,67064,67064
42,2059,67173,67173,67173
43,2060,67282,67282,67282
44,2061,67280,67280,67280
45,2062,67280,67280,67280
46,2063,67280,67280,67280
47,2064,67280,67280,67280
48,2065,67280,67280,67280
49,2066,67280,67280,67280
50,2067,67280,67280,67280
51,2068,67280,67280,67280
52,2069,67280,67280,67280
53,2070,67280,67280,67280
54,2071,67188,67188,67188
55,2072,67188,67188,67188
56,2073,67188,67188,67188
57,2074,67188,67188,67188
58,2075,67188,67188,67188
59,2076,67188,67188,67188
60,2077,67188,67188,67188
61,2078,67188,67188,67188
62,2079,67187,67187,67187
63,2080,67187,67187,67187
64,2081,67104,67104,67104
65,2082,67103,67103,67103
66,2083,67103,67103,67103
67,2084,67102,67102,67102
68,2085,67102,67102,67102
69,2086,67101,67101,67101
70,2087,67101,67101,67101
71,2088,67100,67100,67100
72,2089,67100,67100,67100
73,2090,67099,67099,67099
74,2091,67051,67051,67051
75,2092,67050,67050,67050
76,2093,67049,67049,67049
77,2094,67048,67048,67048
78,2095,67047,67047,67047
79,2096,67047,67047,67047
80,2097,67046,67046,67046
81,2098,67045,67045,67045
82,2099,67044,67044,67044
83,2100,67043,67043,67043

PLEASE NOTE:
LPB-basic demand built-up pixels range over number of samples.
Only the maximum value will be applied in mplc to depict potential maximum anthropogenic impact.
