"LPB-basic-LUT17 log file" ECUADOR Esmeraldas SSP2-4.5 "enforced_conservation scenario"
time step,year,minimum area deforested due to demand in input biomass,mean area deforested due to demand in input biomass,maximum area deforested due to demand in input biomass
1,2018,29,30,30
2,2019,34,38,38
3,2020,22,36,46
4,2021,21,34,39
5,2022,20,32,40
6,2023,19,30,35
7,2024,20,29,35
8,2025,17,27,33
9,2026,31,40,46
10,2027,29,43,53
11,2028,23,42,59
12,2029,21,43,67
13,2030,22,38,52
14,2031,21,35,46
15,2032,21,32,45
16,2033,22,31,44
17,2034,29,45,57
18,2035,31,44,61
19,2036,24,44,66
20,2037,27,45,68
21,2038,26,40,53
22,2039,25,36,45
23,2040,23,34,48
24,2041,26,35,49
25,2042,39,80,166
26,2043,40,78,190
27,2044,36,62,102
28,2045,32,63,125
29,2046,37,56,128
30,2047,35,54,97
31,2048,31,56,93
32,2049,34,52,121
33,2050,31,58,107
34,2051,25,47,85
35,2052,20,39,99
36,2053,18,36,73
37,2054,17,32,71
38,2055,17,29,62
39,2056,13,28,50
40,2057,8,25,38
41,2058,18,29,49
42,2059,16,28,53
43,2060,14,24,38
44,2061,10,20,32
45,2062,9,20,34
46,2063,11,19,30
47,2064,10,19,33
48,2065,10,19,29
49,2066,9,21,42
50,2067,11,22,39
51,2068,8,18,35
52,2069,11,19,35
53,2070,9,19,31
54,2071,8,15,27
55,2072,5,14,30
56,2073,6,14,24
57,2074,7,16,25
58,2075,5,15,26
59,2076,7,13,23
60,2077,5,12,18
61,2078,4,11,19
62,2079,4,11,16
63,2080,2,10,16
64,2081,4,9,20
65,2082,4,10,18
66,2083,4,9,16
67,2084,4,9,14
68,2085,3,7,12
69,2086,4,7,9
70,2087,4,7,12
71,2088,4,7,11
72,2089,3,6,10
73,2090,3,6,12
74,2091,4,6,9
75,2092,3,5,7
76,2093,2,5,7
77,2094,3,5,8
78,2095,2,5,8
79,2096,3,4,6
80,2097,2,4,7
81,2098,2,4,7
82,2099,2,5,7
83,2100,2,4,6

PLEASE NOTE:
"LPB-basic modelled deforestation BEFORE conversion, these are values for the REMAINING deforested plots in the environment"
