"LPB-basic-abandoned-types log file" ECUADOR Esmeraldas SSP2-4.5 "enforced_conservation scenario"
time step,year,mean LUT14,mean LUT15,mean LUT16,mean LUT18
1,2018,4,0,0,0
2,2019,0,0,0,0
3,2020,0,0,0,0
4,2021,0,0,0,0
5,2022,0,0,0,0
6,2023,0,0,0,0
7,2024,0,0,0,0
8,2025,0,0,0,0
9,2026,0,0,0,0
10,2027,0,0,0,0
11,2028,0,0,0,0
12,2029,0,0,0,0
13,2030,0,0,0,0
14,2031,0,0,0,0
15,2032,0,0,0,0
16,2033,0,0,0,0
17,2034,0,0,0,3335
18,2035,0,0,0,14366
19,2036,0,0,0,3336
20,2037,0,0,0,3327
21,2038,0,0,0,3322
22,2039,0,0,0,3332
23,2040,0,0,0,3327
24,2041,0,0,0,3339
25,2042,0,0,0,11543
26,2043,0,0,0,3342
27,2044,0,0,0,3345
28,2045,0,0,0,3361
29,2046,0,0,0,3376
30,2047,0,0,0,3360
31,2048,0,0,0,3355
32,2049,0,0,0,3352
33,2050,0,0,0,3357
34,2051,0,0,0,3375
35,2052,0,0,0,3374
36,2053,0,0,0,3364
37,2054,0,0,0,3360
38,2055,0,0,0,3367
39,2056,0,0,0,3357
40,2057,0,0,0,3388
41,2058,0,0,0,3378
42,2059,0,0,0,48
43,2060,0,0,0,45
44,2061,4,0,0,43
45,2062,4,0,0,43
46,2063,2,0,0,41
47,2064,3,0,0,40
48,2065,4,0,44,39
49,2066,5,0,43,38
50,2067,6,0,43,37
51,2068,5,0,43,37
52,2069,4,0,47,36
53,2070,4,0,45,35
54,2071,0,0,45,34
55,2072,0,0,45,33
56,2073,0,0,1,32
57,2074,0,0,1,31
58,2075,0,0,1,30
59,2076,0,0,1,29
60,2077,0,0,1,28
61,2078,0,0,1,28
62,2079,0,0,1,27
63,2080,0,0,1,27
64,2081,0,0,1,27
65,2082,0,0,1,27
66,2083,0,0,1,27
67,2084,0,0,1,27
68,2085,0,0,1,27
69,2086,0,0,1,27
70,2087,0,0,1,27
71,2088,0,0,1,27
72,2089,0,0,1,27
73,2090,0,0,1,27
74,2091,0,0,1,27
75,2092,0,0,1,27
76,2093,0,0,1,27
77,2094,0,0,1,27
78,2095,0,0,1,27
79,2096,0,0,1,27
80,2097,0,0,1,27
81,2098,0,0,1,27
82,2099,0,0,1,27
83,2100,0,0,1,27

PLEASE NOTE:
LPB-basic mean abandoned types value over number of samples.
Used in mplc module for simulation of abandoned types in corrective allocation.
