"LPB-basic-LUT01 log file" ECUADOR Esmeraldas SSP2-4.5 "no_conservation scenario"
time step,year,minimum area built-up demand,mean area built-up demand,maximum area built-up demand
1,2025,56667,56667,56667
2,2026,57216,57216,57216
3,2027,57765,57765,57765
4,2028,58314,58314,58314
5,2029,58863,58863,58863
6,2030,59412,59412,59412
7,2031,59827,59827,59827
8,2032,60242,60242,60242
9,2033,60657,60657,60657
10,2034,61072,61072,61072
11,2035,61487,61487,61487
12,2036,61902,61902,61902
13,2037,62317,62317,62317
14,2038,62732,62732,62732
15,2039,63147,63147,63147
16,2040,63562,63562,63562
17,2041,63825,63825,63825
18,2042,64088,64088,64088
19,2043,64351,64351,64351
20,2044,64614,64614,64614
21,2045,64877,64877,64877
22,2046,65140,65140,65140
23,2047,65403,65403,65403
24,2048,65666,65666,65666
25,2049,65929,65929,65929
26,2050,66192,66192,66192
27,2051,66301,66301,66301
28,2052,66410,66410,66410
29,2053,66519,66519,66519
30,2054,66628,66628,66628
31,2055,66737,66737,66737
32,2056,66846,66846,66846
33,2057,66955,66955,66955
34,2058,67064,67064,67064
35,2059,67173,67173,67173
36,2060,67282,67282,67282
37,2061,67280,67280,67280
38,2062,67280,67280,67280
39,2063,67280,67280,67280
40,2064,67280,67280,67280
41,2065,67280,67280,67280
42,2066,67280,67280,67280
43,2067,67280,67280,67280
44,2068,67280,67280,67280
45,2069,67280,67280,67280
46,2070,67280,67280,67280
47,2071,67188,67188,67188
48,2072,67188,67188,67188
49,2073,67188,67188,67188
50,2074,67188,67188,67188
51,2075,67188,67188,67188
52,2076,67188,67188,67188
53,2077,67188,67188,67188
54,2078,67188,67188,67188
55,2079,67187,67187,67187
56,2080,67187,67187,67187
57,2081,67104,67104,67104
58,2082,67103,67103,67103
59,2083,67103,67103,67103
60,2084,67102,67102,67102
61,2085,67102,67102,67102
62,2086,67101,67101,67101
63,2087,67101,67101,67101
64,2088,67100,67100,67100
65,2089,67100,67100,67100
66,2090,67099,67099,67099
67,2091,67051,67051,67051
68,2092,67050,67050,67050
69,2093,67049,67049,67049
70,2094,67048,67048,67048
71,2095,67047,67047,67047
72,2096,67047,67047,67047
73,2097,67046,67046,67046
74,2098,67045,67045,67045
75,2099,67044,67044,67044
76,2100,67043,67043,67043

PLEASE NOTE:
LPB-basic demand built-up pixels range over number of samples.
Only the maximum value will be applied in mplc to depict potential maximum anthropogenic impact.
