"LPB-basic-LUT05 log file" ECUADOR Esmeraldas SSP2-4.5 "no_conservation scenario"
time step,year,minimum area plantation,mean area plantation,maximum area plantation
1,2025,114784,114929,115107
2,2026,109935,110145,110400
3,2027,105103,105334,105569
4,2028,100299,100555,100784
5,2029,95496,95763,96058
6,2030,90671,90967,91336
7,2031,85866,86196,86597
8,2032,81083,81404,81846
9,2033,76291,76619,77035
10,2034,71530,71813,72217
11,2035,66655,67020,67374
12,2036,61836,62218,62633
13,2037,57014,57431,57863
14,2038,52339,52666,53044
15,2039,47532,47883,48365
16,2040,42714,43084,43536
17,2041,37893,38286,38677
18,2042,33127,33491,33892
19,2043,28440,28717,29023
20,2044,23616,23934,24289
21,2045,18903,19148,19456
22,2046,14102,14354,14622
23,2047,9331,9570,9777
24,2048,4653,4783,4935
25,2049,0,0,0
26,2050,1334,1334,1334
27,2051,1334,1334,1334
28,2052,1334,1334,1334
29,2053,1334,1334,1334
30,2054,1334,1334,1334
31,2055,1334,1334,1334
32,2056,1333,1334,1334
33,2057,1333,1334,1334
34,2058,1333,1334,1334
35,2059,1333,1334,1334
36,2060,1333,1334,1334
37,2061,1333,1334,1334
38,2062,1333,1334,1334
39,2063,1333,1334,1334
40,2064,1333,1334,1334
41,2065,1333,1334,1334
42,2066,1333,1334,1334
43,2067,1333,1334,1334
44,2068,1333,1334,1334
45,2069,1333,1334,1334
46,2070,1333,1334,1334
47,2071,1333,1334,1334
48,2072,1333,1334,1334
49,2073,1333,1334,1334
50,2074,1333,1334,1334
51,2075,0,0,0
52,2076,35,35,35
53,2077,35,35,35
54,2078,35,35,35
55,2079,35,35,35
56,2080,35,35,35
57,2081,35,35,35
58,2082,35,35,35
59,2083,35,35,35
60,2084,35,35,35
61,2085,35,35,35
62,2086,35,35,35
63,2087,35,35,35
64,2088,35,35,35
65,2089,35,35,35
66,2090,35,35,35
67,2091,35,35,35
68,2092,35,35,35
69,2093,35,35,35
70,2094,35,35,35
71,2095,35,35,35
72,2096,35,35,35
73,2097,35,35,35
74,2098,35,35,35
75,2099,35,35,35
76,2100,35,35,35

PLEASE NOTE:
LPB-basic plantation pixels range over number of samples.
Only the maximum value will be applied in mplc to depict potential maximum anthropogenic impact.
