"LPB-basic-LUT17 log file" ECUADOR Esmeraldas SSP2-4.5 "no_conservation scenario"
time step,year,minimum area deforested due to demand in input biomass,mean area deforested due to demand in input biomass,maximum area deforested due to demand in input biomass
1,2025,85,86,86
2,2026,54,66,70
3,2027,57,69,80
4,2028,54,68,79
5,2029,51,65,73
6,2030,51,65,77
7,2031,46,53,62
8,2032,43,52,58
9,2033,84,148,281
10,2034,81,121,239
11,2035,81,121,237
12,2036,78,114,257
13,2037,77,121,193
14,2038,73,118,219
15,2039,73,107,155
16,2040,72,101,154
17,2041,70,105,171
18,2042,69,99,179
19,2043,63,98,153
20,2044,65,91,136
21,2045,58,80,111
22,2046,60,80,110
23,2047,56,75,114
24,2048,47,68,96
25,2049,51,73,111
26,2050,44,63,103
27,2051,45,60,84
28,2052,42,58,92
29,2053,39,53,74
30,2054,38,53,90
31,2055,30,48,67
32,2056,29,46,63
33,2057,35,50,69
34,2058,32,45,64
35,2059,34,45,58
36,2060,34,46,64
37,2061,32,44,65
38,2062,37,47,61
39,2063,34,45,61
40,2064,33,44,62
41,2065,38,48,61
42,2066,35,46,62
43,2067,35,45,59
44,2068,34,45,71
45,2069,33,44,60
46,2070,35,47,68
47,2071,33,43,55
48,2072,31,42,68
49,2073,31,43,56
50,2074,34,44,68
51,2075,31,39,51
52,2076,30,40,49
53,2077,29,39,49
54,2078,31,40,57
55,2079,29,37,48
56,2080,28,35,53
57,2081,28,36,47
58,2082,27,36,55
59,2083,27,35,49
60,2084,27,33,41
61,2085,25,33,42
62,2086,27,33,45
63,2087,26,32,42
64,2088,26,32,40
65,2089,25,31,40
66,2090,24,31,39
67,2091,23,30,39
68,2092,21,29,40
69,2093,23,29,36
70,2094,21,28,35
71,2095,21,27,33
72,2096,21,26,32
73,2097,21,25,31
74,2098,20,25,31
75,2099,20,24,32
76,2100,21,25,30

PLEASE NOTE:
"LPB-basic modelled deforestation BEFORE conversion, these are values for the REMAINING deforested plots in the environment"
