"LPB-basic-abandoned-types log file" ECUADOR Esmeraldas SSP2-4.5 "no_conservation scenario"
time step,year,mean LUT14,mean LUT15,mean LUT16,mean LUT18
1,2025,0,0,0,4797
2,2026,0,0,0,4784
3,2027,0,0,0,4812
4,2028,0,0,0,4779
5,2029,0,0,0,4792
6,2030,0,0,0,4797
7,2031,0,0,0,4771
8,2032,0,0,0,4792
9,2033,0,0,0,4786
10,2034,0,0,0,4807
11,2035,0,0,0,4793
12,2036,0,0,0,4803
13,2037,0,0,0,4788
14,2038,0,0,0,4762
15,2039,0,0,0,4782
16,2040,0,0,0,4799
17,2041,0,0,0,4807
18,2042,0,0,0,4810
19,2043,0,0,0,4798
20,2044,0,0,0,4813
21,2045,0,0,0,4822
22,2046,0,0,0,4835
23,2047,0,0,0,4830
24,2048,0,0,0,4839
25,2049,0,0,0,4839
26,2050,0,0,0,37
27,2051,0,0,0,35
28,2052,0,0,0,34
29,2053,0,0,0,33
30,2054,0,0,0,32
31,2055,0,0,0,32
32,2056,0,0,0,31
33,2057,0,0,0,30
34,2058,0,0,0,30
35,2059,0,0,0,29
36,2060,0,0,0,28
37,2061,3,0,0,28
38,2062,3,0,0,27
39,2063,4,0,0,27
40,2064,5,0,0,27
41,2065,4,0,44,27
42,2066,4,0,40,26
43,2067,4,0,40,26
44,2068,3,0,40,26
45,2069,4,0,47,25
46,2070,3,0,42,25
47,2071,0,0,42,25
48,2072,0,0,42,24
49,2073,0,0,1,24
50,2074,0,0,1,23
51,2075,0,0,1,1357
52,2076,0,0,1,35
53,2077,0,0,1,33
54,2078,0,0,1,32
55,2079,0,0,1,31
56,2080,0,0,1,30
57,2081,0,0,1,29
58,2082,0,0,1,28
59,2083,0,0,1,27
60,2084,0,0,1,27
61,2085,0,0,1,26
62,2086,0,0,1,25
63,2087,0,0,1,24
64,2088,0,0,1,24
65,2089,0,0,1,23
66,2090,0,0,1,22
67,2091,0,0,1,22
68,2092,0,0,1,21
69,2093,0,0,1,21
70,2094,0,0,1,20
71,2095,0,0,1,20
72,2096,0,0,1,20
73,2097,0,0,1,20
74,2098,0,0,1,20
75,2099,0,0,1,19
76,2100,0,0,1,19

PLEASE NOTE:
LPB-basic mean abandoned types value over number of samples.
Used in mplc module for simulation of abandoned types in corrective allocation.
