"LPB-basic-agricultural-types log file" ECUADOR Esmeraldas SSP2-4.5 "no_conservation scenario"
time step,year,maximum LUT02,maximum LUT03,maximum LUT04
1,2025,12068,325173,299882
2,2026,12126,328183,301671
3,2027,12184,331152,303411
4,2028,12244,334148,305160
5,2029,12300,337166,306921
6,2030,12363,340273,308754
7,2031,12421,343341,310536
8,2032,12480,346432,312327
9,2033,12543,349618,314194
10,2034,12600,352760,316010
11,2035,12663,355927,317837
12,2036,12722,359120,319674
13,2037,12786,362410,321585
14,2038,12844,365654,323444
15,2039,12908,368927,325319
16,2040,12971,372299,327264
17,2041,13033,375622,329159
18,2042,13095,378974,331068
19,2043,13157,382355,332984
20,2044,13221,385836,334982
21,2045,13286,389272,336926
22,2046,13350,392734,338882
23,2047,13416,396306,340917
24,2048,13479,399826,342900
25,2049,13545,403373,344893
26,2050,13608,406951,346896
27,2051,13676,410642,348988
28,2052,13743,414280,351020
29,2053,13809,417947,353065
30,2054,13878,421731,355195
31,2055,13943,425460,357267
32,2056,14011,429221,359353
33,2057,14079,433008,361451
34,2058,14149,436924,363640
35,2059,14215,440777,365764
36,2060,14284,444663,367906
37,2061,14270,446007,367938
38,2062,14258,447357,367974
39,2063,14244,448702,368006
40,2064,14229,450049,368035
41,2065,14215,451301,367991
42,2066,14200,452649,368024
43,2067,14186,453995,368057
44,2068,14172,455343,368090
45,2069,14157,456591,368044
46,2070,14143,457940,368076
47,2071,14151,460005,368685
48,2072,14157,461981,369216
49,2073,14166,464066,369834
50,2074,14174,466163,370457
51,2075,14179,468169,371003
52,2076,14189,470288,371636
53,2077,14196,472317,372195
54,2078,14206,474457,372839
55,2079,14210,476507,373406
56,2080,14219,478567,373981
57,2081,14248,481398,375152
58,2082,14278,484260,376342
59,2083,14305,487054,377469
60,2084,14335,489987,378700
61,2085,14365,492845,379867
62,2086,14399,495850,381140
63,2087,14428,498784,382352
64,2088,14459,501749,383582
65,2089,14492,504756,384834
66,2090,14523,507800,386110
67,2091,14570,511329,387745
68,2092,14617,514918,389420
69,2093,14665,518570,391132
70,2094,14713,522285,392879
71,2095,14761,525946,394579
72,2096,14811,529673,396319
73,2097,14865,533588,398191
74,2098,14918,537453,400014
75,2099,14971,541387,401882
76,2100,15022,545269,403698

PLEASE NOTE:
LPB-basic maximum agricultural types value over number of samples.
Used only in the yield approach in mplc module for simulation of agricultrual types in corrective allocation.
