"LPB-basic-LUT05 log file" ECUADOR Esmeraldas SSP2-4.5 "weak_conservation scenario"
time step,year,minimum area plantation,mean area plantation,maximum area plantation
1,2018,119725,119725,119725
2,2019,119725,119725,119725
3,2020,119725,119725,119725
4,2021,119725,119725,119725
5,2022,119725,119725,119725
6,2023,119725,119725,119725
7,2024,119725,119725,119725
8,2025,119725,119725,119725
9,2026,119725,119725,119725
10,2027,119725,119725,119725
11,2028,119725,119725,119725
12,2029,119725,119725,119725
13,2030,119725,119725,119725
14,2031,119725,119725,119725
15,2032,119725,119725,119725
16,2033,119725,119725,119725
17,2034,116291,116391,116520
18,2035,101893,102025,102151
19,2036,98501,98690,98859
20,2037,95084,95363,95575
21,2038,91738,92035,92292
22,2039,88342,88702,88923
23,2040,85018,85376,85588
24,2041,81685,82043,82246
25,2042,70225,70510,70753
26,2043,66865,67190,67498
27,2044,63582,63873,64325
28,2045,60158,60545,60898
29,2046,56905,57206,57581
30,2047,53574,53882,54241
31,2048,50208,50558,50828
32,2049,46866,47240,47521
33,2050,43589,43919,44212
34,2051,40267,40583,40940
35,2052,36928,37251,37541
36,2053,33678,33929,34184
37,2054,30384,30613,30883
38,2055,27118,27290,27438
39,2056,23862,23979,24101
40,2057,20530,20639,20766
41,2058,17309,17309,17309
42,2059,17309,17309,17309
43,2060,17309,17309,17309
44,2061,17309,17309,17309
45,2062,17309,17309,17309
46,2063,17309,17309,17309
47,2064,17309,17309,17309
48,2065,17309,17309,17309
49,2066,17309,17309,17309
50,2067,17309,17309,17309
51,2068,17309,17309,17309
52,2069,17309,17309,17309
53,2070,17309,17309,17309
54,2071,17309,17309,17309
55,2072,17309,17309,17309
56,2073,17309,17309,17309
57,2074,17309,17309,17309
58,2075,17309,17309,17309
59,2076,17309,17309,17309
60,2077,17309,17309,17309
61,2078,17309,17309,17309
62,2079,17309,17309,17309
63,2080,17309,17309,17309
64,2081,17309,17309,17309
65,2082,17309,17309,17309
66,2083,17309,17309,17309
67,2084,17309,17309,17309
68,2085,17309,17309,17309
69,2086,17309,17309,17309
70,2087,17309,17309,17309
71,2088,17309,17309,17309
72,2089,17309,17309,17309
73,2090,17309,17309,17309
74,2091,17309,17309,17309
75,2092,17309,17309,17309
76,2093,17309,17309,17309
77,2094,17309,17309,17309
78,2095,17309,17309,17309
79,2096,17309,17309,17309
80,2097,17309,17309,17309
81,2098,17309,17309,17309
82,2099,17309,17309,17309
83,2100,17309,17309,17309

PLEASE NOTE:
LPB-basic plantation pixels range over number of samples.
Only the maximum value will be applied in mplc to depict potential maximum anthropogenic impact.
