"LPB-basic-forest-conversion log file" ECUADOR Esmeraldas SSP2-4.5 "weak_conservation scenario"
time step,year,total,LUT01,LUT02,LUT03,LUT04,LUT05
1,2018,0,0,0,0,0,0
2,2019,4510,518,1,2770,1499,0
3,2020,4849,348,1,3064,1647,0
4,2021,5008,177,0,3180,1674,0
5,2022,4970,138,2,3150,1694,0
6,2023,5120,136,0,3235,1754,0
7,2024,5106,106,0,3344,1709,0
8,2025,5172,86,0,3421,1723,0
9,2026,5338,70,0,3519,1795,0
10,2027,5239,51,0,3464,1747,0
11,2028,5234,43,0,3463,1753,0
12,2029,5198,33,0,3486,1761,0
13,2030,5338,32,0,3593,1836,0
14,2031,5133,21,0,3365,1786,0
15,2032,5207,20,0,3446,1796,0
16,2033,5374,23,0,3556,1869,0
17,2034,5282,32,0,3503,1820,0
18,2035,4060,30,0,2926,1509,0
19,2036,1364,29,0,1335,419,0
20,2037,2468,38,1,1257,1395,0
21,2038,2971,18,0,1588,1409,0
22,2039,3116,22,0,1720,1397,0
23,2040,3262,28,0,1845,1505,0
24,2041,3128,14,0,1709,1450,0
25,2042,3061,11,0,1662,1466,0
26,2043,1199,14,0,569,863,0
27,2044,2694,5,0,1278,1623,0
28,2045,3080,12,0,1557,1618,0
29,2046,3190,14,0,1526,1657,0
30,2047,3291,12,0,1559,1756,0
31,2048,3166,13,0,1485,1766,0
32,2049,3181,20,0,1469,1746,0
33,2050,3283,22,0,1545,1813,0
34,2051,3463,9,0,1563,1916,0
35,2052,3232,6,0,1385,1857,0
36,2053,3300,4,0,1395,1924,0
37,2054,3430,4,0,1548,1992,0
38,2055,3228,4,0,1380,1930,0
39,2056,3278,5,0,1343,1977,0
40,2057,3313,6,0,1421,2015,0
41,2058,3514,4,0,1480,2126,0
42,2059,3361,5,0,1320,2078,0
43,2060,6109,8,0,3992,2143,0
44,2061,1359,0,0,1327,32,0
45,2062,1374,0,0,1338,36,0
46,2063,1355,0,0,1323,32,0
47,2064,1340,0,0,1313,29,0
48,2065,1229,0,0,1229,0,0
49,2066,1357,0,0,1325,33,0
50,2067,1356,0,0,1323,33,0
51,2068,1358,0,0,1325,33,0
52,2069,1221,0,0,1221,0,0
53,2070,1357,0,0,1325,32,0
54,2071,2654,0,0,2047,609,0
55,2072,2481,0,0,1954,531,0
56,2073,2673,0,0,2060,618,0
57,2074,2686,0,0,2069,623,0
58,2075,2527,0,0,1985,546,0
59,2076,2729,0,0,2097,633,0
60,2077,2561,0,0,2005,559,0
61,2078,2748,0,0,2118,644,0
62,2079,2583,0,0,2026,567,0
63,2080,2608,0,0,2043,575,0
64,2081,3974,0,0,2821,1171,0
65,2082,4032,0,0,2853,1190,0
66,2083,3898,0,0,2779,1127,0
67,2084,4133,0,0,2922,1231,0
68,2085,3986,0,0,2837,1167,0
69,2086,4236,0,0,2987,1273,0
70,2087,4102,0,0,2915,1212,0
71,2088,4153,0,0,2951,1230,0
72,2089,4225,0,0,3002,1252,0
73,2090,4285,0,0,3029,1276,0
74,2091,5138,0,0,3534,1635,0
75,2092,5252,0,0,3594,1675,0
76,2093,5366,0,0,3655,1712,0
77,2094,5462,0,0,3719,1747,0
78,2095,5364,0,0,3666,1700,0
79,2096,5473,0,0,3745,1740,0
80,2097,5831,0,0,3959,1872,0
81,2098,5732,0,0,3910,1823,0
82,2099,5849,0,0,3984,1868,0
83,2100,5744,0,0,3928,1816,0

PLEASE NOTE:
LPB-basic maximum forest conversion over number of samples.
Only for comparison to mplc module extracted.
