time_step,demand
1,9377.039
2,9060.72
3,8754.267
4,8457.398
5,8169.89
6,7891.469
7,7604.818
8,7328.228
9,7061.363
10,6803.912
11,6555.533
12,6315.934
13,6084.819
14,5861.902
15,5646.905
16,5439.559
17,5227.154
18,5022.958
19,4826.65
20,4637.945
21,4456.536
22,4282.161
23,4114.541
24,3953.412
25,3798.539
26,3649.669
27,3498.442
28,3353.471
29,3214.5
30,3081.279
31,2953.572
32,2831.145
33,2713.791
34,2601.294
35,2493.455
36,2390.079
37,2287.216
38,2188.776
39,2094.576
40,2004.43
41,1918.164
42,1835.608
43,1756.608
44,1681.007
45,1608.661
46,1539.428
47,1471.17
48,1405.938
49,1343.597
50,1284.017
51,1227.076
52,1172.659
53,1120.652
54,1070.95
55,1023.45
56,978.054
57,933.511
58,890.99
59,850.398
60,811.651
61,774.664
62,739.357
63,705.653
64,673.481
65,642.772
66,613.458
67,585.056
68,557.962
69,532.117
70,507.463
71,483.945
72,461.511
73,440.113
74,419.701
75,400.23
76,381.658
