time_step,pixels,percentage
1,1056991,62.97
2,1057037,62.98
3,1057037,62.98
4,1057037,62.98
5,1057037,62.98
6,1057037,62.98
7,1057445,63.0
8,1057445,63.0
9,1057445,63.0
10,1057445,63.0
11,1057445,63.0
12,1057445,63.0
13,1057563,63.01
14,1057563,63.01
15,1057801,63.02
16,1057801,63.02
17,1057801,63.02
18,1057801,63.02
19,1057869,63.03
20,1057869,63.03
21,1057869,63.03
22,1057869,63.03
23,1057940,63.03
24,1057940,63.03
25,1058074,63.04
26,1059335,63.11
27,1059405,63.12
28,1059405,63.12
29,1059405,63.12
30,1059522,63.12
31,1059522,63.12
32,1059522,63.12
33,1059522,63.12
34,1059522,63.12
35,1059522,63.12
36,1059522,63.12
37,1059522,63.12
38,1059522,63.12
39,1059522,63.12
40,1059522,63.12
41,1059522,63.12
42,1059522,63.12
43,1059522,63.12
44,1059522,63.12
45,1059522,63.12
46,1059522,63.12
47,1059522,63.12
48,1059522,63.12
49,1059522,63.12
50,1059522,63.12
51,1059522,63.12
52,1059522,63.12
53,1059522,63.12
54,1059522,63.12
55,1059522,63.12
56,1059522,63.12
57,1059522,63.12
58,1059522,63.12
59,1059522,63.12
60,1059522,63.12
61,1059522,63.12
62,1059522,63.12
63,1059522,63.12
64,1059522,63.12
65,1059522,63.12
66,1059522,63.12
67,1059522,63.12
68,1059522,63.12
69,1059522,63.12
70,1059522,63.12
71,1059522,63.12
72,1059522,63.12
73,1059522,63.12
74,1059522,63.12
75,1059522,63.12
76,1059522,63.12
