time_step,LUT_code,demand
1,LUT01,56667
1,LUT02,12068
1,LUT03,325173
1,LUT04,299882
1,LUT05,44769
2,LUT01,57216
2,LUT02,12126
2,LUT03,328183
2,LUT04,301671
2,LUT05,38899
3,LUT01,57765
3,LUT02,12184
3,LUT03,331152
3,LUT04,303411
3,LUT05,33800
4,LUT01,58314
4,LUT02,12244
4,LUT03,334148
4,LUT04,305160
4,LUT05,29369
5,LUT01,58863
5,LUT02,12300
5,LUT03,337166
5,LUT04,306921
5,LUT05,25518
6,LUT01,59412
6,LUT02,12363
6,LUT03,340273
6,LUT04,308754
6,LUT05,22173
7,LUT01,59827
7,LUT02,12421
7,LUT03,343341
7,LUT04,310536
7,LUT05,19266
8,LUT01,60242
8,LUT02,12480
8,LUT03,346432
8,LUT04,312327
8,LUT05,16740
9,LUT01,60657
9,LUT02,12543
9,LUT03,349618
9,LUT04,314194
9,LUT05,14546
10,LUT01,61072
10,LUT02,12600
10,LUT03,352760
10,LUT04,316010
10,LUT05,12639
11,LUT01,61487
11,LUT02,12663
11,LUT03,355927
11,LUT04,317837
11,LUT05,10982
12,LUT01,61902
12,LUT02,12722
12,LUT03,359120
12,LUT04,319674
12,LUT05,9542
13,LUT01,62317
13,LUT02,12786
13,LUT03,362410
13,LUT04,321585
13,LUT05,8291
14,LUT01,62732
14,LUT02,12844
14,LUT03,365654
14,LUT04,323444
14,LUT05,7204
15,LUT01,63147
15,LUT02,12908
15,LUT03,368927
15,LUT04,325319
15,LUT05,6260
16,LUT01,63562
16,LUT02,12971
16,LUT03,372299
16,LUT04,327264
16,LUT05,5439
17,LUT01,63825
17,LUT02,13033
17,LUT03,375622
17,LUT04,329159
17,LUT05,4726
18,LUT01,64088
18,LUT02,13095
18,LUT03,378974
18,LUT04,331068
18,LUT05,4106
19,LUT01,64351
19,LUT02,13157
19,LUT03,382355
19,LUT04,332984
19,LUT05,3568
20,LUT01,64614
20,LUT02,13221
20,LUT03,385836
20,LUT04,334982
20,LUT05,3100
21,LUT01,64877
21,LUT02,13286
21,LUT03,389272
21,LUT04,336926
21,LUT05,2694
22,LUT01,65140
22,LUT02,13350
22,LUT03,392734
22,LUT04,338882
22,LUT05,2341
23,LUT01,65403
