time_step,LUT_code,demand
1,LUT01,52628
1,LUT02,11668
1,LUT03,305071
1,LUT04,287945
1,LUT05,119725
2,LUT01,53275
2,LUT02,11727
2,LUT03,307916
2,LUT04,289657
2,LUT05,104029
3,LUT01,53922
3,LUT02,11781
3,LUT03,310727
3,LUT04,291331
3,LUT05,90391
4,LUT01,54471
4,LUT02,11837
4,LUT03,313557
4,LUT04,293008
4,LUT05,78541
5,LUT01,55020
5,LUT02,11895
5,LUT03,316414
5,LUT04,294699
5,LUT05,68244
6,LUT01,55569
6,LUT02,11954
6,LUT03,319350
6,LUT04,296453
6,LUT05,59297
7,LUT01,56118
7,LUT02,12010
7,LUT03,322249
7,LUT04,298162
7,LUT05,51523
8,LUT01,56667
8,LUT02,12068
8,LUT03,325173
8,LUT04,299882
8,LUT05,44769
9,LUT01,57216
9,LUT02,12126
9,LUT03,328183
9,LUT04,301671
9,LUT05,38899
10,LUT01,57765
10,LUT02,12184
10,LUT03,331152
10,LUT04,303411
10,LUT05,33800
11,LUT01,58314
11,LUT02,12244
11,LUT03,334148
11,LUT04,305160
11,LUT05,29369
12,LUT01,58863
12,LUT02,12300
12,LUT03,337166
12,LUT04,306921
12,LUT05,25518
13,LUT01,59412
13,LUT02,12363
13,LUT03,340273
13,LUT04,308754
13,LUT05,22173
14,LUT01,59827
14,LUT02,12421
14,LUT03,343341
14,LUT04,310536
14,LUT05,19266
15,LUT01,60242
15,LUT02,12480
15,LUT03,346432
15,LUT04,312327
15,LUT05,16740
16,LUT01,60657
16,LUT02,12543
16,LUT03,349618
16,LUT04,314194
16,LUT05,14546
17,LUT01,61072
17,LUT02,12600
17,LUT03,352760
17,LUT04,316010
17,LUT05,12639
18,LUT01,61487
18,LUT02,12663
18,LUT03,355927
18,LUT04,317837
18,LUT05,10982
19,LUT01,61902
19,LUT02,12722
19,LUT03,359120
19,LUT04,319674
19,LUT05,9542
20,LUT01,62317
20,LUT02,12786
20,LUT03,362410
20,LUT04,321585
20,LUT05,8291
21,LUT01,62732
21,LUT02,12844
21,LUT03,365654
21,LUT04,323444
21,LUT05,7204
22,LUT01,63147
22,LUT02,12908
22,LUT03,368927
22,LUT04,325319
22,LUT05,6260
23,LUT01,63562
23,LUT02,12971
23,LUT03,372299
23,LUT04,327264
23,LUT05,5439
24,LUT01,63825
24,LUT02,13033
24,LUT03,375622
24,LUT04,329159
24,LUT05,4726
25,LUT01,64088
25,LUT02,13095
25,LUT03,378974
25,LUT04,331068
25,LUT05,4106
26,LUT01,64351
26,LUT02,13157
26,LUT03,382355
26,LUT04,332984
26,LUT05,3568
27,LUT01,64614
27,LUT02,13221
27,LUT03,385836
27,LUT04,334982
27,LUT05,3100
28,LUT01,64877
28,LUT02,13286
28,LUT03,389272
28,LUT04,336926
28,LUT05,2694
29,LUT01,65140
29,LUT02,13350
29,LUT03,392734
29,LUT04,338882
29,LUT05,2341
30,LUT01,65403
30,LUT02,13416
30,LUT03,396306
30,LUT04,340917
30,LUT05,2034
31,LUT01,65666
31,LUT02,13479
31,LUT03,399826
31,LUT04,342900
31,LUT05,1767
32,LUT01,65929
32,LUT02,13545
32,LUT03,403373
32,LUT04,344893
32,LUT05,1535
33,LUT01,66192
33,LUT02,13608
33,LUT03,406951
33,LUT04,346896
33,LUT05,1334
34,LUT01,66301
34,LUT02,13676
34,LUT03,410642
34,LUT04,348988
34,LUT05,1159
35,LUT01,66410
35,LUT02,13743
35,LUT03,414280
35,LUT04,351020
35,LUT05,1007
36,LUT01,66519
36,LUT02,13809
36,LUT03,417947
36,LUT04,353065
36,LUT05,875
37,LUT01,66628
37,LUT02,13878
37,LUT03,421731
37,LUT04,355195
37,LUT05,760
