time_step,LUT_code,initial_pixels,simulated_pixels,to_LUT01,to_LUT02,to_LUT03,to_LUT04,to_LUT05,to_LUT08
1,LUT01,4475,52628,4475,0,0,0,0,0
1,LUT02,213933,11668,11761,11668,103887,86613,0,0
1,LUT03,212966,305071,,,,,,
1,LUT04,213113,287945,,,,,,
1,LUT05,125944,119725,6219,0,0,0,119725,0
1,LUT06,4384,4029,355,0,0,0,0,0
1,LUT07,147,137,10,0,0,0,0,0
1,LUT08,65548,365363,2503,0,0,0,0,63045
1,LUT09,762091,456414,3359,0,0,0,0,302318
1,LUT10,951,936,15,0,0,0,0,0
1,LUT11,18751,18476,275,0,0,0,0,0
1,LUT12,54551,54458,93,0,0,0,0,0
1,LUT13,1634,1634,0,0,0,0,0,0
