time_step,population
1,492511
2,497280
3,502049
4,506817
5,511586
6,516355
7,519957
8,523559
9,527161
10,530764
11,534366
12,537968
13,541570
14,545172
15,548774
16,552376
17,554657
18,556938
19,559218
20,561499
21,563779
22,566060
23,568341
24,570621
25,572902
26,575182
27,576122
28,577062
29,578002
30,578942
31,579882
32,580821
33,581761
34,582701
35,583641
36,584581
37,584558
38,584534
39,584511
40,584488
41,584465
42,584441
43,584418
44,584395
45,584372
46,584349
47,583531
48,582714
49,581897
50,581080
51,580263
52,579446
53,578629
54,577812
55,576995
56,576178
57,574647
58,573116
59,571584
60,570053
61,568522
62,566991
63,565459
64,563928
65,562397
66,560866
67,558933
68,557000
69,555067
70,553135
71,551202
72,549269
73,547337
74,545404
75,543471
76,541539
