time_step,smallholder_share
1,259899
2,261669
3,263375
4,265066
5,266741
6,268453
7,269494
8,270523
9,271594
10,272601
11,273596
12,274579
13,275605
14,276566
15,277516
16,278508
17,278771
18,279026
19,279274
20,279571
21,279804
22,280030
23,280306
24,280518
25,280722
26,280919
27,280514
28,280049
29,279580
30,279166
31,278692
32,278214
33,277733
34,277308
35,276821
36,276332
37,276321
38,276310
39,276299
40,276288
41,276219
42,276207
43,276196
44,276186
45,276116
46,276105
47,275310
48,274459
49,273667
50,272876
51,272028
52,271239
53,270394
54,269608
55,268765
56,267923
57,266407
58,264895
59,263329
60,261826
61,260270
62,258775
63,257228
64,255685
65,254148
66,252615
67,250682
68,248757
69,246839
70,244929
71,242970
72,241020
73,239132
74,237197
75,235269
76,233296
