time_step,LUT_code,pixels
1,LUT01,0
1,LUT02,0
1,LUT03,0
1,LUT04,0
1,LUT05,0
2,LUT01,90
2,LUT02,0
2,LUT03,3147
2,LUT04,1525
2,LUT05,0
3,LUT01,49
3,LUT02,0
3,LUT03,3027
3,LUT04,1453
3,LUT05,1354
4,LUT01,90
4,LUT02,0
4,LUT03,2930
4,LUT04,1183
4,LUT05,2214
5,LUT01,133
5,LUT02,0
5,LUT03,2993
5,LUT04,1358
5,LUT05,2372
6,LUT01,155
6,LUT02,0
6,LUT03,3129
6,LUT04,1411
6,LUT05,2595
7,LUT01,144
7,LUT02,0
7,LUT03,2842
7,LUT04,1187
7,LUT05,2915
8,LUT01,170
8,LUT02,0
8,LUT03,2871
8,LUT04,1284
8,LUT05,3758
9,LUT01,141
9,LUT02,0
9,LUT03,2889
9,LUT04,1580
9,LUT05,2982
10,LUT01,171
10,LUT02,0
10,LUT03,2338
10,LUT04,1498
10,LUT05,3150
11,LUT01,136
11,LUT02,0
11,LUT03,2199
11,LUT04,1298
11,LUT05,3300
12,LUT01,132
12,LUT02,0
12,LUT03,1874
12,LUT04,1671
12,LUT05,3784
13,LUT01,128
13,LUT02,2
13,LUT03,2131
13,LUT04,1604
13,LUT05,3245
14,LUT01,161
14,LUT02,0
14,LUT03,2187
14,LUT04,1718
14,LUT05,2936
15,LUT01,133
15,LUT02,0
15,LUT03,2612
15,LUT04,1552
15,LUT05,2825
16,LUT01,17
16,LUT02,0
16,LUT03,2867
16,LUT04,1875
16,LUT05,3003
17,LUT01,105
17,LUT02,0
17,LUT03,1067
17,LUT04,2093
17,LUT05,3184
18,LUT01,195
18,LUT02,1
18,LUT03,1782
18,LUT04,1008
18,LUT05,3339
19,LUT01,236
19,LUT02,1
19,LUT03,3096
19,LUT04,608
19,LUT05,3462
20,LUT01,241
20,LUT02,2
20,LUT03,3636
20,LUT04,1044
20,LUT05,2197
21,LUT01,244
21,LUT02,1
21,LUT03,3625
21,LUT04,2498
21,LUT05,1195
22,LUT01,245
22,LUT02,2
22,LUT03,3604
22,LUT04,3047
22,LUT05,1027
23,LUT01,242
23,LUT02,7
23,LUT03,3617
23,LUT04,3101
23,LUT05,1008
24,LUT01,234
24,LUT02,5
24,LUT03,3474
24,LUT04,3046
24,LUT05,811
25,LUT01,242
25,LUT02,14
25,LUT03,3296
25,LUT04,3200
25,LUT05,0
26,LUT01,255
26,LUT02,36
26,LUT03,3077
26,LUT04,3261
26,LUT05,820
27,LUT01,72
27,LUT02,34
27,LUT03,3881
27,LUT04,3118
27,LUT05,35
28,LUT01,78
28,LUT02,13
28,LUT03,3782
28,LUT04,2987
28,LUT05,35
29,LUT01,64
29,LUT02,9
29,LUT03,3779
29,LUT04,2920
29,LUT05,43
30,LUT01,69
30,LUT02,13
30,LUT03,3875
30,LUT04,3026
30,LUT05,23
31,LUT01,59
31,LUT02,14
31,LUT03,3785
31,LUT04,2787
31,LUT05,38
32,LUT01,64
32,LUT02,21
32,LUT03,3794
32,LUT04,2871
32,LUT05,49
33,LUT01,65
33,LUT02,22
33,LUT03,3931
33,LUT04,3137
33,LUT05,60
34,LUT01,55
34,LUT02,23
34,LUT03,3925
34,LUT04,3066
34,LUT05,68
35,LUT01,47
35,LUT02,24
35,LUT03,3910
35,LUT04,3129
35,LUT05,53
36,LUT01,44
36,LUT02,29
36,LUT03,3983
36,LUT04,2888
36,LUT05,66
37,LUT01,0
37,LUT02,0
37,LUT03,1272
37,LUT04,255
37,LUT05,23
38,LUT01,1
38,LUT02,0
38,LUT03,1297
38,LUT04,289
38,LUT05,23
39,LUT01,0
39,LUT02,1
39,LUT03,1315
39,LUT04,278
39,LUT05,15
40,LUT01,1
40,LUT02,0
40,LUT03,1304
40,LUT04,298
40,LUT05,25
41,LUT01,1
41,LUT02,0
41,LUT03,1252
41,LUT04,207
41,LUT05,21
42,LUT01,1
42,LUT02,0
42,LUT03,1384
42,LUT04,299
42,LUT05,14
43,LUT01,0
43,LUT02,0
43,LUT03,1402
43,LUT04,300
43,LUT05,31
44,LUT01,2
44,LUT02,0
44,LUT03,1403
44,LUT04,332
44,LUT05,33
45,LUT01,1
45,LUT02,0
45,LUT03,1364
45,LUT04,213
45,LUT05,21
46,LUT01,1
46,LUT02,0
46,LUT03,1405
46,LUT04,311
46,LUT05,22
47,LUT01,0
47,LUT02,1
47,LUT03,2150
47,LUT04,1013
47,LUT05,42
48,LUT01,1
48,LUT02,0
48,LUT03,2003
48,LUT04,972
48,LUT05,46
49,LUT01,1
49,LUT02,1
49,LUT03,2285
49,LUT04,1085
49,LUT05,33
50,LUT01,0
50,LUT02,2
50,LUT03,2282
50,LUT04,1063
50,LUT05,65
51,LUT01,1
51,LUT02,5
51,LUT03,2211
51,LUT04,1008
51,LUT05,0
52,LUT01,8
52,LUT02,5
52,LUT03,2381
52,LUT04,1248
52,LUT05,1
53,LUT01,1
53,LUT02,2
53,LUT03,2256
53,LUT04,1196
53,LUT05,0
54,LUT01,1
54,LUT02,1
54,LUT03,2301
54,LUT04,1310
54,LUT05,1
55,LUT01,1
55,LUT02,1
55,LUT03,2243
55,LUT04,1218
55,LUT05,0
56,LUT01,1
56,LUT02,5
56,LUT03,2276
56,LUT04,1237
56,LUT05,0
57,LUT01,1
57,LUT02,7
57,LUT03,2997
57,LUT04,1988
57,LUT05,2
58,LUT01,3
58,LUT02,5
58,LUT03,2535
58,LUT04,1971
58,LUT05,0
59,LUT01,1
59,LUT02,1
59,LUT03,2448
59,LUT04,1951
59,LUT05,0
60,LUT01,3
60,LUT02,6
60,LUT03,2516
60,LUT04,2110
60,LUT05,1
61,LUT01,2
61,LUT02,2
61,LUT03,2489
61,LUT04,2058
61,LUT05,1
62,LUT01,1
62,LUT02,11
62,LUT03,2642
62,LUT04,2141
62,LUT05,0
63,LUT01,1
63,LUT02,9
63,LUT03,2613
63,LUT04,2040
63,LUT05,0
64,LUT01,1
64,LUT02,8
64,LUT03,2636
64,LUT04,2118
64,LUT05,0
65,LUT01,2
65,LUT02,6
65,LUT03,2680
65,LUT04,2129
65,LUT05,0
66,LUT01,1
66,LUT02,8
66,LUT03,2725
66,LUT04,2158
66,LUT05,0
67,LUT01,1
67,LUT02,15
67,LUT03,3139
67,LUT04,2626
67,LUT05,0
68,LUT01,2
68,LUT02,13
68,LUT03,3306
68,LUT04,2722
68,LUT05,0
69,LUT01,2
69,LUT02,17
69,LUT03,3323
69,LUT04,2784
69,LUT05,0
70,LUT01,1
70,LUT02,15
70,LUT03,3368
70,LUT04,2799
70,LUT05,0
71,LUT01,1
71,LUT02,23
71,LUT03,3311
71,LUT04,2844
71,LUT05,0
72,LUT01,1
72,LUT02,22
72,LUT03,3385
72,LUT04,2904
72,LUT05,0
73,LUT01,0
73,LUT02,23
73,LUT03,3414
73,LUT04,3159
73,LUT05,0
74,LUT01,1
74,LUT02,12
74,LUT03,3573
74,LUT04,3134
74,LUT05,0
75,LUT01,1
75,LUT02,24
75,LUT03,3610
75,LUT04,3162
75,LUT05,0
76,LUT01,1
76,LUT02,28
76,LUT03,3443
76,LUT04,3187
76,LUT05,0
