time_step,LUT_code,pixels
1,LUT01,0
1,LUT02,0
1,LUT03,0
1,LUT04,0
1,LUT05,0
2,LUT01,518
2,LUT02,1
2,LUT03,2689
2,LUT04,749
2,LUT05,0
3,LUT01,309
3,LUT02,0
3,LUT03,2827
3,LUT04,1558
3,LUT05,0
4,LUT01,139
4,LUT02,0
4,LUT03,2839
4,LUT04,1654
4,LUT05,0
5,LUT01,119
5,LUT02,0
5,LUT03,2930
5,LUT04,1698
5,LUT05,0
6,LUT01,117
6,LUT02,0
6,LUT03,2966
6,LUT04,1736
6,LUT05,0
7,LUT01,84
7,LUT02,0
7,LUT03,3013
7,LUT04,1741
7,LUT05,0
8,LUT01,68
8,LUT02,0
8,LUT03,3076
8,LUT04,1728
8,LUT05,0
9,LUT01,47
9,LUT02,0
9,LUT03,3228
9,LUT04,1782
9,LUT05,0
10,LUT01,37
10,LUT02,0
10,LUT03,3226
10,LUT04,1695
10,LUT05,0
11,LUT01,24
11,LUT02,0
11,LUT03,3257
11,LUT04,1716
11,LUT05,0
12,LUT01,26
12,LUT02,0
12,LUT03,3274
12,LUT04,1724
12,LUT05,0
13,LUT01,23
13,LUT02,0
13,LUT03,3408
13,LUT04,1774
13,LUT05,0
14,LUT01,17
14,LUT02,0
14,LUT03,3213
14,LUT04,1754
14,LUT05,0
15,LUT01,22
15,LUT02,0
15,LUT03,3282
15,LUT04,1737
15,LUT05,0
16,LUT01,15
16,LUT02,0
16,LUT03,3363
16,LUT04,1821
16,LUT05,0
17,LUT01,16
17,LUT02,0
17,LUT03,3504
17,LUT04,1834
17,LUT05,0
18,LUT01,21
18,LUT02,0
18,LUT03,3174
18,LUT04,1832
18,LUT05,0
19,LUT01,20
19,LUT02,0
19,LUT03,1131
19,LUT04,621
19,LUT05,997
20,LUT01,29
20,LUT02,0
20,LUT03,1887
20,LUT04,560
20,LUT05,1607
21,LUT01,36
21,LUT02,0
21,LUT03,2412
21,LUT04,1484
21,LUT05,1925
22,LUT01,36
22,LUT02,0
22,LUT03,2732
22,LUT04,1906
22,LUT05,2153
23,LUT01,115
23,LUT02,0
23,LUT03,2908
23,LUT04,1882
23,LUT05,2820
24,LUT01,124
24,LUT02,0
24,LUT03,2709
24,LUT04,1740
24,LUT05,2758
25,LUT01,144
25,LUT02,0
25,LUT03,2741
25,LUT04,1835
25,LUT05,2822
26,LUT01,122
26,LUT02,0
26,LUT03,1292
26,LUT04,1112
26,LUT05,2741
27,LUT01,111
27,LUT02,0
27,LUT03,2499
27,LUT04,989
27,LUT05,2915
28,LUT01,137
28,LUT02,1
28,LUT03,2749
28,LUT04,1569
28,LUT05,2597
29,LUT01,115
29,LUT02,0
29,LUT03,3043
29,LUT04,1595
29,LUT05,2339
30,LUT01,145
30,LUT02,0
30,LUT03,3773
30,LUT04,1563
30,LUT05,1961
31,LUT01,194
31,LUT02,0
31,LUT03,2093
31,LUT04,1764
31,LUT05,2610
32,LUT01,34
32,LUT02,0
32,LUT03,2291
32,LUT04,1929
32,LUT05,2846
33,LUT01,73
33,LUT02,1
33,LUT03,3729
33,LUT04,1857
33,LUT05,2152
34,LUT01,87
34,LUT02,2
34,LUT03,4425
34,LUT04,1860
34,LUT05,89
35,LUT01,99
35,LUT02,3
35,LUT03,4544
35,LUT04,1830
35,LUT05,31
36,LUT01,106
36,LUT02,0
36,LUT03,4537
36,LUT04,2286
36,LUT05,69
37,LUT01,99
37,LUT02,8
37,LUT03,4550
37,LUT04,2810
37,LUT05,96
38,LUT01,105
38,LUT02,7
38,LUT03,4402
38,LUT04,3090
38,LUT05,102
39,LUT01,113
39,LUT02,17
39,LUT03,4198
39,LUT04,3104
39,LUT05,70
40,LUT01,109
40,LUT02,21
40,LUT03,4064
40,LUT04,3058
40,LUT05,52
41,LUT01,121
41,LUT02,34
41,LUT03,3888
41,LUT04,3103
41,LUT05,0
42,LUT01,135
42,LUT02,51
42,LUT03,3623
42,LUT04,3184
42,LUT05,0
43,LUT01,106
43,LUT02,24
43,LUT03,3964
43,LUT04,2880
43,LUT05,0
44,LUT01,2
44,LUT02,0
44,LUT03,1437
44,LUT04,348
44,LUT05,0
45,LUT01,2
45,LUT02,0
45,LUT03,1501
45,LUT04,308
45,LUT05,0
46,LUT01,2
46,LUT02,0
46,LUT03,1415
46,LUT04,299
46,LUT05,0
47,LUT01,2
47,LUT02,0
47,LUT03,1391
47,LUT04,268
47,LUT05,0
48,LUT01,1
48,LUT02,0
48,LUT03,1371
48,LUT04,181
48,LUT05,0
49,LUT01,1
49,LUT02,0
49,LUT03,1377
49,LUT04,285
49,LUT05,0
50,LUT01,1
50,LUT02,0
50,LUT03,1394
50,LUT04,251
50,LUT05,0
51,LUT01,1
51,LUT02,0
51,LUT03,1394
51,LUT04,242
51,LUT05,0
52,LUT01,1
52,LUT02,0
52,LUT03,1350
52,LUT04,174
52,LUT05,0
53,LUT01,1
53,LUT02,0
53,LUT03,1500
53,LUT04,250
53,LUT05,0
54,LUT01,3
54,LUT02,6
54,LUT03,2230
54,LUT04,980
54,LUT05,0
55,LUT01,2
55,LUT02,4
55,LUT03,2110
55,LUT04,900
55,LUT05,0
56,LUT01,4
56,LUT02,4
56,LUT03,2259
56,LUT04,969
56,LUT05,0
57,LUT01,0
57,LUT02,3
57,LUT03,2242
57,LUT04,1003
57,LUT05,0
58,LUT01,2
58,LUT02,1
58,LUT03,2191
58,LUT04,951
58,LUT05,0
59,LUT01,2
59,LUT02,3
59,LUT03,2317
59,LUT04,1104
59,LUT05,0
60,LUT01,1
60,LUT02,5
60,LUT03,2186
60,LUT04,1014
60,LUT05,0
61,LUT01,0
61,LUT02,6
61,LUT03,2321
61,LUT04,1165
61,LUT05,0
62,LUT01,0
62,LUT02,1
62,LUT03,2210
62,LUT04,1046
62,LUT05,0
63,LUT01,0
63,LUT02,3
63,LUT03,2124
63,LUT04,1130
63,LUT05,0
64,LUT01,3
64,LUT02,12
64,LUT03,2806
64,LUT04,1937
64,LUT05,0
65,LUT01,2
65,LUT02,16
65,LUT03,2713
65,LUT04,2049
65,LUT05,0
66,LUT01,2
66,LUT02,5
66,LUT03,2672
66,LUT04,2013
66,LUT05,0
67,LUT01,2
67,LUT02,6
67,LUT03,2826
67,LUT04,2182
67,LUT05,0
68,LUT01,2
68,LUT02,9
68,LUT03,2808
68,LUT04,2074
68,LUT05,0
69,LUT01,2
69,LUT02,7
69,LUT03,2925
69,LUT04,2253
69,LUT05,0
70,LUT01,3
70,LUT02,6
70,LUT03,2783
70,LUT04,2113
70,LUT05,0
71,LUT01,1
71,LUT02,9
71,LUT03,2755
71,LUT04,2151
71,LUT05,0
72,LUT01,2
72,LUT02,7
72,LUT03,2880
72,LUT04,2151
72,LUT05,0
73,LUT01,1
73,LUT02,6
73,LUT03,2908
73,LUT04,2198
73,LUT05,0
74,LUT01,1
74,LUT02,14
74,LUT03,3217
74,LUT04,2681
74,LUT05,0
75,LUT01,1
75,LUT02,13
75,LUT03,3198
75,LUT04,2821
75,LUT05,0
76,LUT01,1
76,LUT02,12
76,LUT03,3276
76,LUT04,2981
76,LUT05,0
77,LUT01,2
77,LUT02,3
77,LUT03,3394
77,LUT04,3018
77,LUT05,0
78,LUT01,1
78,LUT02,8
78,LUT03,3573
78,LUT04,2913
78,LUT05,0
79,LUT01,0
79,LUT02,7
79,LUT03,3965
79,LUT04,3101
79,LUT05,0
80,LUT01,0
