time_step,Aspect,pixels
1,prior corrective allocation,821748
1,post corrective allocation,821747
2,prior corrective allocation,818061
2,post corrective allocation,817753
3,prior corrective allocation,813554
3,post corrective allocation,813028
4,prior corrective allocation,809222
4,post corrective allocation,808430
5,prior corrective allocation,804613
5,post corrective allocation,803664
6,prior corrective allocation,800651
6,post corrective allocation,799573
7,prior corrective allocation,797195
7,post corrective allocation,795949
8,prior corrective allocation,792452
8,post corrective allocation,791080
9,prior corrective allocation,787480
9,post corrective allocation,786007
10,prior corrective allocation,782532
10,post corrective allocation,781027
11,prior corrective allocation,777550
11,post corrective allocation,776010
12,prior corrective allocation,772491
12,post corrective allocation,770969
13,prior corrective allocation,767358
13,post corrective allocation,765759
14,prior corrective allocation,762366
14,post corrective allocation,760777
15,prior corrective allocation,757379
15,post corrective allocation,755743
16,prior corrective allocation,752187
16,post corrective allocation,750569
17,prior corrective allocation,747011
17,post corrective allocation,745426
18,prior corrective allocation,743730
18,post corrective allocation,743594
19,prior corrective allocation,743046
19,post corrective allocation,745081
20,prior corrective allocation,741753
20,post corrective allocation,745892
21,prior corrective allocation,740133
21,post corrective allocation,745228
22,prior corrective allocation,738378
22,post corrective allocation,743860
23,prior corrective allocation,736482
23,post corrective allocation,742058
24,prior corrective allocation,734481
24,post corrective allocation,740241
25,prior corrective allocation,734731
25,post corrective allocation,739537
26,prior corrective allocation,734304
26,post corrective allocation,740369
27,prior corrective allocation,733228
27,post corrective allocation,740183
28,prior corrective allocation,731402
28,post corrective allocation,738488
29,prior corrective allocation,728974
29,post corrective allocation,736534
30,prior corrective allocation,726528
30,post corrective allocation,734421
31,prior corrective allocation,724394
31,post corrective allocation,732148
32,prior corrective allocation,724871
32,post corrective allocation,730447
33,prior corrective allocation,723878
33,post corrective allocation,730357
34,prior corrective allocation,723316
34,post corrective allocation,731541
35,prior corrective allocation,722956
35,post corrective allocation,730960
36,prior corrective allocation,721965
36,post corrective allocation,728303
37,prior corrective allocation,720036
37,post corrective allocation,723828
38,prior corrective allocation,717833
38,post corrective allocation,718626
39,prior corrective allocation,715445
39,post corrective allocation,713448
40,prior corrective allocation,712922
40,post corrective allocation,709782
41,prior corrective allocation,710247
41,post corrective allocation,707086
42,prior corrective allocation,707750
42,post corrective allocation,704370
43,prior corrective allocation,703273
43,post corrective allocation,698401
44,prior corrective allocation,702470
44,post corrective allocation,697148
45,prior corrective allocation,701612
45,post corrective allocation,695812
46,prior corrective allocation,700736
46,post corrective allocation,694506
47,prior corrective allocation,699838
47,post corrective allocation,693192
48,prior corrective allocation,699004
48,post corrective allocation,692034
49,prior corrective allocation,697805
49,post corrective allocation,690727
50,prior corrective allocation,696602
50,post corrective allocation,689420
51,prior corrective allocation,695418
51,post corrective allocation,688100
52,prior corrective allocation,694256
52,post corrective allocation,686939
53,prior corrective allocation,692899
53,post corrective allocation,685614
54,prior corrective allocation,690447
54,post corrective allocation,683003
55,prior corrective allocation,688097
55,post corrective allocation,680556
56,prior corrective allocation,685572
56,post corrective allocation,677945
57,prior corrective allocation,683046
57,post corrective allocation,675287
58,prior corrective allocation,680588
58,post corrective allocation,672788
59,prior corrective allocation,677790
59,post corrective allocation,670106
60,prior corrective allocation,674961
60,post corrective allocation,667576
61,prior corrective allocation,671970
61,post corrective allocation,664856
62,prior corrective allocation,669279
62,post corrective allocation,662299
63,prior corrective allocation,666602
63,post corrective allocation,659759
64,prior corrective allocation,662796
64,post corrective allocation,654915
65,prior corrective allocation,658682
65,post corrective allocation,650955
66,prior corrective allocation,654565
66,post corrective allocation,647151
67,prior corrective allocation,650199
67,post corrective allocation,643124
68,prior corrective allocation,646045
68,post corrective allocation,639207
69,prior corrective allocation,641657
69,post corrective allocation,635070
70,prior corrective allocation,637403
70,post corrective allocation,631070
71,prior corrective allocation,633039
71,post corrective allocation,627026
72,prior corrective allocation,628561
72,post corrective allocation,622886
73,prior corrective allocation,623866
73,post corrective allocation,618692
74,prior corrective allocation,618212
74,post corrective allocation,613708
75,prior corrective allocation,612682
75,post corrective allocation,608654
76,prior corrective allocation,606793
76,post corrective allocation,603445
77,prior corrective allocation,600773
77,post corrective allocation,598123
78,prior corrective allocation,595498
78,post corrective allocation,592791
79,prior corrective allocation,590136
79,post corrective allocation,587231
80,prior corrective allocation,584374
80,post corrective allocation,581397
81,prior corrective allocation,578739
81,post corrective allocation,575759
82,prior corrective allocation,572942
82,post corrective allocation,570043
83,prior corrective allocation,566830
83,post corrective allocation,564306
