time_step,class,pixels,percentage
1,degradation_low_net_forest,0,0.0
1,degradation_low_gross_forest,0,0.0
1,degradation_low_gross_minus_net_forest,0,0.0
1,degradation_moderate_net_forest,173,0.0
1,degradation_moderate_gross_forest,173,0.01
1,degradation_moderate_gross_minus_net_forest,0,0.0
1,degradation_severe_net_forest,91584,5.46
1,degradation_severe_gross_forest,91593,5.46
1,degradation_severe_gross_minus_net_forest,9,0.0
1,degradation_absolute_net_forest,0,0.0
1,degradation_absolute_net_disturbed_forest,cannot be calculated in time step 1,cannot be calculated in time step 1
1,degradation_absolute_net_undisturbed_forest,cannot be calculated in time step 1,cannot be calculated in time step 1
1,regeneration_low_net_forest,11565,0.69
1,regeneration_low_gross_forest,11571,0.69
1,regeneration_low_gross_minus_net_forest,6,0.0
1,regeneration_medium_net_forest,23804,1.42
1,regeneration_medium_gross_forest,23820,1.42
1,regeneration_medium_gross_minus_net_forest,16,0.0
1,regeneration_high_net_forest,166560,9.92
1,regeneration_high_gross_forest,166587,9.92
1,regeneration_high_gross_minus_net_forest,27,0.0
1,regeneration_full_net_forest,47942,2.86
1,regeneration_full_gross_forest,47949,2.86
1,regeneration_full_disturbed_net_forest,9861,0.59
1,regeneration_full_undisturbed_net_forest,38081,2.27
1,regeneration_full_disturbed_gross_minus_net_forest,0,0.0
1,regeneration_full_undisturbed_gross_minus_net_forest,7,0.0
2,degradation_low_net_forest,0,0.0
2,degradation_low_gross_forest,0,0.0
2,degradation_low_gross_minus_net_forest,0,0.0
2,degradation_moderate_net_forest,0,0.0
2,degradation_moderate_gross_forest,0,0.0
2,degradation_moderate_gross_minus_net_forest,0,0.0
2,degradation_severe_net_forest,3,0.0
2,degradation_severe_gross_forest,3,0.0
2,degradation_severe_gross_minus_net_forest,0,0.0
2,degradation_absolute_net_forest,0,0.0
2,degradation_absolute_net_disturbed_forest,0,0.0
2,degradation_absolute_net_undisturbed_forest,0,0.0
2,regeneration_low_net_forest,10393,0.62
2,regeneration_low_gross_forest,10487,0.62
2,regeneration_low_gross_minus_net_forest,94,0.01
2,regeneration_medium_net_forest,21869,1.3
2,regeneration_medium_gross_forest,21895,1.3
2,regeneration_medium_gross_minus_net_forest,26,0.0
2,regeneration_high_net_forest,138142,8.23
2,regeneration_high_gross_forest,138172,8.23
2,regeneration_high_gross_minus_net_forest,30,0.0
2,regeneration_full_net_forest,307953,18.35
2,regeneration_full_gross_forest,307994,18.35
2,regeneration_full_disturbed_net_forest,68798,4.1
2,regeneration_full_undisturbed_net_forest,239155,14.25
2,regeneration_full_disturbed_gross_minus_net_forest,4,0.0
2,regeneration_full_undisturbed_gross_minus_net_forest,36,0.0
3,degradation_low_net_forest,0,0.0
3,degradation_low_gross_forest,0,0.0
3,degradation_low_gross_minus_net_forest,0,0.0
3,degradation_moderate_net_forest,0,0.0
3,degradation_moderate_gross_forest,0,0.0
3,degradation_moderate_gross_minus_net_forest,0,0.0
3,degradation_severe_net_forest,0,0.0
3,degradation_severe_gross_forest,0,0.0
3,degradation_severe_gross_minus_net_forest,0,0.0
3,degradation_absolute_net_forest,0,0.0
3,degradation_absolute_net_disturbed_forest,0,0.0
3,degradation_absolute_net_undisturbed_forest,0,0.0
3,regeneration_low_net_forest,9546,0.57
3,regeneration_low_gross_forest,9633,0.57
3,regeneration_low_gross_minus_net_forest,87,0.01
3,regeneration_medium_net_forest,20434,1.22
3,regeneration_medium_gross_forest,20456,1.22
3,regeneration_medium_gross_minus_net_forest,22,0.0
3,regeneration_high_net_forest,115808,6.9
3,regeneration_high_gross_forest,115836,6.9
3,regeneration_high_gross_minus_net_forest,28,0.0
3,regeneration_full_net_forest,332520,19.81
3,regeneration_full_gross_forest,332564,19.81
3,regeneration_full_disturbed_net_forest,73911,4.4
3,regeneration_full_undisturbed_net_forest,258609,15.41
3,regeneration_full_disturbed_gross_minus_net_forest,5,0.0
3,regeneration_full_undisturbed_gross_minus_net_forest,37,0.0
4,degradation_low_net_forest,0,0.0
4,degradation_low_gross_forest,0,0.0
4,degradation_low_gross_minus_net_forest,0,0.0
4,degradation_moderate_net_forest,0,0.0
4,degradation_moderate_gross_forest,0,0.0
4,degradation_moderate_gross_minus_net_forest,0,0.0
4,degradation_severe_net_forest,0,0.0
4,degradation_severe_gross_forest,0,0.0
4,degradation_severe_gross_minus_net_forest,0,0.0
4,degradation_absolute_net_forest,36,0.0
4,degradation_absolute_net_disturbed_forest,36,0.0
4,degradation_absolute_net_undisturbed_forest,0,0.0
4,regeneration_low_net_forest,14342,0.85
4,regeneration_low_gross_forest,14382,0.86
4,regeneration_low_gross_minus_net_forest,40,0.0
4,regeneration_medium_net_forest,29654,1.77
4,regeneration_medium_gross_forest,29669,1.77
4,regeneration_medium_gross_minus_net_forest,15,0.0
4,regeneration_high_net_forest,69003,4.11
4,regeneration_high_gross_forest,69031,4.11
4,regeneration_high_gross_minus_net_forest,28,0.0
4,regeneration_full_net_forest,13108,0.78
4,regeneration_full_gross_forest,13113,0.78
4,regeneration_full_disturbed_net_forest,4329,0.26
4,regeneration_full_undisturbed_net_forest,8779,0.52
4,regeneration_full_disturbed_gross_minus_net_forest,0,0.0
4,regeneration_full_undisturbed_gross_minus_net_forest,1,0.0
5,degradation_low_net_forest,0,0.0
5,degradation_low_gross_forest,0,0.0
5,degradation_low_gross_minus_net_forest,0,0.0
5,degradation_moderate_net_forest,0,0.0
5,degradation_moderate_gross_forest,0,0.0
5,degradation_moderate_gross_minus_net_forest,0,0.0
5,degradation_severe_net_forest,0,0.0
5,degradation_severe_gross_forest,0,0.0
5,degradation_severe_gross_minus_net_forest,0,0.0
5,degradation_absolute_net_forest,0,0.0
5,degradation_absolute_net_disturbed_forest,0,0.0
5,degradation_absolute_net_undisturbed_forest,0,0.0
5,regeneration_low_net_forest,13682,0.82
5,regeneration_low_gross_forest,13719,0.82
5,regeneration_low_gross_minus_net_forest,37,0.0
5,regeneration_medium_net_forest,27526,1.64
5,regeneration_medium_gross_forest,27554,1.64
5,regeneration_medium_gross_minus_net_forest,28,0.0
5,regeneration_high_net_forest,61529,3.67
5,regeneration_high_gross_forest,61563,3.67
5,regeneration_high_gross_minus_net_forest,34,0.0
5,regeneration_full_net_forest,373583,22.26
5,regeneration_full_gross_forest,373659,22.26
