time_step,class,pixels,percentage
1,degradation_low_net_forest,0,0.0
1,degradation_low_gross_forest,0,0.0
1,degradation_low_gross_minus_net_forest,0,0.0
1,degradation_moderate_net_forest,0,0.0
1,degradation_moderate_gross_forest,0,0.0
1,degradation_moderate_gross_minus_net_forest,0,0.0
1,degradation_severe_net_forest,50092,2.98
1,degradation_severe_gross_forest,50104,2.99
1,degradation_severe_gross_minus_net_forest,12,0.0
1,degradation_absolute_net_forest,0,0.0
1,degradation_absolute_net_disturbed_forest,cannot be calculated in time step 1,cannot be calculated in time step 1
1,degradation_absolute_net_undisturbed_forest,cannot be calculated in time step 1,cannot be calculated in time step 1
1,regeneration_low_net_forest,4593,0.27
1,regeneration_low_gross_forest,4657,0.28
1,regeneration_low_gross_minus_net_forest,64,0.0
1,regeneration_medium_net_forest,9826,0.59
1,regeneration_medium_gross_forest,9829,0.59
1,regeneration_medium_gross_minus_net_forest,3,0.0
1,regeneration_high_net_forest,29482,1.76
1,regeneration_high_gross_forest,29492,1.76
1,regeneration_high_gross_minus_net_forest,10,0.0
1,regeneration_full_net_forest,188107,11.21
1,regeneration_full_gross_forest,188136,11.21
1,regeneration_full_disturbed_net_forest,25862,1.54
1,regeneration_full_undisturbed_net_forest,162245,9.67
1,regeneration_full_disturbed_gross_minus_net_forest,3,0.0
1,regeneration_full_undisturbed_gross_minus_net_forest,26,0.0
2,degradation_low_net_forest,0,0.0
2,degradation_low_gross_forest,0,0.0
2,degradation_low_gross_minus_net_forest,0,0.0
2,degradation_moderate_net_forest,0,0.0
2,degradation_moderate_gross_forest,0,0.0
2,degradation_moderate_gross_minus_net_forest,0,0.0
2,degradation_severe_net_forest,0,0.0
2,degradation_severe_gross_forest,0,0.0
2,degradation_severe_gross_minus_net_forest,0,0.0
2,degradation_absolute_net_forest,0,0.0
2,degradation_absolute_net_disturbed_forest,0,0.0
2,degradation_absolute_net_undisturbed_forest,0,0.0
2,regeneration_low_net_forest,2995,0.18
2,regeneration_low_gross_forest,3165,0.19
2,regeneration_low_gross_minus_net_forest,170,0.01
2,regeneration_medium_net_forest,8900,0.53
2,regeneration_medium_gross_forest,8903,0.53
2,regeneration_medium_gross_minus_net_forest,3,0.0
2,regeneration_high_net_forest,26016,1.55
2,regeneration_high_gross_forest,26026,1.55
2,regeneration_high_gross_minus_net_forest,10,0.0
2,regeneration_full_net_forest,335387,19.98
2,regeneration_full_gross_forest,335439,19.98
2,regeneration_full_disturbed_net_forest,45170,2.69
2,regeneration_full_undisturbed_net_forest,290217,17.29
2,regeneration_full_disturbed_gross_minus_net_forest,3,0.0
2,regeneration_full_undisturbed_gross_minus_net_forest,49,0.0
3,degradation_low_net_forest,0,0.0
3,degradation_low_gross_forest,0,0.0
3,degradation_low_gross_minus_net_forest,0,0.0
3,degradation_moderate_net_forest,0,0.0
3,degradation_moderate_gross_forest,0,0.0
3,degradation_moderate_gross_minus_net_forest,0,0.0
3,degradation_severe_net_forest,0,0.0
3,degradation_severe_gross_forest,0,0.0
3,degradation_severe_gross_minus_net_forest,0,0.0
3,degradation_absolute_net_forest,0,0.0
3,degradation_absolute_net_disturbed_forest,0,0.0
3,degradation_absolute_net_undisturbed_forest,0,0.0
3,regeneration_low_net_forest,2930,0.17
3,regeneration_low_gross_forest,3053,0.18
3,regeneration_low_gross_minus_net_forest,123,0.01
3,regeneration_medium_net_forest,8229,0.49
3,regeneration_medium_gross_forest,8236,0.49
3,regeneration_medium_gross_minus_net_forest,7,0.0
3,regeneration_high_net_forest,23470,1.4
3,regeneration_high_gross_forest,23484,1.4
3,regeneration_high_gross_minus_net_forest,14,0.0
3,regeneration_full_net_forest,338644,20.18
3,regeneration_full_gross_forest,338708,20.18
3,regeneration_full_disturbed_net_forest,46364,2.76
3,regeneration_full_undisturbed_net_forest,292280,17.41
3,regeneration_full_disturbed_gross_minus_net_forest,3,0.0
3,regeneration_full_undisturbed_gross_minus_net_forest,49,0.0
4,degradation_low_net_forest,0,0.0
4,degradation_low_gross_forest,0,0.0
4,degradation_low_gross_minus_net_forest,0,0.0
4,degradation_moderate_net_forest,0,0.0
4,degradation_moderate_gross_forest,0,0.0
4,degradation_moderate_gross_minus_net_forest,0,0.0
4,degradation_severe_net_forest,0,0.0
4,degradation_severe_gross_forest,0,0.0
4,degradation_severe_gross_minus_net_forest,0,0.0
4,degradation_absolute_net_forest,0,0.0
4,degradation_absolute_net_disturbed_forest,0,0.0
4,degradation_absolute_net_undisturbed_forest,0,0.0
4,regeneration_low_net_forest,2698,0.16
4,regeneration_low_gross_forest,2810,0.17
4,regeneration_low_gross_minus_net_forest,112,0.01
4,regeneration_medium_net_forest,7691,0.46
4,regeneration_medium_gross_forest,7709,0.46
4,regeneration_medium_gross_minus_net_forest,18,0.0
4,regeneration_high_net_forest,21772,1.3
4,regeneration_high_gross_forest,21788,1.3
4,regeneration_high_gross_minus_net_forest,16,0.0
4,regeneration_full_net_forest,341070,20.32
4,regeneration_full_gross_forest,341139,20.32
4,regeneration_full_disturbed_net_forest,47215,2.81
4,regeneration_full_undisturbed_net_forest,293855,17.51
4,regeneration_full_disturbed_gross_minus_net_forest,3,0.0
4,regeneration_full_undisturbed_gross_minus_net_forest,49,0.0
5,degradation_low_net_forest,0,0.0
5,degradation_low_gross_forest,0,0.0
5,degradation_low_gross_minus_net_forest,0,0.0
5,degradation_moderate_net_forest,0,0.0
5,degradation_moderate_gross_forest,0,0.0
5,degradation_moderate_gross_minus_net_forest,0,0.0
5,degradation_severe_net_forest,0,0.0
5,degradation_severe_gross_forest,0,0.0
5,degradation_severe_gross_minus_net_forest,0,0.0
5,degradation_absolute_net_forest,0,0.0
5,degradation_absolute_net_disturbed_forest,0,0.0
5,degradation_absolute_net_undisturbed_forest,0,0.0
5,regeneration_low_net_forest,2564,0.15
5,regeneration_low_gross_forest,2692,0.16
5,regeneration_low_gross_minus_net_forest,128,0.01
5,regeneration_medium_net_forest,7245,0.43
5,regeneration_medium_gross_forest,7335,0.44
5,regeneration_medium_gross_minus_net_forest,90,0.01
5,regeneration_high_net_forest,19221,1.15
5,regeneration_high_gross_forest,19244,1.15
5,regeneration_high_gross_minus_net_forest,23,0.0
5,regeneration_full_net_forest,344105,20.5
5,regeneration_full_gross_forest,344187,20.51
