time_step,class,pixels,percentage
1,disturbed_habitat,171109,10.19
1,undisturbed_habitat,312857,18.64
2,disturbed_habitat,173069,10.31
2,undisturbed_habitat,312857,18.64
3,disturbed_habitat,175545,10.46
3,undisturbed_habitat,312857,18.64
4,disturbed_habitat,177559,10.58
4,undisturbed_habitat,312857,18.64
5,disturbed_habitat,178830,10.65
5,undisturbed_habitat,312857,18.64
6,disturbed_habitat,179841,10.71
6,undisturbed_habitat,312857,18.64
7,disturbed_habitat,180950,10.78
7,undisturbed_habitat,312801,18.64
8,disturbed_habitat,181904,10.84
8,undisturbed_habitat,312801,18.64
9,disturbed_habitat,182653,10.88
9,undisturbed_habitat,312801,18.64
10,disturbed_habitat,183207,10.92
10,undisturbed_habitat,312801,18.64
11,disturbed_habitat,183734,10.95
11,undisturbed_habitat,312801,18.64
12,disturbed_habitat,184168,10.97
12,undisturbed_habitat,312801,18.64
13,disturbed_habitat,184578,11.0
13,undisturbed_habitat,312801,18.64
14,disturbed_habitat,184535,10.99
14,undisturbed_habitat,312801,18.64
15,disturbed_habitat,183873,10.95
15,undisturbed_habitat,312795,18.64
16,disturbed_habitat,183144,10.91
16,undisturbed_habitat,312795,18.64
17,disturbed_habitat,182855,10.89
17,undisturbed_habitat,312795,18.64
18,disturbed_habitat,183725,10.95
18,undisturbed_habitat,312795,18.64
19,disturbed_habitat,183785,10.95
19,undisturbed_habitat,312795,18.64
20,disturbed_habitat,183865,10.95
20,undisturbed_habitat,312795,18.64
21,disturbed_habitat,185926,11.08
21,undisturbed_habitat,312795,18.64
22,disturbed_habitat,188014,11.2
22,undisturbed_habitat,312795,18.64
23,disturbed_habitat,189485,11.29
23,undisturbed_habitat,312795,18.64
24,disturbed_habitat,190534,11.35
24,undisturbed_habitat,312795,18.64
25,disturbed_habitat,189714,11.3
25,undisturbed_habitat,312795,18.64
26,disturbed_habitat,183540,10.93
26,undisturbed_habitat,312243,18.6
27,disturbed_habitat,181585,10.82
27,undisturbed_habitat,312243,18.6
28,disturbed_habitat,179826,10.71
28,undisturbed_habitat,312237,18.6
29,disturbed_habitat,178014,10.61
29,undisturbed_habitat,312230,18.6
30,disturbed_habitat,176072,10.49
30,undisturbed_habitat,312225,18.6
31,disturbed_habitat,174307,10.38
31,undisturbed_habitat,312221,18.6
32,disturbed_habitat,172927,10.3
32,undisturbed_habitat,312220,18.6
33,disturbed_habitat,171741,10.23
33,undisturbed_habitat,312217,18.6
34,disturbed_habitat,170728,10.17
34,undisturbed_habitat,312210,18.6
35,disturbed_habitat,169689,10.11
35,undisturbed_habitat,312204,18.6
36,disturbed_habitat,168749,10.05
36,undisturbed_habitat,312194,18.6
37,disturbed_habitat,168286,10.03
37,undisturbed_habitat,312191,18.6
38,disturbed_habitat,167808,10.0
38,undisturbed_habitat,312190,18.6
39,disturbed_habitat,167329,9.97
39,undisturbed_habitat,312190,18.6
40,disturbed_habitat,166836,9.94
40,undisturbed_habitat,312189,18.6
41,disturbed_habitat,166411,9.91
41,undisturbed_habitat,312189,18.6
42,disturbed_habitat,165889,9.88
42,undisturbed_habitat,312189,18.6
43,disturbed_habitat,165461,9.86
43,undisturbed_habitat,312189,18.6
44,disturbed_habitat,165037,9.83
44,undisturbed_habitat,312189,18.6
45,disturbed_habitat,164648,9.81
45,undisturbed_habitat,312187,18.6
46,disturbed_habitat,164185,9.78
46,undisturbed_habitat,312186,18.6
47,disturbed_habitat,163752,9.76
47,undisturbed_habitat,312170,18.6
48,disturbed_habitat,163309,9.73
48,undisturbed_habitat,312156,18.6
49,disturbed_habitat,163140,9.72
49,undisturbed_habitat,312139,18.6
50,disturbed_habitat,162778,9.7
50,undisturbed_habitat,312126,18.6
51,disturbed_habitat,162284,9.67
51,undisturbed_habitat,312111,18.59
52,disturbed_habitat,160535,9.56
52,undisturbed_habitat,312111,18.59
53,disturbed_habitat,160350,9.55
53,undisturbed_habitat,312105,18.59
54,disturbed_habitat,160153,9.54
54,undisturbed_habitat,312100,18.59
55,disturbed_habitat,159840,9.52
55,undisturbed_habitat,312091,18.59
56,disturbed_habitat,159694,9.51
56,undisturbed_habitat,312084,18.59
