time_step,class,pixels,percentage
1,disturbed_habitat,192086,11.44
1,undisturbed_habitat,364524,21.72
2,disturbed_habitat,189035,11.26
2,undisturbed_habitat,364503,21.72
3,disturbed_habitat,185562,11.06
3,undisturbed_habitat,364503,21.72
4,disturbed_habitat,182540,10.88
4,undisturbed_habitat,364503,21.72
5,disturbed_habitat,179702,10.71
5,undisturbed_habitat,364503,21.72
6,disturbed_habitat,177165,10.56
6,undisturbed_habitat,364503,21.72
7,disturbed_habitat,173315,10.33
7,undisturbed_habitat,364503,21.72
8,disturbed_habitat,171168,10.2
8,undisturbed_habitat,364482,21.71
9,disturbed_habitat,169028,10.07
9,undisturbed_habitat,364482,21.71
10,disturbed_habitat,167076,9.95
10,undisturbed_habitat,364482,21.71
11,disturbed_habitat,165379,9.85
11,undisturbed_habitat,364482,21.71
12,disturbed_habitat,163705,9.75
12,undisturbed_habitat,364482,21.71
13,disturbed_habitat,162123,9.66
13,undisturbed_habitat,364480,21.71
14,disturbed_habitat,160768,9.58
14,undisturbed_habitat,364478,21.71
15,disturbed_habitat,159263,9.49
15,undisturbed_habitat,364478,21.71
16,disturbed_habitat,157983,9.41
16,undisturbed_habitat,364478,21.71
17,disturbed_habitat,156601,9.33
17,undisturbed_habitat,364478,21.71
18,disturbed_habitat,158268,9.43
18,undisturbed_habitat,364477,21.71
19,disturbed_habitat,161045,9.59
19,undisturbed_habitat,364474,21.71
20,disturbed_habitat,163450,9.74
20,undisturbed_habitat,364471,21.71
21,disturbed_habitat,165785,9.88
21,undisturbed_habitat,364469,21.71
22,disturbed_habitat,167556,9.98
22,undisturbed_habitat,364469,21.71
23,disturbed_habitat,168766,10.05
23,undisturbed_habitat,364464,21.71
24,disturbed_habitat,169656,10.11
24,undisturbed_habitat,364457,21.71
25,disturbed_habitat,170992,10.19
25,undisturbed_habitat,364454,21.71
26,disturbed_habitat,171762,10.23
26,undisturbed_habitat,364453,21.71
27,disturbed_habitat,171349,10.21
27,undisturbed_habitat,364453,21.71
28,disturbed_habitat,170458,10.16
28,undisturbed_habitat,364455,21.71
29,disturbed_habitat,168966,10.07
29,undisturbed_habitat,364452,21.71
30,disturbed_habitat,167730,9.99
30,undisturbed_habitat,364448,21.71
31,disturbed_habitat,166502,9.92
31,undisturbed_habitat,364442,21.71
32,disturbed_habitat,167142,9.96
32,undisturbed_habitat,364428,21.71
33,disturbed_habitat,169058,10.07
33,undisturbed_habitat,364296,21.7
34,disturbed_habitat,172213,10.26
34,undisturbed_habitat,364275,21.7
35,disturbed_habitat,173254,10.32
35,undisturbed_habitat,364252,21.7
36,disturbed_habitat,172954,10.3
36,undisturbed_habitat,364225,21.7
37,disturbed_habitat,171403,10.21
37,undisturbed_habitat,364172,21.7
38,disturbed_habitat,169887,10.12
38,undisturbed_habitat,364143,21.69
39,disturbed_habitat,168298,10.03
39,undisturbed_habitat,364104,21.69
40,disturbed_habitat,168476,10.04
40,undisturbed_habitat,364056,21.69
41,disturbed_habitat,169572,10.1
41,undisturbed_habitat,364011,21.69
42,disturbed_habitat,168330,10.03
42,undisturbed_habitat,363979,21.68
43,disturbed_habitat,167000,9.95
43,undisturbed_habitat,363909,21.68
44,disturbed_habitat,166411,9.91
44,undisturbed_habitat,363905,21.68
45,disturbed_habitat,165796,9.88
45,undisturbed_habitat,363903,21.68
46,disturbed_habitat,165253,9.85
46,undisturbed_habitat,363891,21.68
47,disturbed_habitat,164768,9.82
