time_step,class,pixels,percentage
1,impacted_gross_forest_disturbed_undisturbed,271647,16.18
1,impacted_net_forest_disturbed_undisturbed,271634,24.9
1,impacted_gross_minus_net_forest_disturbed_undisturbed,13,0.0
2,impacted_gross_forest_disturbed_undisturbed,271169,16.16
2,impacted_net_forest_disturbed_undisturbed,266901,24.43
2,impacted_gross_minus_net_forest_disturbed_undisturbed,4268,0.39
3,impacted_gross_forest_disturbed_undisturbed,270976,16.14
3,impacted_net_forest_disturbed_undisturbed,262670,24.01
3,impacted_gross_minus_net_forest_disturbed_undisturbed,8306,0.76
4,impacted_gross_forest_disturbed_undisturbed,270620,16.12
4,impacted_net_forest_disturbed_undisturbed,259111,23.65
4,impacted_gross_minus_net_forest_disturbed_undisturbed,11509,1.05
5,impacted_gross_forest_disturbed_undisturbed,270091,16.09
5,impacted_net_forest_disturbed_undisturbed,255860,23.33
5,impacted_gross_minus_net_forest_disturbed_undisturbed,14231,1.3
6,impacted_gross_forest_disturbed_undisturbed,269369,16.05
6,impacted_net_forest_disturbed_undisturbed,252583,23.0
6,impacted_gross_minus_net_forest_disturbed_undisturbed,16786,1.53
7,impacted_gross_forest_disturbed_undisturbed,269055,16.03
7,impacted_net_forest_disturbed_undisturbed,250004,22.74
7,impacted_gross_minus_net_forest_disturbed_undisturbed,19051,1.73
8,impacted_gross_forest_disturbed_undisturbed,268395,15.99
8,impacted_net_forest_disturbed_undisturbed,259867,23.61
8,impacted_gross_minus_net_forest_disturbed_undisturbed,8528,0.77
9,impacted_gross_forest_disturbed_undisturbed,267531,15.94
9,impacted_net_forest_disturbed_undisturbed,261962,23.77
9,impacted_gross_minus_net_forest_disturbed_undisturbed,5569,0.51
10,impacted_gross_forest_disturbed_undisturbed,266894,15.9
10,impacted_net_forest_disturbed_undisturbed,262557,23.8
10,impacted_gross_minus_net_forest_disturbed_undisturbed,4337,0.39
11,impacted_gross_forest_disturbed_undisturbed,266228,15.86
11,impacted_net_forest_disturbed_undisturbed,262473,23.76
11,impacted_gross_minus_net_forest_disturbed_undisturbed,3755,0.34
12,impacted_gross_forest_disturbed_undisturbed,265374,15.81
12,impacted_net_forest_disturbed_undisturbed,262023,23.7
12,impacted_gross_minus_net_forest_disturbed_undisturbed,3351,0.3
13,impacted_gross_forest_disturbed_undisturbed,264397,15.75
13,impacted_net_forest_disturbed_undisturbed,261344,23.61
13,impacted_gross_minus_net_forest_disturbed_undisturbed,3053,0.28
14,impacted_gross_forest_disturbed_undisturbed,263462,15.7
14,impacted_net_forest_disturbed_undisturbed,260814,23.54
14,impacted_gross_minus_net_forest_disturbed_undisturbed,2648,0.24
15,impacted_gross_forest_disturbed_undisturbed,262116,15.62
15,impacted_net_forest_disturbed_undisturbed,260237,23.48
15,impacted_gross_minus_net_forest_disturbed_undisturbed,1879,0.17
16,impacted_gross_forest_disturbed_undisturbed,260330,15.51
16,impacted_net_forest_disturbed_undisturbed,259124,23.36
16,impacted_gross_minus_net_forest_disturbed_undisturbed,1206,0.11
17,impacted_gross_forest_disturbed_undisturbed,258796,15.42
17,impacted_net_forest_disturbed_undisturbed,257141,23.16
17,impacted_gross_minus_net_forest_disturbed_undisturbed,1655,0.15
18,impacted_gross_forest_disturbed_undisturbed,259388,15.45
18,impacted_net_forest_disturbed_undisturbed,256347,23.06
18,impacted_gross_minus_net_forest_disturbed_undisturbed,3041,0.27
19,impacted_gross_forest_disturbed_undisturbed,259342,15.45
19,impacted_net_forest_disturbed_undisturbed,255840,22.99
19,impacted_gross_minus_net_forest_disturbed_undisturbed,3502,0.31
20,impacted_gross_forest_disturbed_undisturbed,258544,15.4
20,impacted_net_forest_disturbed_undisturbed,255262,22.91
20,impacted_gross_minus_net_forest_disturbed_undisturbed,3282,0.29
21,impacted_gross_forest_disturbed_undisturbed,257390,15.33
21,impacted_net_forest_disturbed_undisturbed,254634,22.83
21,impacted_gross_minus_net_forest_disturbed_undisturbed,2756,0.25
22,impacted_gross_forest_disturbed_undisturbed,256045,15.25
22,impacted_net_forest_disturbed_undisturbed,253901,22.74
22,impacted_gross_minus_net_forest_disturbed_undisturbed,2144,0.19
23,impacted_gross_forest_disturbed_undisturbed,254369,15.15
23,impacted_net_forest_disturbed_undisturbed,252709,22.62
23,impacted_gross_minus_net_forest_disturbed_undisturbed,1660,0.15
24,impacted_gross_forest_disturbed_undisturbed,252850,15.06
24,impacted_net_forest_disturbed_undisturbed,251634,22.5
24,impacted_gross_minus_net_forest_disturbed_undisturbed,1216,0.11
25,impacted_gross_forest_disturbed_undisturbed,251427,14.98
25,impacted_net_forest_disturbed_undisturbed,250506,22.38
25,impacted_gross_minus_net_forest_disturbed_undisturbed,921,0.08
26,impacted_gross_forest_disturbed_undisturbed,249069,14.84
26,impacted_net_forest_disturbed_undisturbed,248372,22.19
26,impacted_gross_minus_net_forest_disturbed_undisturbed,697,0.06
27,impacted_gross_forest_disturbed_undisturbed,243801,14.53
27,impacted_net_forest_disturbed_undisturbed,243057,21.79
27,impacted_gross_minus_net_forest_disturbed_undisturbed,744,0.07
28,impacted_gross_forest_disturbed_undisturbed,238639,14.22
28,impacted_net_forest_disturbed_undisturbed,237826,21.38
28,impacted_gross_minus_net_forest_disturbed_undisturbed,813,0.07
29,impacted_gross_forest_disturbed_undisturbed,233457,13.91
29,impacted_net_forest_disturbed_undisturbed,232541,20.98
29,impacted_gross_minus_net_forest_disturbed_undisturbed,916,0.08
30,impacted_gross_forest_disturbed_undisturbed,228051,13.59
30,impacted_net_forest_disturbed_undisturbed,227050,20.55
30,impacted_gross_minus_net_forest_disturbed_undisturbed,1001,0.09
31,impacted_gross_forest_disturbed_undisturbed,222671,13.27
31,impacted_net_forest_disturbed_undisturbed,221560,20.12
31,impacted_gross_minus_net_forest_disturbed_undisturbed,1111,0.1
32,impacted_gross_forest_disturbed_undisturbed,217345,12.95
32,impacted_net_forest_disturbed_undisturbed,216097,19.69
32,impacted_gross_minus_net_forest_disturbed_undisturbed,1248,0.11
33,impacted_gross_forest_disturbed_undisturbed,212037,12.63
33,impacted_net_forest_disturbed_undisturbed,210694,19.26
33,impacted_gross_minus_net_forest_disturbed_undisturbed,1343,0.12
34,impacted_gross_forest_disturbed_undisturbed,206737,12.32
34,impacted_net_forest_disturbed_undisturbed,205288,18.83
34,impacted_gross_minus_net_forest_disturbed_undisturbed,1449,0.13
35,impacted_gross_forest_disturbed_undisturbed,201649,12.01
35,impacted_net_forest_disturbed_undisturbed,200082,18.42
35,impacted_gross_minus_net_forest_disturbed_undisturbed,1567,0.14
36,impacted_gross_forest_disturbed_undisturbed,196747,11.72
36,impacted_net_forest_disturbed_undisturbed,194972,18.01
36,impacted_gross_minus_net_forest_disturbed_undisturbed,1775,0.16
37,impacted_gross_forest_disturbed_undisturbed,195752,11.66
37,impacted_net_forest_disturbed_undisturbed,193944,17.94
37,impacted_gross_minus_net_forest_disturbed_undisturbed,1808,0.17
38,impacted_gross_forest_disturbed_undisturbed,194626,11.6
38,impacted_net_forest_disturbed_undisturbed,192801,17.85
38,impacted_gross_minus_net_forest_disturbed_undisturbed,1825,0.17
39,impacted_gross_forest_disturbed_undisturbed,193508,11.53
39,impacted_net_forest_disturbed_undisturbed,191630,17.76
39,impacted_gross_minus_net_forest_disturbed_undisturbed,1878,0.17
40,impacted_gross_forest_disturbed_undisturbed,192403,11.46
40,impacted_net_forest_disturbed_undisturbed,190477,17.68
40,impacted_gross_minus_net_forest_disturbed_undisturbed,1926,0.18
41,impacted_gross_forest_disturbed_undisturbed,191436,11.41
41,impacted_net_forest_disturbed_undisturbed,189466,17.6
41,impacted_gross_minus_net_forest_disturbed_undisturbed,1970,0.18
42,impacted_gross_forest_disturbed_undisturbed,190336,11.34
42,impacted_net_forest_disturbed_undisturbed,188302,17.52
42,impacted_gross_minus_net_forest_disturbed_undisturbed,2034,0.19
43,impacted_gross_forest_disturbed_undisturbed,189246,11.27
43,impacted_net_forest_disturbed_undisturbed,187156,17.43
43,impacted_gross_minus_net_forest_disturbed_undisturbed,2090,0.19
44,impacted_gross_forest_disturbed_undisturbed,188196,11.21
44,impacted_net_forest_disturbed_undisturbed,186067,17.35
44,impacted_gross_minus_net_forest_disturbed_undisturbed,2129,0.2
45,impacted_gross_forest_disturbed_undisturbed,187270,11.16
45,impacted_net_forest_disturbed_undisturbed,185053,17.27
45,impacted_gross_minus_net_forest_disturbed_undisturbed,2217,0.21
46,impacted_gross_forest_disturbed_undisturbed,186206,11.09
46,impacted_net_forest_disturbed_undisturbed,183935,17.19
46,impacted_gross_minus_net_forest_disturbed_undisturbed,2271,0.21
47,impacted_gross_forest_disturbed_undisturbed,184213,10.97
47,impacted_net_forest_disturbed_undisturbed,181821,17.02
47,impacted_gross_minus_net_forest_disturbed_undisturbed,2392,0.22
