time_step,class,pixels,percentage
1,impacted_gross_forest_disturbed_undisturbed,303584,18.09
1,impacted_net_forest_disturbed_undisturbed,303566,27.36
1,impacted_gross_minus_net_forest_disturbed_undisturbed,18,0.0
2,impacted_gross_forest_disturbed_undisturbed,299615,17.85
2,impacted_net_forest_disturbed_undisturbed,299598,27.05
2,impacted_gross_minus_net_forest_disturbed_undisturbed,17,0.0
3,impacted_gross_forest_disturbed_undisturbed,294916,17.57
3,impacted_net_forest_disturbed_undisturbed,294899,26.7
3,impacted_gross_minus_net_forest_disturbed_undisturbed,17,0.0
4,impacted_gross_forest_disturbed_undisturbed,290307,17.3
4,impacted_net_forest_disturbed_undisturbed,290291,26.36
4,impacted_gross_minus_net_forest_disturbed_undisturbed,16,0.0
5,impacted_gross_forest_disturbed_undisturbed,285586,17.01
5,impacted_net_forest_disturbed_undisturbed,285570,26.0
5,impacted_gross_minus_net_forest_disturbed_undisturbed,16,0.0
6,impacted_gross_forest_disturbed_undisturbed,280885,16.73
6,impacted_net_forest_disturbed_undisturbed,280868,25.63
6,impacted_gross_minus_net_forest_disturbed_undisturbed,17,0.0
7,impacted_gross_forest_disturbed_undisturbed,276271,16.46
7,impacted_net_forest_disturbed_undisturbed,276257,25.25
7,impacted_gross_minus_net_forest_disturbed_undisturbed,14,0.0
8,impacted_gross_forest_disturbed_undisturbed,271670,16.19
8,impacted_net_forest_disturbed_undisturbed,271657,24.9
8,impacted_gross_minus_net_forest_disturbed_undisturbed,13,0.0
9,impacted_gross_forest_disturbed_undisturbed,266712,15.89
9,impacted_net_forest_disturbed_undisturbed,266697,24.52
9,impacted_gross_minus_net_forest_disturbed_undisturbed,15,0.0
10,impacted_gross_forest_disturbed_undisturbed,261837,15.6
10,impacted_net_forest_disturbed_undisturbed,261823,24.14
10,impacted_gross_minus_net_forest_disturbed_undisturbed,14,0.0
11,impacted_gross_forest_disturbed_undisturbed,256933,15.31
11,impacted_net_forest_disturbed_undisturbed,256919,23.76
11,impacted_gross_minus_net_forest_disturbed_undisturbed,14,0.0
12,impacted_gross_forest_disturbed_undisturbed,252007,15.01
12,impacted_net_forest_disturbed_undisturbed,251993,23.38
12,impacted_gross_minus_net_forest_disturbed_undisturbed,14,0.0
13,impacted_gross_forest_disturbed_undisturbed,246933,14.71
13,impacted_net_forest_disturbed_undisturbed,246921,22.98
13,impacted_gross_minus_net_forest_disturbed_undisturbed,12,0.0
14,impacted_gross_forest_disturbed_undisturbed,242234,14.43
14,impacted_net_forest_disturbed_undisturbed,242222,22.61
14,impacted_gross_minus_net_forest_disturbed_undisturbed,12,0.0
15,impacted_gross_forest_disturbed_undisturbed,237380,14.14
15,impacted_net_forest_disturbed_undisturbed,237370,22.22
