time_step,class,pixels,percentage
1,gross_forest_all_forest_types,1109692,66.11
1,net_forest_total_disturbed_undisturbed,821641,48.95
1,gross_disturbed_forest,457223,27.24
1,gross_undisturbed_forest,364524,21.72
1,net_disturbed_forest,457191,27.24
1,net_undisturbed_forest,364450,21.71
1,gross_minus_net_disturbed_forest,32,0.0
1,gross_minus_net_undisturbed_forest,74,0.0
2,gross_forest_all_forest_types,1107410,65.98
2,net_forest_total_disturbed_undisturbed,817648,48.71
2,gross_disturbed_forest,453250,27.0
2,gross_undisturbed_forest,364503,21.72
2,net_disturbed_forest,453219,27.0
2,net_undisturbed_forest,364429,21.71
2,gross_minus_net_disturbed_forest,31,0.0
2,gross_minus_net_undisturbed_forest,74,0.0
3,gross_forest_all_forest_types,1104359,65.79
3,net_forest_total_disturbed_undisturbed,812923,48.43
3,gross_disturbed_forest,448525,26.72
3,gross_undisturbed_forest,364503,21.72
3,net_disturbed_forest,448494,26.72
3,net_undisturbed_forest,364429,21.71
3,gross_minus_net_disturbed_forest,31,0.0
3,gross_minus_net_undisturbed_forest,74,0.0
4,gross_forest_all_forest_types,1101438,65.62
4,net_forest_total_disturbed_undisturbed,808323,48.16
4,gross_disturbed_forest,443927,26.45
4,gross_undisturbed_forest,364503,21.72
4,net_disturbed_forest,443894,26.45
4,net_undisturbed_forest,364429,21.71
4,gross_minus_net_disturbed_forest,33,0.0
4,gross_minus_net_undisturbed_forest,74,0.0
5,gross_forest_all_forest_types,1098363,65.44
5,net_forest_total_disturbed_undisturbed,803557,47.87
5,gross_disturbed_forest,439161,26.16
5,gross_undisturbed_forest,364503,21.72
5,net_disturbed_forest,439128,26.16
5,net_undisturbed_forest,364429,21.71
5,gross_minus_net_disturbed_forest,33,0.0
5,gross_minus_net_undisturbed_forest,74,0.0
6,gross_forest_all_forest_types,1096026,65.3
6,net_forest_total_disturbed_undisturbed,799436,47.63
6,gross_disturbed_forest,435070,25.92
6,gross_undisturbed_forest,364503,21.72
6,net_disturbed_forest,435007,25.92
6,net_undisturbed_forest,364429,21.71
6,gross_minus_net_disturbed_forest,63,0.0
6,gross_minus_net_undisturbed_forest,74,0.0
7,gross_forest_all_forest_types,1094111,65.18
7,net_forest_total_disturbed_undisturbed,795774,47.41
7,gross_disturbed_forest,431446,25.7
7,gross_undisturbed_forest,364503,21.72
7,net_disturbed_forest,431345,25.7
7,net_undisturbed_forest,364429,21.71
7,gross_minus_net_disturbed_forest,101,0.01
7,gross_minus_net_undisturbed_forest,74,0.0
8,gross_forest_all_forest_types,1090962,65.0
8,net_forest_total_disturbed_undisturbed,790906,47.12
8,gross_disturbed_forest,426598,25.42
8,gross_undisturbed_forest,364482,21.71
8,net_disturbed_forest,426498,25.41
8,net_undisturbed_forest,364408,21.71
8,gross_minus_net_disturbed_forest,100,0.01
8,gross_minus_net_undisturbed_forest,74,0.0
9,gross_forest_all_forest_types,1087678,64.8
9,net_forest_total_disturbed_undisturbed,785831,46.82
9,gross_disturbed_forest,421525,25.11
9,gross_undisturbed_forest,364482,21.71
9,net_disturbed_forest,421423,25.11
9,net_undisturbed_forest,364408,21.71
9,gross_minus_net_disturbed_forest,102,0.01
9,gross_minus_net_undisturbed_forest,74,0.0
10,gross_forest_all_forest_types,1084438,64.61
10,net_forest_total_disturbed_undisturbed,780852,46.52
10,gross_disturbed_forest,416545,24.82
10,gross_undisturbed_forest,364482,21.71
10,net_disturbed_forest,416444,24.81
10,net_undisturbed_forest,364408,21.71
10,gross_minus_net_disturbed_forest,101,0.01
10,gross_minus_net_undisturbed_forest,74,0.0
11,gross_forest_all_forest_types,1081170,64.41
11,net_forest_total_disturbed_undisturbed,775835,46.22
11,gross_disturbed_forest,411528,24.52
11,gross_undisturbed_forest,364482,21.71
11,net_disturbed_forest,411427,24.51
11,net_undisturbed_forest,364408,21.71
11,gross_minus_net_disturbed_forest,101,0.01
11,gross_minus_net_undisturbed_forest,74,0.0
12,gross_forest_all_forest_types,1077890,64.22
12,net_forest_total_disturbed_undisturbed,770794,45.92
12,gross_disturbed_forest,406487,24.22
12,gross_undisturbed_forest,364482,21.71
12,net_disturbed_forest,406386,24.21
12,net_undisturbed_forest,364408,21.71
12,gross_minus_net_disturbed_forest,101,0.01
12,gross_minus_net_undisturbed_forest,74,0.0
13,gross_forest_all_forest_types,1074513,64.02
13,net_forest_total_disturbed_undisturbed,765586,45.61
13,gross_disturbed_forest,401279,23.91
13,gross_undisturbed_forest,364480,21.71
13,net_disturbed_forest,401180,23.9
13,net_undisturbed_forest,364406,21.71
13,gross_minus_net_disturbed_forest,99,0.01
13,gross_minus_net_undisturbed_forest,74,0.0
14,gross_forest_all_forest_types,1071313,63.83
14,net_forest_total_disturbed_undisturbed,760604,45.31
14,gross_disturbed_forest,396299,23.61
14,gross_undisturbed_forest,364478,21.71
14,net_disturbed_forest,396200,23.6
14,net_undisturbed_forest,364404,21.71
14,gross_minus_net_disturbed_forest,99,0.01
14,gross_minus_net_undisturbed_forest,74,0.0
15,gross_forest_all_forest_types,1068070,63.63
15,net_forest_total_disturbed_undisturbed,755572,45.02
15,gross_disturbed_forest,391265,23.31
15,gross_undisturbed_forest,364478,21.71
15,net_disturbed_forest,391168,23.3
15,net_undisturbed_forest,364404,21.71
15,gross_minus_net_disturbed_forest,97,0.01
15,gross_minus_net_undisturbed_forest,74,0.0
16,gross_forest_all_forest_types,1064763,63.44
16,net_forest_total_disturbed_undisturbed,750398,44.71
16,gross_disturbed_forest,386091,23.0
16,gross_undisturbed_forest,364478,21.71
16,net_disturbed_forest,385994,23.0
16,net_undisturbed_forest,364404,21.71
16,gross_minus_net_disturbed_forest,97,0.01
16,gross_minus_net_undisturbed_forest,74,0.0
17,gross_forest_all_forest_types,1061436,63.24
17,net_forest_total_disturbed_undisturbed,745249,44.4
