time_step,class,pixels,percentage
1,gross_forest_all_forest_types,1090903,64.99
1,net_forest_total_disturbed_undisturbed,790847,47.12
1,gross_disturbed_forest,478164,28.49
1,gross_undisturbed_forest,312857,18.64
1,net_disturbed_forest,478050,28.48
1,net_undisturbed_forest,312797,18.64
1,gross_minus_net_disturbed_forest,114,0.01
1,gross_minus_net_undisturbed_forest,60,0.0
2,gross_forest_all_forest_types,1092404,65.08
2,net_forest_total_disturbed_undisturbed,786046,46.83
2,gross_disturbed_forest,477876,28.47
2,gross_undisturbed_forest,312857,18.64
2,net_disturbed_forest,473249,28.19
2,net_undisturbed_forest,312797,18.64
2,gross_minus_net_disturbed_forest,4627,0.28
2,gross_minus_net_undisturbed_forest,60,0.0
3,gross_forest_all_forest_types,1094092,65.18
3,net_forest_total_disturbed_undisturbed,781686,46.57
3,gross_disturbed_forest,477824,28.47
3,gross_undisturbed_forest,312857,18.64
3,net_disturbed_forest,468889,27.94
3,net_undisturbed_forest,312797,18.64
3,gross_minus_net_disturbed_forest,8935,0.53
3,gross_minus_net_undisturbed_forest,60,0.0
4,gross_forest_all_forest_types,1095604,65.27
4,net_forest_total_disturbed_undisturbed,777978,46.35
4,gross_disturbed_forest,477587,28.45
4,gross_undisturbed_forest,312857,18.64
4,net_disturbed_forest,465181,27.71
4,net_undisturbed_forest,312797,18.64
4,gross_minus_net_disturbed_forest,12406,0.74
4,gross_minus_net_undisturbed_forest,60,0.0
5,gross_forest_all_forest_types,1096881,65.35
5,net_forest_total_disturbed_undisturbed,774549,46.15
5,gross_disturbed_forest,477103,28.42
5,gross_undisturbed_forest,312857,18.64
5,net_disturbed_forest,461752,27.51
5,net_undisturbed_forest,312797,18.64
5,gross_minus_net_disturbed_forest,15351,0.91
5,gross_minus_net_undisturbed_forest,60,0.0
6,gross_forest_all_forest_types,1098058,65.42
6,net_forest_total_disturbed_undisturbed,771116,45.94
6,gross_disturbed_forest,476447,28.39
6,gross_undisturbed_forest,312857,18.64
6,net_disturbed_forest,458319,27.31
6,net_undisturbed_forest,312797,18.64
6,gross_minus_net_disturbed_forest,18128,1.08
6,gross_minus_net_undisturbed_forest,60,0.0
7,gross_forest_all_forest_types,1099440,65.5
7,net_forest_total_disturbed_undisturbed,768258,45.77
7,gross_disturbed_forest,476103,28.36
7,gross_undisturbed_forest,312801,18.64
7,net_disturbed_forest,455517,27.14
7,net_undisturbed_forest,312741,18.63
7,gross_minus_net_disturbed_forest,20586,1.23
7,gross_minus_net_undisturbed_forest,60,0.0
8,gross_forest_all_forest_types,1100736,65.58
8,net_forest_total_disturbed_undisturbed,779518,46.44
8,gross_disturbed_forest,475608,28.34
8,gross_undisturbed_forest,312801,18.64
8,net_disturbed_forest,466777,27.81
8,net_undisturbed_forest,312741,18.63
8,gross_minus_net_disturbed_forest,8831,0.53
8,gross_minus_net_undisturbed_forest,60,0.0
9,gross_forest_all_forest_types,1101895,65.65
9,net_forest_total_disturbed_undisturbed,781925,46.59
9,gross_disturbed_forest,474900,28.29
9,gross_undisturbed_forest,312801,18.64
9,net_disturbed_forest,469184,27.95
9,net_undisturbed_forest,312741,18.63
9,gross_minus_net_disturbed_forest,5716,0.34
9,gross_minus_net_undisturbed_forest,60,0.0
10,gross_forest_all_forest_types,1103201,65.73
10,net_forest_total_disturbed_undisturbed,782670,46.63
10,gross_disturbed_forest,474390,28.26
10,gross_undisturbed_forest,312801,18.64
10,net_disturbed_forest,469929,28.0
10,net_undisturbed_forest,312741,18.63
10,gross_minus_net_disturbed_forest,4461,0.27
10,gross_minus_net_undisturbed_forest,60,0.0
11,gross_forest_all_forest_types,1104516,65.8
11,net_forest_total_disturbed_undisturbed,782746,46.63
11,gross_disturbed_forest,473878,28.23
11,gross_undisturbed_forest,312801,18.64
11,net_disturbed_forest,470005,28.0
11,net_undisturbed_forest,312741,18.63
11,gross_minus_net_disturbed_forest,3873,0.23
11,gross_minus_net_undisturbed_forest,60,0.0
12,gross_forest_all_forest_types,1105672,65.87
12,net_forest_total_disturbed_undisturbed,782470,46.62
12,gross_disturbed_forest,473197,28.19
12,gross_undisturbed_forest,312801,18.64
12,net_disturbed_forest,469729,27.99
12,net_undisturbed_forest,312741,18.63
12,gross_minus_net_disturbed_forest,3468,0.21
12,gross_minus_net_undisturbed_forest,60,0.0
13,gross_forest_all_forest_types,1106688,65.93
13,net_forest_total_disturbed_undisturbed,781873,46.58
13,gross_disturbed_forest,472302,28.14
13,gross_undisturbed_forest,312801,18.64
13,net_disturbed_forest,469132,27.95
13,net_undisturbed_forest,312741,18.63
13,gross_minus_net_disturbed_forest,3170,0.19
13,gross_minus_net_undisturbed_forest,60,0.0
14,gross_forest_all_forest_types,1107785,66.0
14,net_forest_total_disturbed_undisturbed,781516,46.56
14,gross_disturbed_forest,471540,28.09
14,gross_undisturbed_forest,312801,18.64
14,net_disturbed_forest,468775,27.93
14,net_undisturbed_forest,312741,18.63
14,gross_minus_net_disturbed_forest,2765,0.16
14,gross_minus_net_undisturbed_forest,60,0.0
15,gross_forest_all_forest_types,1108513,66.04
15,net_forest_total_disturbed_undisturbed,781139,46.54
15,gross_disturbed_forest,470399,28.03
15,gross_undisturbed_forest,312795,18.64
15,net_disturbed_forest,468404,27.91
15,net_undisturbed_forest,312735,18.63
15,gross_minus_net_disturbed_forest,1995,0.12
15,gross_minus_net_undisturbed_forest,60,0.0
16,gross_forest_all_forest_types,1109303,66.09
16,net_forest_total_disturbed_undisturbed,780657,46.51
16,gross_disturbed_forest,469244,27.96
16,gross_undisturbed_forest,312795,18.64
16,net_disturbed_forest,467922,27.88
16,net_undisturbed_forest,312735,18.63
16,gross_minus_net_disturbed_forest,1322,0.08
16,gross_minus_net_undisturbed_forest,60,0.0
17,gross_forest_all_forest_types,1110398,66.15
17,net_forest_total_disturbed_undisturbed,779408,46.44
17,gross_disturbed_forest,468444,27.91
17,gross_undisturbed_forest,312795,18.64
17,net_disturbed_forest,466673,27.8
17,net_undisturbed_forest,312735,18.63
17,gross_minus_net_disturbed_forest,1771,0.11
17,gross_minus_net_undisturbed_forest,60,0.0
18,gross_forest_all_forest_types,1111720,66.23
18,net_forest_total_disturbed_undisturbed,777435,46.32
18,gross_disturbed_forest,467857,27.87
18,gross_undisturbed_forest,312795,18.64
18,net_disturbed_forest,464700,27.69
18,net_undisturbed_forest,312735,18.63
18,gross_minus_net_disturbed_forest,3157,0.19
18,gross_minus_net_undisturbed_forest,60,0.0
19,gross_forest_all_forest_types,1113047,66.31
19,net_forest_total_disturbed_undisturbed,776385,46.26
19,gross_disturbed_forest,467268,27.84
19,gross_undisturbed_forest,312795,18.64
19,net_disturbed_forest,463650,27.62
19,net_undisturbed_forest,312735,18.63
19,gross_minus_net_disturbed_forest,3618,0.22
19,gross_minus_net_undisturbed_forest,60,0.0
20,gross_forest_all_forest_types,1114057,66.37
20,net_forest_total_disturbed_undisturbed,775617,46.21
20,gross_disturbed_forest,466280,27.78
20,gross_undisturbed_forest,312795,18.64
20,net_disturbed_forest,462882,27.58
20,net_undisturbed_forest,312735,18.63
20,gross_minus_net_disturbed_forest,3398,0.2
20,gross_minus_net_undisturbed_forest,60,0.0
21,gross_forest_all_forest_types,1115230,66.44
21,net_forest_total_disturbed_undisturbed,775372,46.19
21,gross_disturbed_forest,465509,27.73
21,gross_undisturbed_forest,312795,18.64
21,net_disturbed_forest,462637,27.56
21,net_undisturbed_forest,312735,18.63
21,gross_minus_net_disturbed_forest,2872,0.17
21,gross_minus_net_undisturbed_forest,60,0.0
22,gross_forest_all_forest_types,1116377,66.51
22,net_forest_total_disturbed_undisturbed,775175,46.18
22,gross_disturbed_forest,464700,27.69
22,gross_undisturbed_forest,312795,18.64
22,net_disturbed_forest,462440,27.55
22,net_undisturbed_forest,312735,18.63
22,gross_minus_net_disturbed_forest,2260,0.13
22,gross_minus_net_undisturbed_forest,60,0.0
23,gross_forest_all_forest_types,1117396,66.57
23,net_forest_total_disturbed_undisturbed,774643,46.15
23,gross_disturbed_forest,463684,27.63
23,gross_undisturbed_forest,312795,18.64
23,net_disturbed_forest,461908,27.52
23,net_undisturbed_forest,312735,18.63
23,gross_minus_net_disturbed_forest,1776,0.11
23,gross_minus_net_undisturbed_forest,60,0.0
24,gross_forest_all_forest_types,1118474,66.64
24,net_forest_total_disturbed_undisturbed,774182,46.12
24,gross_disturbed_forest,462779,27.57
24,gross_undisturbed_forest,312795,18.64
24,net_disturbed_forest,461447,27.49
24,net_undisturbed_forest,312735,18.63
24,gross_minus_net_disturbed_forest,1332,0.08
24,gross_minus_net_undisturbed_forest,60,0.0
25,gross_forest_all_forest_types,1119559,66.7
25,net_forest_total_disturbed_undisturbed,773569,46.09
25,gross_disturbed_forest,461871,27.52
25,gross_undisturbed_forest,312795,18.64
25,net_disturbed_forest,460834,27.46
25,net_undisturbed_forest,312735,18.63
25,gross_minus_net_disturbed_forest,1037,0.06
25,gross_minus_net_undisturbed_forest,60,0.0
26,gross_forest_all_forest_types,1119266,66.68
26,net_forest_total_disturbed_undisturbed,771497,45.96
26,gross_disturbed_forest,460127,27.41
26,gross_undisturbed_forest,312243,18.6
26,net_disturbed_forest,459314,27.36
26,net_undisturbed_forest,312183,18.6
26,gross_minus_net_disturbed_forest,813,0.05
26,gross_minus_net_undisturbed_forest,60,0.0
27,gross_forest_all_forest_types,1115666,66.47
27,net_forest_total_disturbed_undisturbed,765759,45.62
27,gross_disturbed_forest,454435,27.07
27,gross_undisturbed_forest,312243,18.6
27,net_disturbed_forest,453576,27.02
27,net_undisturbed_forest,312183,18.6
27,gross_minus_net_disturbed_forest,859,0.05
27,gross_minus_net_undisturbed_forest,60,0.0
28,gross_forest_all_forest_types,1112152,66.26
28,net_forest_total_disturbed_undisturbed,760143,45.29
28,gross_disturbed_forest,448895,26.74
28,gross_undisturbed_forest,312237,18.6
28,net_disturbed_forest,447966,26.69
28,net_undisturbed_forest,312177,18.6
28,gross_minus_net_disturbed_forest,929,0.06
28,gross_minus_net_undisturbed_forest,60,0.0
29,gross_forest_all_forest_types,1108578,66.05
29,net_forest_total_disturbed_undisturbed,754422,44.95
29,gross_disturbed_forest,443283,26.41
29,gross_undisturbed_forest,312230,18.6
29,net_disturbed_forest,442252,26.35
29,net_undisturbed_forest,312170,18.6
29,gross_minus_net_disturbed_forest,1031,0.06
29,gross_minus_net_undisturbed_forest,60,0.0
30,gross_forest_all_forest_types,1104913,65.83
30,net_forest_total_disturbed_undisturbed,748543,44.6
30,gross_disturbed_forest,437493,26.06
30,gross_undisturbed_forest,312225,18.6
30,net_disturbed_forest,436378,26.0
30,net_undisturbed_forest,312165,18.6
30,gross_minus_net_disturbed_forest,1115,0.07
30,gross_minus_net_undisturbed_forest,60,0.0
31,gross_forest_all_forest_types,1101252,65.61
31,net_forest_total_disturbed_undisturbed,742699,44.25
31,gross_disturbed_forest,431764,25.72
31,gross_undisturbed_forest,312221,18.6
31,net_disturbed_forest,430538,25.65
31,net_undisturbed_forest,312161,18.6
31,gross_minus_net_disturbed_forest,1226,0.07
31,gross_minus_net_undisturbed_forest,60,0.0
32,gross_forest_all_forest_types,1097578,65.39
32,net_forest_total_disturbed_undisturbed,736804,43.9
32,gross_disturbed_forest,426004,25.38
32,gross_undisturbed_forest,312221,18.6
32,net_disturbed_forest,424643,25.3
32,net_undisturbed_forest,312161,18.6
32,gross_minus_net_disturbed_forest,1361,0.08
32,gross_minus_net_undisturbed_forest,60,0.0
33,gross_forest_all_forest_types,1093810,65.17
33,net_forest_total_disturbed_undisturbed,730844,43.54
33,gross_disturbed_forest,420142,25.03
33,gross_undisturbed_forest,312217,18.6
33,net_disturbed_forest,418687,24.94
33,net_undisturbed_forest,312157,18.6
33,gross_minus_net_disturbed_forest,1455,0.09
33,gross_minus_net_undisturbed_forest,60,0.0
34,gross_forest_all_forest_types,1089978,64.94
34,net_forest_total_disturbed_undisturbed,724717,43.18
34,gross_disturbed_forest,414125,24.67
34,gross_undisturbed_forest,312213,18.6
34,net_disturbed_forest,412564,24.58
34,net_undisturbed_forest,312153,18.6
