time_step,class,pixels,percentage
1,gross_undisturbed_forest,2815713,167.75
1,gross_disturbed_forest,1652136,98.43
1,net_undisturbed_forest,2815173,167.72
1,net_disturbed_forest,1651328,98.38
1,gross_minus_net_undisturbed_forest,540,0.03
1,gross_minus_net_disturbed_forest,808,0.05
2,gross_undisturbed_forest,2815713,167.75
2,gross_disturbed_forest,1653656,98.52
2,net_undisturbed_forest,2815173,167.72
2,net_disturbed_forest,1650784,98.35
2,gross_minus_net_undisturbed_forest,540,0.03
2,gross_minus_net_disturbed_forest,2872,0.17
3,gross_undisturbed_forest,2815713,167.75
3,gross_disturbed_forest,1654784,98.59
3,net_undisturbed_forest,2815173,167.72
3,net_disturbed_forest,1649752,98.29
3,gross_minus_net_undisturbed_forest,540,0.03
3,gross_minus_net_disturbed_forest,5032,0.3
4,gross_undisturbed_forest,2815713,167.75
4,gross_disturbed_forest,1655736,98.64
4,net_undisturbed_forest,2815173,167.72
4,net_disturbed_forest,1648560,98.22
4,gross_minus_net_undisturbed_forest,540,0.03
4,gross_minus_net_disturbed_forest,7176,0.43
5,gross_undisturbed_forest,2815713,167.75
5,gross_disturbed_forest,1656096,98.67
5,net_undisturbed_forest,2815173,167.72
5,net_disturbed_forest,1647136,98.13
5,gross_minus_net_undisturbed_forest,540,0.03
5,gross_minus_net_disturbed_forest,8960,0.53
6,gross_undisturbed_forest,2815713,167.75
6,gross_disturbed_forest,1656624,98.7
6,net_undisturbed_forest,2815173,167.72
6,net_disturbed_forest,1645888,98.06
6,gross_minus_net_undisturbed_forest,540,0.03
6,gross_minus_net_disturbed_forest,10736,0.64
7,gross_undisturbed_forest,2815209,167.72
7,gross_disturbed_forest,1656384,98.68
7,net_undisturbed_forest,2814669,167.69
7,net_disturbed_forest,1644104,97.95
7,gross_minus_net_undisturbed_forest,540,0.03
7,gross_minus_net_disturbed_forest,12280,0.73
8,gross_undisturbed_forest,2815209,167.72
8,gross_disturbed_forest,1657704,98.76
8,net_undisturbed_forest,2814669,167.69
8,net_disturbed_forest,1655280,98.62
8,gross_minus_net_undisturbed_forest,540,0.03
8,gross_minus_net_disturbed_forest,2424,0.14
9,gross_undisturbed_forest,2815209,167.72
9,gross_disturbed_forest,1658952,98.84
9,net_undisturbed_forest,2814669,167.69
9,net_disturbed_forest,1657776,98.77
9,gross_minus_net_undisturbed_forest,540,0.03
9,gross_minus_net_disturbed_forest,1176,0.07
10,gross_undisturbed_forest,2815209,167.72
10,gross_disturbed_forest,1659968,98.9
10,net_undisturbed_forest,2814669,167.69
10,net_disturbed_forest,1658976,98.84
10,gross_minus_net_undisturbed_forest,540,0.03
10,gross_minus_net_disturbed_forest,992,0.06
11,gross_undisturbed_forest,2815209,167.72
11,gross_disturbed_forest,1661200,98.97
11,net_undisturbed_forest,2814669,167.69
11,net_disturbed_forest,1660256,98.91
11,gross_minus_net_undisturbed_forest,540,0.03
11,gross_minus_net_disturbed_forest,944,0.06
12,gross_undisturbed_forest,2815209,167.72
12,gross_disturbed_forest,1662584,99.05
12,net_undisturbed_forest,2814669,167.69
12,net_disturbed_forest,1661648,99.0
12,gross_minus_net_undisturbed_forest,540,0.03
12,gross_minus_net_disturbed_forest,936,0.06
13,gross_undisturbed_forest,2815209,167.72
13,gross_disturbed_forest,1663240,99.09
13,net_undisturbed_forest,2814669,167.69
13,net_disturbed_forest,1662304,99.04
13,gross_minus_net_undisturbed_forest,540,0.03
13,gross_minus_net_disturbed_forest,936,0.06
14,gross_undisturbed_forest,2815209,167.72
14,gross_disturbed_forest,1664624,99.17
14,net_undisturbed_forest,2814669,167.69
14,net_disturbed_forest,1663688,99.12
14,gross_minus_net_undisturbed_forest,540,0.03
14,gross_minus_net_disturbed_forest,936,0.06
15,gross_undisturbed_forest,2815155,167.72
15,gross_disturbed_forest,1666264,99.27
15,net_undisturbed_forest,2814615,167.69
15,net_disturbed_forest,1665336,99.22
15,gross_minus_net_undisturbed_forest,540,0.03
15,gross_minus_net_disturbed_forest,928,0.06
16,gross_undisturbed_forest,2815155,167.72
16,gross_disturbed_forest,1671312,99.57
16,net_undisturbed_forest,2814615,167.69
16,net_disturbed_forest,1670384,99.52
16,gross_minus_net_undisturbed_forest,540,0.03
16,gross_minus_net_disturbed_forest,928,0.06
17,gross_undisturbed_forest,2815155,167.72
17,gross_disturbed_forest,1677184,99.92
17,net_undisturbed_forest,2814615,167.69
17,net_disturbed_forest,1676256,99.87
17,gross_minus_net_undisturbed_forest,540,0.03
17,gross_minus_net_disturbed_forest,928,0.06
18,gross_undisturbed_forest,2815155,167.72
18,gross_disturbed_forest,1667752,99.36
18,net_undisturbed_forest,2814615,167.69
18,net_disturbed_forest,1666824,99.31
18,gross_minus_net_undisturbed_forest,540,0.03
18,gross_minus_net_disturbed_forest,928,0.06
19,gross_undisturbed_forest,2815155,167.72
19,gross_disturbed_forest,1663408,99.1
19,net_undisturbed_forest,2814615,167.69
19,net_disturbed_forest,1662480,99.05
19,gross_minus_net_undisturbed_forest,540,0.03
19,gross_minus_net_disturbed_forest,928,0.06
20,gross_undisturbed_forest,2815155,167.72
20,gross_disturbed_forest,1661888,99.01
20,net_undisturbed_forest,2814615,167.69
20,net_disturbed_forest,1660960,98.96
20,gross_minus_net_undisturbed_forest,540,0.03
20,gross_minus_net_disturbed_forest,928,0.06
21,gross_undisturbed_forest,2815155,167.72
21,gross_disturbed_forest,1664952,99.19
21,net_undisturbed_forest,2814615,167.69
21,net_disturbed_forest,1664024,99.14
21,gross_minus_net_undisturbed_forest,540,0.03
21,gross_minus_net_disturbed_forest,928,0.06
22,gross_undisturbed_forest,2815155,167.72
22,gross_disturbed_forest,1669240,99.45
22,net_undisturbed_forest,2814615,167.69
22,net_disturbed_forest,1668312,99.39
22,gross_minus_net_undisturbed_forest,540,0.03
22,gross_minus_net_disturbed_forest,928,0.06
23,gross_undisturbed_forest,2815155,167.72
