time_step,class,pixels,percentage
1,gross_undisturbed_forest,3280716,195.46
1,gross_disturbed_forest,1229112,73.23
1,net_undisturbed_forest,3280050,195.42
1,net_disturbed_forest,1229000,73.22
1,gross_minus_net_undisturbed_forest,666,0.04
1,gross_minus_net_disturbed_forest,112,0.01
2,gross_undisturbed_forest,3280527,195.45
2,gross_disturbed_forest,1229080,73.23
2,net_undisturbed_forest,3279861,195.41
2,net_disturbed_forest,1228968,73.22
2,gross_minus_net_undisturbed_forest,666,0.04
2,gross_minus_net_disturbed_forest,112,0.01
3,gross_undisturbed_forest,3280527,195.45
3,gross_disturbed_forest,1228872,73.21
3,net_undisturbed_forest,3279861,195.41
3,net_disturbed_forest,1228760,73.21
3,gross_minus_net_undisturbed_forest,666,0.04
3,gross_minus_net_disturbed_forest,112,0.01
4,gross_undisturbed_forest,3280527,195.45
4,gross_disturbed_forest,1228960,73.22
4,net_undisturbed_forest,3279861,195.41
4,net_disturbed_forest,1228824,73.21
4,gross_minus_net_undisturbed_forest,666,0.04
4,gross_minus_net_disturbed_forest,136,0.01
5,gross_undisturbed_forest,3280527,195.45
5,gross_disturbed_forest,1228600,73.2
5,net_undisturbed_forest,3279861,195.41
5,net_disturbed_forest,1228464,73.19
5,gross_minus_net_undisturbed_forest,666,0.04
5,gross_minus_net_disturbed_forest,136,0.01
6,gross_undisturbed_forest,3280527,195.45
6,gross_disturbed_forest,1233480,73.49
6,net_undisturbed_forest,3279861,195.41
6,net_disturbed_forest,1233112,73.47
6,gross_minus_net_undisturbed_forest,666,0.04
6,gross_minus_net_disturbed_forest,368,0.02
7,gross_undisturbed_forest,3280527,195.45
7,gross_disturbed_forest,1241400,73.96
7,net_undisturbed_forest,3279861,195.41
7,net_disturbed_forest,1240704,73.92
7,gross_minus_net_undisturbed_forest,666,0.04
7,gross_minus_net_disturbed_forest,696,0.04
8,gross_undisturbed_forest,3280338,195.43
8,gross_disturbed_forest,1239424,73.84
8,net_undisturbed_forest,3279672,195.39
8,net_disturbed_forest,1238728,73.8
8,gross_minus_net_undisturbed_forest,666,0.04
8,gross_minus_net_disturbed_forest,696,0.04
9,gross_undisturbed_forest,3280338,195.43
9,gross_disturbed_forest,1238504,73.79
9,net_undisturbed_forest,3279672,195.39
9,net_disturbed_forest,1237808,73.75
9,gross_minus_net_undisturbed_forest,666,0.04
9,gross_minus_net_disturbed_forest,696,0.04
10,gross_undisturbed_forest,3280338,195.43
10,gross_disturbed_forest,1237664,73.74
10,net_undisturbed_forest,3279672,195.39
10,net_disturbed_forest,1236968,73.7
10,gross_minus_net_undisturbed_forest,666,0.04
10,gross_minus_net_disturbed_forest,696,0.04
11,gross_undisturbed_forest,3280338,195.43
11,gross_disturbed_forest,1236760,73.68
11,net_undisturbed_forest,3279672,195.39
11,net_disturbed_forest,1236064,73.64
11,gross_minus_net_undisturbed_forest,666,0.04
11,gross_minus_net_disturbed_forest,696,0.04
12,gross_undisturbed_forest,3280338,195.43
12,gross_disturbed_forest,1235840,73.63
12,net_undisturbed_forest,3279672,195.39
12,net_disturbed_forest,1235144,73.59
12,gross_minus_net_undisturbed_forest,666,0.04
12,gross_minus_net_disturbed_forest,696,0.04
13,gross_undisturbed_forest,3280320,195.43
13,gross_disturbed_forest,1234768,73.56
13,net_undisturbed_forest,3279654,195.39
13,net_disturbed_forest,1234072,73.52
13,gross_minus_net_undisturbed_forest,666,0.04
13,gross_minus_net_disturbed_forest,696,0.04
14,gross_undisturbed_forest,3280302,195.43
14,gross_disturbed_forest,1232520,73.43
14,net_undisturbed_forest,3279636,195.39
14,net_disturbed_forest,1231824,73.39
14,gross_minus_net_undisturbed_forest,666,0.04
14,gross_minus_net_disturbed_forest,696,0.04
15,gross_undisturbed_forest,3280302,195.43
15,gross_disturbed_forest,1231080,73.34
15,net_undisturbed_forest,3279636,195.39
15,net_disturbed_forest,1230384,73.3
