time_step,type,AGB,Carbon
1,potential_maximum_undisturbed_AGB,295296704.0,147648352.0
1,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
1,final_total_AGB_gross_forest,153994560.0,76997280.0
1,final_total_AGB_net_forest,122244000.0,61122000.0
1,final_total_AGB_gross_minus_net_forest,31750560.0,15875280.0
1,final_total_AGB_agroforestry,31730926.0,15865463.0
1,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
1,final_total_AGB_gross_disturbed_forest,23531598.0,11765799.0
1,final_total_AGB_net_disturbed_forest,23529614.0,11765799.0
1,final_total_AGB_gross_minus_net_disturbed_forest,1984.0,0.0
1,final_total_AGB_gross_undisturbed_forest,98732048.0,49366024.0
1,final_total_AGB_net_undisturbed_forest,98714384.0,49357192.0
1,final_total_AGB_gross_minus_net_undisturbed_forest,17664.0,8832.0
2,potential_maximum_undisturbed_AGB,295296704.0,147648352.0
2,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
2,final_total_AGB_gross_forest,152993104.0,76496552.0
2,final_total_AGB_net_forest,120016792.0,60008396.0
2,final_total_AGB_gross_minus_net_forest,32976312.0,16488156.0
2,final_total_AGB_agroforestry,32956774.0,16478387.0
2,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
2,final_total_AGB_gross_disturbed_forest,20880180.0,10440090.0
2,final_total_AGB_net_disturbed_forest,20878434.0,10440090.0
2,final_total_AGB_gross_minus_net_disturbed_forest,1746.0,0.0
2,final_total_AGB_gross_undisturbed_forest,99156144.0,49578072.0
2,final_total_AGB_net_undisturbed_forest,99138352.0,49569176.0
2,final_total_AGB_gross_minus_net_undisturbed_forest,17792.0,8896.0
3,potential_maximum_undisturbed_AGB,295296704.0,147648352.0
3,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
3,final_total_AGB_gross_forest,154621920.0,77310960.0
3,final_total_AGB_net_forest,120498864.0,60249432.0
3,final_total_AGB_gross_minus_net_forest,34123056.0,17061528.0
3,final_total_AGB_agroforestry,34103376.0,17051688.0
3,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
3,final_total_AGB_gross_disturbed_forest,21003298.0,10501649.0
3,final_total_AGB_net_disturbed_forest,21001528.0,10501649.0
3,final_total_AGB_gross_minus_net_disturbed_forest,1770.0,0.0
3,final_total_AGB_gross_undisturbed_forest,99515240.0,49757620.0
3,final_total_AGB_net_undisturbed_forest,99497336.0,49748668.0
3,final_total_AGB_gross_minus_net_undisturbed_forest,17904.0,8952.0
4,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
4,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
4,final_total_AGB_gross_forest,134315776.0,67157888.0
4,final_total_AGB_net_forest,100330744.0,50165372.0
4,final_total_AGB_gross_minus_net_forest,33985032.0,16992516.0
4,final_total_AGB_agroforestry,33968652.0,16984326.0
4,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
4,final_total_AGB_gross_disturbed_forest,18713510.0,9356755.0
4,final_total_AGB_net_disturbed_forest,18711848.0,9356755.0
4,final_total_AGB_gross_minus_net_disturbed_forest,1662.0,0.0
4,final_total_AGB_gross_undisturbed_forest,81633608.0,40816804.0
4,final_total_AGB_net_undisturbed_forest,81618896.0,40809448.0
4,final_total_AGB_gross_minus_net_undisturbed_forest,14712.0,7356.0
5,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
5,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
5,final_total_AGB_gross_forest,136108512.0,68054256.0
5,final_total_AGB_net_forest,100657880.0,50328940.0
5,final_total_AGB_gross_minus_net_forest,35450632.0,17725316.0
5,final_total_AGB_agroforestry,35434148.0,17717074.0
5,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
5,final_total_AGB_gross_disturbed_forest,18872424.0,9436212.0
5,final_total_AGB_net_disturbed_forest,18870728.0,9436212.0
5,final_total_AGB_gross_minus_net_disturbed_forest,1696.0,0.0
5,final_total_AGB_gross_undisturbed_forest,81801936.0,40900968.0
5,final_total_AGB_net_undisturbed_forest,81787152.0,40893576.0
5,final_total_AGB_gross_minus_net_undisturbed_forest,14784.0,7392.0
6,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
6,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
6,final_total_AGB_gross_forest,137833040.0,68916520.0
6,final_total_AGB_net_forest,100965752.0,50482876.0
6,final_total_AGB_gross_minus_net_forest,36867288.0,18433644.0
6,final_total_AGB_agroforestry,36850284.0,18425142.0
6,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
6,final_total_AGB_gross_disturbed_forest,19029034.0,9514517.0
6,final_total_AGB_net_disturbed_forest,19026898.0,9514517.0
6,final_total_AGB_gross_minus_net_disturbed_forest,2136.0,0.0
6,final_total_AGB_gross_undisturbed_forest,81953720.0,40976860.0
6,final_total_AGB_net_undisturbed_forest,81938856.0,40969428.0
6,final_total_AGB_gross_minus_net_undisturbed_forest,14864.0,7432.0
7,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
7,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
7,final_total_AGB_gross_forest,139497536.0,69748768.0
7,final_total_AGB_net_forest,101271000.0,50635500.0
7,final_total_AGB_gross_minus_net_forest,38226536.0,19113268.0
7,final_total_AGB_agroforestry,38208368.0,19104184.0
7,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
7,final_total_AGB_gross_disturbed_forest,19198206.0,9599103.0
7,final_total_AGB_net_disturbed_forest,19194970.0,9599103.0
7,final_total_AGB_gross_minus_net_disturbed_forest,3236.0,0.0
7,final_total_AGB_gross_undisturbed_forest,82090960.0,41045480.0
7,final_total_AGB_net_undisturbed_forest,82076032.0,41038016.0
7,final_total_AGB_gross_minus_net_undisturbed_forest,14928.0,7464.0
8,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
8,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
8,final_total_AGB_gross_forest,141019408.0,70509704.0
8,final_total_AGB_net_forest,101495480.0,50747740.0
8,final_total_AGB_gross_minus_net_forest,39523928.0,19761964.0
8,final_total_AGB_agroforestry,39505552.0,19752776.0
8,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
8,final_total_AGB_gross_disturbed_forest,19300362.0,9650181.0
8,final_total_AGB_net_disturbed_forest,19296998.0,9650181.0
8,final_total_AGB_gross_minus_net_disturbed_forest,3364.0,0.0
8,final_total_AGB_gross_undisturbed_forest,82213488.0,41106744.0
8,final_total_AGB_net_undisturbed_forest,82198488.0,41099244.0
8,final_total_AGB_gross_minus_net_undisturbed_forest,15000.0,7500.0
9,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
9,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
9,final_total_AGB_gross_forest,142493728.0,71246864.0
9,final_total_AGB_net_forest,101732472.0,50866236.0
9,final_total_AGB_gross_minus_net_forest,40761256.0,20380628.0
9,final_total_AGB_agroforestry,40742656.0,20371328.0
9,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
9,final_total_AGB_gross_disturbed_forest,19424706.0,9712353.0
9,final_total_AGB_net_disturbed_forest,19421170.0,9712353.0
9,final_total_AGB_gross_minus_net_disturbed_forest,3536.0,0.0
9,final_total_AGB_gross_undisturbed_forest,82326368.0,41163184.0
9,final_total_AGB_net_undisturbed_forest,82311296.0,41155648.0
9,final_total_AGB_gross_minus_net_undisturbed_forest,15072.0,7536.0
10,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
10,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
10,final_total_AGB_gross_forest,143887248.0,71943624.0
10,final_total_AGB_net_forest,101950616.0,50975308.0
10,final_total_AGB_gross_minus_net_forest,41936632.0,20968316.0
