time_step,type,AGB,Carbon
1,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
1,initial_AGB_gross_forest_simulation_start,141015056.0,70507528.0
1,final_total_AGB_gross_forest,126747024.0,63373512.0
1,final_total_AGB_net_forest,85926416.0,42963208.0
1,final_total_AGB_gross_minus_net_forest,40820608.0,20410304.0
1,final_total_AGB_agroforestry,40804096.0,20402048.0
1,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
1,final_total_AGB_gross_disturbed_forest,13513745.0,6756872.5
1,final_total_AGB_net_disturbed_forest,13510539.0,6756872.5
1,final_total_AGB_gross_minus_net_disturbed_forest,3206.0,0.0
1,final_total_AGB_gross_undisturbed_forest,72429184.0,36214592.0
1,final_total_AGB_net_undisturbed_forest,72415880.0,36207940.0
1,final_total_AGB_gross_minus_net_undisturbed_forest,13304.0,6652.0
2,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
2,initial_AGB_gross_forest_simulation_start,141015056.0,70507528.0
2,final_total_AGB_gross_forest,126306608.0,63153304.0
2,final_total_AGB_net_forest,84292440.0,42146220.0
2,final_total_AGB_gross_minus_net_forest,42014168.0,21007084.0
2,final_total_AGB_agroforestry,41997448.0,20998724.0
2,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
2,final_total_AGB_gross_disturbed_forest,11805818.0,5902909.0
2,final_total_AGB_net_disturbed_forest,11802437.0,5902909.0
2,final_total_AGB_gross_minus_net_disturbed_forest,3381.0,0.0
2,final_total_AGB_gross_undisturbed_forest,72503344.0,36251672.0
2,final_total_AGB_net_undisturbed_forest,72490000.0,36245000.0
2,final_total_AGB_gross_minus_net_undisturbed_forest,13344.0,6672.0
3,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
3,initial_AGB_gross_forest_simulation_start,141015056.0,70507528.0
3,final_total_AGB_gross_forest,127526632.0,63763316.0
3,final_total_AGB_net_forest,84393424.0,42196712.0
3,final_total_AGB_gross_minus_net_forest,43133208.0,21566604.0
3,final_total_AGB_agroforestry,43114408.0,21557204.0
3,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
3,final_total_AGB_gross_disturbed_forest,11842318.0,5921159.0
3,final_total_AGB_net_disturbed_forest,11836886.0,5921159.0
3,final_total_AGB_gross_minus_net_disturbed_forest,5432.0,0.0
3,final_total_AGB_gross_undisturbed_forest,72569912.0,36284956.0
3,final_total_AGB_net_undisturbed_forest,72556536.0,36278268.0
3,final_total_AGB_gross_minus_net_undisturbed_forest,13376.0,6688.0
4,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
4,initial_AGB_gross_forest_simulation_start,141015056.0,70507528.0
4,final_total_AGB_gross_forest,128669536.0,64334768.0
4,final_total_AGB_net_forest,84485840.0,42242920.0
4,final_total_AGB_gross_minus_net_forest,44183696.0,22091848.0
4,final_total_AGB_agroforestry,44161300.0,22080650.0
4,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
4,final_total_AGB_gross_disturbed_forest,11877784.0,5938892.0
4,final_total_AGB_net_disturbed_forest,11868795.0,5938892.0
4,final_total_AGB_gross_minus_net_disturbed_forest,8989.0,0.0
