time_step,class,pixels,percentage,specification
1,restricted_area,414987,24.72,percentage of landscape
1,total_landuse_restricted_areas,48942,11.79,percentage of restricted area
1,total_new_landuse_restricted_areas,0,0.0,percentage of restricted area
1,total_new_landuse_restricted_areas_on_former_forest,0,0.0,percentage of restricted area
2,restricted_area,414987,24.72,percentage of landscape
2,total_landuse_restricted_areas,51368,12.38,percentage of restricted area
2,total_new_landuse_restricted_areas,2464,0.59,percentage of restricted area
2,total_new_landuse_restricted_areas_on_former_forest,2325,0.56,percentage of restricted area
3,restricted_area,414987,24.72,percentage of landscape
3,total_landuse_restricted_areas,52423,12.63,percentage of restricted area
3,total_new_landuse_restricted_areas,1149,0.28,percentage of restricted area
3,total_new_landuse_restricted_areas_on_former_forest,986,0.24,percentage of restricted area
4,restricted_area,414987,24.72,percentage of landscape
4,total_landuse_restricted_areas,53146,12.81,percentage of restricted area
4,total_new_landuse_restricted_areas,878,0.21,percentage of restricted area
4,total_new_landuse_restricted_areas_on_former_forest,705,0.17,percentage of restricted area
5,restricted_area,414987,24.72,percentage of landscape
5,total_landuse_restricted_areas,53715,12.94,percentage of restricted area
5,total_new_landuse_restricted_areas,726,0.17,percentage of restricted area
5,total_new_landuse_restricted_areas_on_former_forest,587,0.14,percentage of restricted area
6,restricted_area,414987,24.72,percentage of landscape
6,total_landuse_restricted_areas,54212,13.06,percentage of restricted area
6,total_new_landuse_restricted_areas,612,0.15,percentage of restricted area
6,total_new_landuse_restricted_areas_on_former_forest,515,0.12,percentage of restricted area
7,restricted_area,414987,24.72,percentage of landscape
7,total_landuse_restricted_areas,54644,13.17,percentage of restricted area
7,total_new_landuse_restricted_areas,545,0.13,percentage of restricted area
7,total_new_landuse_restricted_areas_on_former_forest,451,0.11,percentage of restricted area
8,restricted_area,414987,24.72,percentage of landscape
8,total_landuse_restricted_areas,54972,13.25,percentage of restricted area
8,total_new_landuse_restricted_areas,453,0.11,percentage of restricted area
8,total_new_landuse_restricted_areas_on_former_forest,381,0.09,percentage of restricted area
9,restricted_area,414987,24.72,percentage of landscape
9,total_landuse_restricted_areas,55251,13.31,percentage of restricted area
9,total_new_landuse_restricted_areas,373,0.09,percentage of restricted area
9,total_new_landuse_restricted_areas_on_former_forest,324,0.08,percentage of restricted area
10,restricted_area,414987,24.72,percentage of landscape
10,total_landuse_restricted_areas,55461,13.36,percentage of restricted area
10,total_new_landuse_restricted_areas,348,0.08,percentage of restricted area
10,total_new_landuse_restricted_areas_on_former_forest,291,0.07,percentage of restricted area
11,restricted_area,414987,24.72,percentage of landscape
11,total_landuse_restricted_areas,55613,13.4,percentage of restricted area
11,total_new_landuse_restricted_areas,281,0.07,percentage of restricted area
11,total_new_landuse_restricted_areas_on_former_forest,227,0.05,percentage of restricted area
12,restricted_area,414987,24.72,percentage of landscape
12,total_landuse_restricted_areas,55771,13.44,percentage of restricted area
12,total_new_landuse_restricted_areas,275,0.07,percentage of restricted area
12,total_new_landuse_restricted_areas_on_former_forest,237,0.06,percentage of restricted area
13,restricted_area,414987,24.72,percentage of landscape
13,total_landuse_restricted_areas,55868,13.46,percentage of restricted area
13,total_new_landuse_restricted_areas,249,0.06,percentage of restricted area
13,total_new_landuse_restricted_areas_on_former_forest,191,0.05,percentage of restricted area
14,restricted_area,414987,24.72,percentage of landscape
14,total_landuse_restricted_areas,55913,13.47,percentage of restricted area
14,total_new_landuse_restricted_areas,204,0.05,percentage of restricted area
14,total_new_landuse_restricted_areas_on_former_forest,173,0.04,percentage of restricted area
15,restricted_area,414987,24.72,percentage of landscape
15,total_landuse_restricted_areas,55844,13.46,percentage of restricted area
15,total_new_landuse_restricted_areas,153,0.04,percentage of restricted area
15,total_new_landuse_restricted_areas_on_former_forest,108,0.03,percentage of restricted area
16,restricted_area,414987,24.72,percentage of landscape
16,total_landuse_restricted_areas,55499,13.37,percentage of restricted area
16,total_new_landuse_restricted_areas,193,0.05,percentage of restricted area
16,total_new_landuse_restricted_areas_on_former_forest,119,0.03,percentage of restricted area
17,restricted_area,414987,24.72,percentage of landscape
17,total_landuse_restricted_areas,55458,13.36,percentage of restricted area
17,total_new_landuse_restricted_areas,161,0.04,percentage of restricted area
17,total_new_landuse_restricted_areas_on_former_forest,124,0.03,percentage of restricted area
18,restricted_area,414987,24.72,percentage of landscape
18,total_landuse_restricted_areas,55579,13.39,percentage of restricted area
18,total_new_landuse_restricted_areas,175,0.04,percentage of restricted area
18,total_new_landuse_restricted_areas_on_former_forest,149,0.04,percentage of restricted area
19,restricted_area,414987,24.72,percentage of landscape
19,total_landuse_restricted_areas,55684,13.42,percentage of restricted area
19,total_new_landuse_restricted_areas,169,0.04,percentage of restricted area
19,total_new_landuse_restricted_areas_on_former_forest,151,0.04,percentage of restricted area
20,restricted_area,414987,24.72,percentage of landscape
20,total_landuse_restricted_areas,55848,13.46,percentage of restricted area
20,total_new_landuse_restricted_areas,207,0.05,percentage of restricted area
20,total_new_landuse_restricted_areas_on_former_forest,186,0.04,percentage of restricted area
21,restricted_area,414987,24.72,percentage of landscape
21,total_landuse_restricted_areas,56081,13.51,percentage of restricted area
21,total_new_landuse_restricted_areas,285,0.07,percentage of restricted area
21,total_new_landuse_restricted_areas_on_former_forest,262,0.06,percentage of restricted area
22,restricted_area,414987,24.72,percentage of landscape
22,total_landuse_restricted_areas,56355,13.58,percentage of restricted area
22,total_new_landuse_restricted_areas,340,0.08,percentage of restricted area
22,total_new_landuse_restricted_areas_on_former_forest,318,0.08,percentage of restricted area
23,restricted_area,414987,24.72,percentage of landscape
23,total_landuse_restricted_areas,56645,13.65,percentage of restricted area
23,total_new_landuse_restricted_areas,350,0.08,percentage of restricted area
23,total_new_landuse_restricted_areas_on_former_forest,337,0.08,percentage of restricted area
24,restricted_area,414987,24.72,percentage of landscape
24,total_landuse_restricted_areas,56938,13.72,percentage of restricted area
24,total_new_landuse_restricted_areas,356,0.09,percentage of restricted area
24,total_new_landuse_restricted_areas_on_former_forest,337,0.08,percentage of restricted area
25,restricted_area,414987,24.72,percentage of landscape
25,total_landuse_restricted_areas,57150,13.77,percentage of restricted area
25,total_new_landuse_restricted_areas,262,0.06,percentage of restricted area
25,total_new_landuse_restricted_areas_on_former_forest,243,0.06,percentage of restricted area
26,restricted_area,414987,24.72,percentage of landscape
26,total_landuse_restricted_areas,57542,13.87,percentage of restricted area
26,total_new_landuse_restricted_areas,406,0.1,percentage of restricted area
26,total_new_landuse_restricted_areas_on_former_forest,373,0.09,percentage of restricted area
27,restricted_area,414987,24.72,percentage of landscape
27,total_landuse_restricted_areas,58162,14.02,percentage of restricted area
27,total_new_landuse_restricted_areas,694,0.17,percentage of restricted area
27,total_new_landuse_restricted_areas_on_former_forest,630,0.15,percentage of restricted area
28,restricted_area,414987,24.72,percentage of landscape
28,total_landuse_restricted_areas,58821,14.17,percentage of restricted area
28,total_new_landuse_restricted_areas,727,0.18,percentage of restricted area
28,total_new_landuse_restricted_areas_on_former_forest,654,0.16,percentage of restricted area
29,restricted_area,414987,24.72,percentage of landscape
29,total_landuse_restricted_areas,59578,14.36,percentage of restricted area
29,total_new_landuse_restricted_areas,816,0.2,percentage of restricted area
29,total_new_landuse_restricted_areas_on_former_forest,751,0.18,percentage of restricted area
30,restricted_area,414987,24.72,percentage of landscape
30,total_landuse_restricted_areas,60397,14.55,percentage of restricted area
30,total_new_landuse_restricted_areas,880,0.21,percentage of restricted area
30,total_new_landuse_restricted_areas_on_former_forest,794,0.19,percentage of restricted area
31,restricted_area,414987,24.72,percentage of landscape
31,total_landuse_restricted_areas,61143,14.73,percentage of restricted area
31,total_new_landuse_restricted_areas,815,0.2,percentage of restricted area
31,total_new_landuse_restricted_areas_on_former_forest,727,0.18,percentage of restricted area
32,restricted_area,414987,24.72,percentage of landscape
32,total_landuse_restricted_areas,61843,14.9,percentage of restricted area
32,total_new_landuse_restricted_areas,769,0.19,percentage of restricted area
32,total_new_landuse_restricted_areas_on_former_forest,672,0.16,percentage of restricted area
33,restricted_area,414987,24.72,percentage of landscape
33,total_landuse_restricted_areas,62711,15.11,percentage of restricted area
33,total_new_landuse_restricted_areas,960,0.23,percentage of restricted area
33,total_new_landuse_restricted_areas_on_former_forest,860,0.21,percentage of restricted area
34,restricted_area,414987,24.72,percentage of landscape
34,total_landuse_restricted_areas,63542,15.31,percentage of restricted area
34,total_new_landuse_restricted_areas,900,0.22,percentage of restricted area
34,total_new_landuse_restricted_areas_on_former_forest,775,0.19,percentage of restricted area
35,restricted_area,414987,24.72,percentage of landscape
35,total_landuse_restricted_areas,64450,15.53,percentage of restricted area
35,total_new_landuse_restricted_areas,1002,0.24,percentage of restricted area
