time_step,LUT_code,pixels,percentage
1,LUT01,29394,1.75
1,LUT02,11619,0.69
1,LUT03,146146,8.71
1,LUT04,126118,7.51
1,LUT05,44756,2.67
2,LUT01,30018,1.79
2,LUT02,11697,0.7
2,LUT03,148921,8.87
2,LUT04,127685,7.61
2,LUT05,44756,2.67
3,LUT01,31002,1.85
3,LUT02,11781,0.7
3,LUT03,151483,9.02
3,LUT04,129397,7.71
3,LUT05,44756,2.67
4,LUT01,31471,1.87
4,LUT02,11837,0.71
4,LUT03,153928,9.17
4,LUT04,131061,7.81
4,LUT05,44756,2.67
5,LUT01,31968,1.9
5,LUT02,11895,0.71
5,LUT03,156619,9.33
5,LUT04,132984,7.92
5,LUT05,44756,2.67
6,LUT01,32636,1.94
6,LUT02,11954,0.71
6,LUT03,159085,9.48
6,LUT04,134808,8.03
6,LUT05,44756,2.67
7,LUT01,33017,1.97
7,LUT02,12010,0.72
7,LUT03,161546,9.62
7,LUT04,136775,8.15
7,LUT05,44756,2.67
8,LUT01,33447,1.99
8,LUT02,12068,0.72
8,LUT03,164042,9.77
8,LUT04,138790,8.27
8,LUT05,44756,2.67
9,LUT01,33935,2.02
9,LUT02,12126,0.72
9,LUT03,166534,9.92
9,LUT04,140860,8.39
9,LUT05,44756,2.67
10,LUT01,35051,2.09
10,LUT02,12184,0.73
10,LUT03,169055,10.07
10,LUT04,142957,8.52
10,LUT05,44756,2.67
11,LUT01,35693,2.13
11,LUT02,12244,0.73
11,LUT03,171463,10.22
11,LUT04,145105,8.64
11,LUT05,44756,2.67
12,LUT01,36573,2.18
12,LUT02,12300,0.73
12,LUT03,173418,10.33
12,LUT04,146893,8.75
12,LUT05,44756,2.67
13,LUT01,37112,2.21
13,LUT02,12363,0.74
13,LUT03,175575,10.46
13,LUT04,149002,8.88
13,LUT05,44756,2.67
14,LUT01,37536,2.24
14,LUT02,12421,0.74
14,LUT03,177709,10.59
14,LUT04,151112,9.0
14,LUT05,44756,2.67
15,LUT01,37905,2.26
15,LUT02,12480,0.74
15,LUT03,179189,10.68
15,LUT04,152757,9.1
15,LUT05,44756,2.67
16,LUT01,38376,2.29
16,LUT02,12543,0.75
16,LUT03,180915,10.78
16,LUT04,154675,9.22
16,LUT05,44756,2.67
17,LUT01,38736,2.31
17,LUT02,12600,0.75
17,LUT03,181715,10.83
17,LUT04,155953,9.29
17,LUT05,43551,2.59
18,LUT01,39012,2.32
18,LUT02,12663,0.75
18,LUT03,182839,10.89
18,LUT04,157172,9.36
18,LUT05,38785,2.31
19,LUT01,39324,2.34
19,LUT02,12722,0.76
19,LUT03,184710,11.0
19,LUT04,158617,9.45
19,LUT05,37482,2.23
20,LUT01,39490,2.35
20,LUT02,12786,0.76
20,LUT03,185592,11.06
20,LUT04,158783,9.46
20,LUT05,36267,2.16
21,LUT01,40025,2.38
21,LUT02,12844,0.77
21,LUT03,186269,11.1
21,LUT04,159012,9.47
21,LUT05,35317,2.1
22,LUT01,40312,2.4
22,LUT02,12908,0.77
22,LUT03,187035,11.14
22,LUT04,159459,9.5
22,LUT05,34538,2.06
23,LUT01,40637,2.42
23,LUT02,12971,0.77
23,LUT03,187818,11.19
23,LUT04,160046,9.54
23,LUT05,33233,1.98
24,LUT01,40910,2.44
24,LUT02,13033,0.78
24,LUT03,188772,11.25
24,LUT04,160371,9.55
24,LUT05,32185,1.92
25,LUT01,41109,2.45
25,LUT02,13095,0.78
25,LUT03,189926,11.32
25,LUT04,160765,9.58
25,LUT05,29157,1.74
26,LUT01,41243,2.46
26,LUT02,13157,0.78
26,LUT03,192570,11.47
26,LUT04,161973,9.65
26,LUT05,27858,1.66
27,LUT01,41279,2.46
27,LUT02,13221,0.79
27,LUT03,194577,11.59
27,LUT04,162157,9.66
27,LUT05,26575,1.58
28,LUT01,41513,2.47
28,LUT02,13286,0.79
28,LUT03,196948,11.73
28,LUT04,162781,9.7
28,LUT05,24941,1.49
29,LUT01,41609,2.48
29,LUT02,13350,0.8
29,LUT03,199813,11.9
29,LUT04,163096,9.72
29,LUT05,23433,1.4
30,LUT01,41676,2.48
30,LUT02,13416,0.8
30,LUT03,202792,12.08
30,LUT04,163723,9.75
30,LUT05,22228,1.32
31,LUT01,41769,2.49
31,LUT02,13479,0.8
31,LUT03,205609,12.25
31,LUT04,163956,9.77
31,LUT05,19500,1.16
32,LUT01,41867,2.49
32,LUT02,13545,0.81
32,LUT03,208009,12.39
32,LUT04,164303,9.79
32,LUT05,15618,0.93
33,LUT01,42002,2.5
33,LUT02,13608,0.81
33,LUT03,210203,12.52
33,LUT04,164547,9.8
33,LUT05,11944,0.71
34,LUT01,42073,2.51
34,LUT02,13676,0.81
34,LUT03,212528,12.66
34,LUT04,164854,9.82
34,LUT05,9677,0.58
35,LUT01,42209,2.51
35,LUT02,13743,0.82
35,LUT03,214863,12.8
35,LUT04,164779,9.82
35,LUT05,8608,0.51
36,LUT01,42263,2.52
36,LUT02,13809,0.82
36,LUT03,216564,12.9
36,LUT04,164872,9.82
36,LUT05,8266,0.49
37,LUT01,42370,2.52
37,LUT02,13878,0.83
37,LUT03,218448,13.01
37,LUT04,165456,9.86
37,LUT05,8184,0.49
38,LUT01,42484,2.53
38,LUT02,13943,0.83
38,LUT03,220255,13.12
38,LUT04,166087,9.9
38,LUT05,8305,0.49
39,LUT01,42818,2.55
39,LUT02,14011,0.83
39,LUT03,221444,13.19
39,LUT04,166359,9.91
39,LUT05,8226,0.49
40,LUT01,42903,2.56
40,LUT02,14079,0.84
40,LUT03,222377,13.25
40,LUT04,166998,9.95
40,LUT05,8054,0.48
41,LUT01,42972,2.56
41,LUT02,14149,0.84
41,LUT03,222918,13.28
41,LUT04,167124,9.96
41,LUT05,7859,0.47
42,LUT01,43066,2.57
42,LUT02,14215,0.85
42,LUT03,223803,13.33
42,LUT04,167793,10.0
42,LUT05,7859,0.47
43,LUT01,43157,2.57
43,LUT02,14284,0.85
43,LUT03,224173,13.36
43,LUT04,167852,10.0
43,LUT05,7863,0.47
44,LUT01,43157,2.57
44,LUT02,14270,0.85
44,LUT03,224343,13.37
44,LUT04,167860,10.0
44,LUT05,7863,0.47
45,LUT01,43157,2.57
45,LUT02,14258,0.85
45,LUT03,224500,13.38
45,LUT04,167839,10.0
45,LUT05,7863,0.47
46,LUT01,43157,2.57
46,LUT02,14244,0.85
46,LUT03,224693,13.39
46,LUT04,167834,10.0
46,LUT05,7863,0.47
47,LUT01,43157,2.57
47,LUT02,14229,0.85
47,LUT03,224875,13.4
47,LUT04,167823,10.0
47,LUT05,7863,0.47
48,LUT01,43156,2.57
48,LUT02,14215,0.85
48,LUT03,225012,13.41
48,LUT04,167803,10.0
48,LUT05,7863,0.47
49,LUT01,43156,2.57
49,LUT02,14200,0.85
49,LUT03,225168,13.41
49,LUT04,167798,10.0
49,LUT05,7863,0.47
50,LUT01,43156,2.57
50,LUT02,14186,0.85
50,LUT03,225324,13.42
50,LUT04,167776,10.0
50,LUT05,7863,0.47
51,LUT01,43156,2.57
51,LUT02,14172,0.84
51,LUT03,225457,13.43
51,LUT04,167778,10.0
51,LUT05,7863,0.47
52,LUT01,43155,2.57
52,LUT02,14157,0.84
52,LUT03,225560,13.44
52,LUT04,167769,10.0
52,LUT05,7863,0.47
53,LUT01,43155,2.57
53,LUT02,14143,0.84
53,LUT03,225663,13.44
53,LUT04,167779,10.0
53,LUT05,7863,0.47
54,LUT01,43153,2.57
54,LUT02,14151,0.84
54,LUT03,225771,13.45
54,LUT04,167907,10.0
54,LUT05,7863,0.47
55,LUT01,43153,2.57
55,LUT02,14157,0.84
55,LUT03,225908,13.46
55,LUT04,167907,10.0
55,LUT05,7863,0.47
56,LUT01,43154,2.57
56,LUT02,14166,0.84
56,LUT03,226007,13.46
56,LUT04,167919,10.0
56,LUT05,7863,0.47
57,LUT01,43154,2.57
57,LUT02,14174,0.84
57,LUT03,226093,13.47
57,LUT04,167972,10.01
57,LUT05,7863,0.47
58,LUT01,43156,2.57
58,LUT02,14179,0.84
58,LUT03,226166,13.47
58,LUT04,168023,10.01
58,LUT05,7863,0.47
59,LUT01,43157,2.57
59,LUT02,14189,0.85
59,LUT03,226232,13.48
59,LUT04,168285,10.03
59,LUT05,7863,0.47
60,LUT01,43157,2.57
60,LUT02,14196,0.85
60,LUT03,226295,13.48
60,LUT04,168370,10.03
60,LUT05,7863,0.47
61,LUT01,43157,2.57
61,LUT02,14206,0.85
61,LUT03,226347,13.49
61,LUT04,168445,10.04
61,LUT05,7863,0.47
62,LUT01,43157,2.57
62,LUT02,14210,0.85
62,LUT03,226418,13.49
62,LUT04,168528,10.04
62,LUT05,7863,0.47
63,LUT01,43157,2.57
63,LUT02,14219,0.85
63,LUT03,226535,13.5
63,LUT04,168644,10.05
63,LUT05,7863,0.47
64,LUT01,43157,2.57
64,LUT02,14248,0.85
64,LUT03,226688,13.51
64,LUT04,169057,10.07
64,LUT05,7863,0.47
65,LUT01,43156,2.57
65,LUT02,14278,0.85
65,LUT03,226782,13.51
65,LUT04,169364,10.09
65,LUT05,7863,0.47
66,LUT01,43156,2.57
66,LUT02,14305,0.85
66,LUT03,226854,13.52
66,LUT04,169306,10.09
66,LUT05,7863,0.47
67,LUT01,43157,2.57
67,LUT02,14335,0.85
67,LUT03,226857,13.52
67,LUT04,169119,10.08
67,LUT05,7863,0.47
68,LUT01,43158,2.57
68,LUT02,14365,0.86
68,LUT03,226850,13.52
68,LUT04,168907,10.06
68,LUT05,7863,0.47
69,LUT01,43159,2.57
69,LUT02,14399,0.86
69,LUT03,226852,13.52
69,LUT04,168699,10.05
69,LUT05,7863,0.47
70,LUT01,43159,2.57
70,LUT02,14428,0.86
70,LUT03,226868,13.52
70,LUT04,168556,10.04
70,LUT05,7863,0.47
71,LUT01,43160,2.57
71,LUT02,14459,0.86
71,LUT03,226900,13.52
71,LUT04,168401,10.03
71,LUT05,7863,0.47
72,LUT01,43161,2.57
72,LUT02,14492,0.86
72,LUT03,226920,13.52
72,LUT04,168239,10.02
72,LUT05,7863,0.47
73,LUT01,43160,2.57
73,LUT02,14523,0.87
73,LUT03,226903,13.52
73,LUT04,168098,10.01
73,LUT05,7863,0.47
74,LUT01,43160,2.57
74,LUT02,14570,0.87
74,LUT03,226950,13.52
74,LUT04,168005,10.01
74,LUT05,7863,0.47
75,LUT01,43161,2.57
75,LUT02,14617,0.87
75,LUT03,227002,13.52
75,LUT04,167932,10.0
75,LUT05,7863,0.47
76,LUT01,43161,2.57
76,LUT02,14665,0.87
76,LUT03,227104,13.53
76,LUT04,167873,10.0
76,LUT05,7863,0.47
77,LUT01,43163,2.57
77,LUT02,14713,0.88
77,LUT03,227149,13.53
77,LUT04,167865,10.0
77,LUT05,7863,0.47
78,LUT01,43164,2.57
78,LUT02,14761,0.88
78,LUT03,227156,13.53
78,LUT04,167843,10.0
78,LUT05,7863,0.47
79,LUT01,43164,2.57
79,LUT02,14811,0.88
79,LUT03,227129,13.53
79,LUT04,167827,10.0
79,LUT05,7863,0.47
80,LUT01,43164,2.57
80,LUT02,14865,0.89
80,LUT03,227091,13.53
80,LUT04,167821,10.0
80,LUT05,7863,0.47
81,LUT01,43164,2.57
81,LUT02,14918,0.89
81,LUT03,227263,13.54
81,LUT04,167819,10.0
81,LUT05,7863,0.47
82,LUT01,43165,2.57
82,LUT02,14971,0.89
82,LUT03,227554,13.56
82,LUT04,167725,9.99
82,LUT05,7863,0.47
83,LUT01,43165,2.57
83,LUT02,15022,0.89
83,LUT03,227762,13.57
83,LUT04,167598,9.99
83,LUT05,7863,0.47
