time_step,LUT_code,pixels,percentage
1,LUT01,33447,1.99
1,LUT02,12068,0.72
1,LUT03,164042,9.77
1,LUT04,138790,8.27
1,LUT05,43011,2.56
2,LUT01,33937,2.02
2,LUT02,12126,0.72
2,LUT03,167060,9.95
2,LUT04,140845,8.39
2,LUT05,41249,2.46
3,LUT01,35021,2.09
3,LUT02,12184,0.73
3,LUT03,169649,10.11
3,LUT04,142946,8.52
3,LUT05,39377,2.35
4,LUT01,35564,2.12
4,LUT02,12244,0.73
4,LUT03,172092,10.25
4,LUT04,145039,8.64
4,LUT05,37372,2.23
5,LUT01,36342,2.17
5,LUT02,12300,0.73
5,LUT03,173933,10.36
5,LUT04,146683,8.74
5,LUT05,35220,2.1
6,LUT01,36779,2.19
6,LUT02,12363,0.74
6,LUT03,175985,10.48
6,LUT04,148532,8.85
6,LUT05,33147,1.97
7,LUT01,37071,2.21
7,LUT02,12421,0.74
7,LUT03,178293,10.62
7,LUT04,150324,8.96
7,LUT05,30929,1.84
8,LUT01,37294,2.22
8,LUT02,12480,0.74
8,LUT03,180566,10.76
8,LUT04,151770,9.04
8,LUT05,28895,1.72
9,LUT01,37636,2.24
9,LUT02,12543,0.75
9,LUT03,183585,10.94
9,LUT04,153624,9.15
9,LUT05,26532,1.58
10,LUT01,37866,2.26
10,LUT02,12600,0.75
10,LUT03,186268,11.1
10,LUT04,155011,9.24
10,LUT05,23961,1.43
11,LUT01,38027,2.27
11,LUT02,12663,0.75
11,LUT03,188884,11.25
11,LUT04,156146,9.3
11,LUT05,21458,1.28
12,LUT01,38192,2.28
12,LUT02,12722,0.76
12,LUT03,191360,11.4
12,LUT04,157326,9.37
12,LUT05,19097,1.14
13,LUT01,38393,2.29
13,LUT02,12786,0.76
13,LUT03,193955,11.56
13,LUT04,158448,9.44
13,LUT05,16910,1.01
14,LUT01,38965,2.32
14,LUT02,12844,0.77
14,LUT03,196691,11.72
14,LUT04,159515,9.5
14,LUT05,14966,0.89
15,LUT01,39230,2.34
15,LUT02,12908,0.77
15,LUT03,199738,11.9
15,LUT04,160717,9.58
15,LUT05,13534,0.81
16,LUT01,39439,2.35
16,LUT02,12971,0.77
16,LUT03,203136,12.1
16,LUT04,161674,9.63
16,LUT05,11619,0.69
17,LUT01,39766,2.37
17,LUT02,13033,0.78
17,LUT03,206891,12.33
17,LUT04,162154,9.66
17,LUT05,8498,0.51
18,LUT01,40019,2.38
18,LUT02,13095,0.78
18,LUT03,209642,12.49
18,LUT04,162342,9.67
18,LUT05,5060,0.3
19,LUT01,40180,2.39
19,LUT02,13157,0.78
19,LUT03,212195,12.64
19,LUT04,162020,9.65
19,LUT05,2409,0.14
20,LUT01,40318,2.4
20,LUT02,13221,0.79
20,LUT03,214835,12.8
20,LUT04,162263,9.67
20,LUT05,894,0.05
21,LUT01,40599,2.42
21,LUT02,13286,0.79
21,LUT03,217238,12.94
21,LUT04,163531,9.74
21,LUT05,399,0.02
22,LUT01,40771,2.43
22,LUT02,13350,0.8
22,LUT03,219651,13.09
22,LUT04,164700,9.81
22,LUT05,272,0.02
23,LUT01,40905,2.44
23,LUT02,13416,0.8
23,LUT03,221786,13.21
23,LUT04,165477,9.86
23,LUT05,190,0.01
24,LUT01,41102,2.45
24,LUT02,13479,0.8
24,LUT03,223735,13.33
24,LUT04,165955,9.89
24,LUT05,92,0.01
25,LUT01,41217,2.46
25,LUT02,13545,0.81
25,LUT03,225374,13.43
25,LUT04,166463,9.92
25,LUT05,0,0.0
26,LUT01,41329,2.46
26,LUT02,13608,0.81
26,LUT03,226742,13.51
26,LUT04,167079,9.95
26,LUT05,2,0.0
27,LUT01,41385,2.47
27,LUT02,13676,0.81
27,LUT03,227963,13.58
27,LUT04,168131,10.02
27,LUT05,2,0.0
28,LUT01,41557,2.48
28,LUT02,13743,0.82
28,LUT03,229015,13.64
28,LUT04,168960,10.07
28,LUT05,1,0.0
29,LUT01,41650,2.48
29,LUT02,13809,0.82
29,LUT03,229636,13.68
29,LUT04,169259,10.08
29,LUT05,1,0.0
30,LUT01,41821,2.49
30,LUT02,13878,0.83
30,LUT03,230620,13.74
30,LUT04,170195,10.14
30,LUT05,1,0.0
31,LUT01,42015,2.5
31,LUT02,13943,0.83
31,LUT03,231866,13.81
31,LUT04,170687,10.17
31,LUT05,1,0.0
32,LUT01,42498,2.53
32,LUT02,14011,0.83
32,LUT03,232697,13.86
32,LUT04,170890,10.18
32,LUT05,1,0.0
33,LUT01,42637,2.54
33,LUT02,14079,0.84
33,LUT03,233425,13.91
33,LUT04,171442,10.21
33,LUT05,1,0.0
34,LUT01,42772,2.55
34,LUT02,14149,0.84
