time_step,LUT_code,pixels,percentage
1,LUT01,23220,1.38
1,LUT02,0,0.0
1,LUT03,161131,9.6
1,LUT04,161092,9.6
1,LUT05,72096,4.3
2,LUT01,23279,1.39
2,LUT02,0,0.0
2,LUT03,161123,9.6
2,LUT04,160826,9.58
2,LUT05,69151,4.12
3,LUT01,22744,1.36
3,LUT02,0,0.0
3,LUT03,161503,9.62
3,LUT04,160465,9.56
3,LUT05,66192,3.94
4,LUT01,22750,1.36
4,LUT02,0,0.0
4,LUT03,162056,9.65
4,LUT04,160121,9.54
4,LUT05,63412,3.78
5,LUT01,22521,1.34
5,LUT02,0,0.0
5,LUT03,163233,9.73
5,LUT04,160238,9.55
5,LUT05,60838,3.62
6,LUT01,22633,1.35
6,LUT02,0,0.0
6,LUT03,164288,9.79
6,LUT04,160222,9.55
6,LUT05,58189,3.47
7,LUT01,22756,1.36
7,LUT02,0,0.0
7,LUT03,165048,9.83
7,LUT04,160212,9.55
7,LUT05,55668,3.32
8,LUT01,22948,1.37
8,LUT02,0,0.0
8,LUT03,165866,9.88
8,LUT04,160557,9.57
8,LUT05,52951,3.15
9,LUT01,23021,1.37
9,LUT02,0,0.0
9,LUT03,166033,9.89
9,LUT04,160570,9.57
9,LUT05,50503,3.01
10,LUT01,23206,1.38
10,LUT02,0,0.0
10,LUT03,166492,9.92
10,LUT04,160999,9.59
10,LUT05,48256,2.87
11,LUT01,23460,1.4
11,LUT02,0,0.0
11,LUT03,167043,9.95
11,LUT04,161691,9.63
11,LUT05,45916,2.74
12,LUT01,23710,1.41
12,LUT02,0,0.0
12,LUT03,167760,9.99
12,LUT04,162348,9.67
12,LUT05,43536,2.59
13,LUT01,23924,1.43
13,LUT02,0,0.0
13,LUT03,168455,10.04
13,LUT04,163137,9.72
13,LUT05,40953,2.44
14,LUT01,23767,1.42
14,LUT02,0,0.0
14,LUT03,168963,10.07
14,LUT04,163929,9.77
14,LUT05,38078,2.27
15,LUT01,23917,1.42
15,LUT02,0,0.0
15,LUT03,169189,10.08
15,LUT04,164602,9.81
15,LUT05,34831,2.08
16,LUT01,24123,1.44
16,LUT02,0,0.0
16,LUT03,169163,10.08
16,LUT04,165590,9.87
16,LUT05,31917,1.9
17,LUT01,24059,1.43
17,LUT02,0,0.0
17,LUT03,168731,10.05
17,LUT04,167005,9.95
17,LUT05,30179,1.8
18,LUT01,24069,1.43
18,LUT02,0,0.0
18,LUT03,169332,10.09
18,LUT04,168726,10.05
18,LUT05,28832,1.72
19,LUT01,24171,1.44
19,LUT02,0,0.0
19,LUT03,170160,10.14
19,LUT04,170964,10.19
19,LUT05,26614,1.59
20,LUT01,24296,1.45
20,LUT02,0,0.0
20,LUT03,171001,10.19
20,LUT04,172719,10.29
20,LUT05,23395,1.39
21,LUT01,24278,1.45
21,LUT02,0,0.0
21,LUT03,172034,10.25
21,LUT04,173395,10.33
21,LUT05,19057,1.14
22,LUT01,24369,1.45
22,LUT02,0,0.0
22,LUT03,173083,10.31
22,LUT04,174182,10.38
22,LUT05,14350,0.85
23,LUT01,24498,1.46
23,LUT02,0,0.0
23,LUT03,174520,10.4
23,LUT04,175440,10.45
23,LUT05,9587,0.57
24,LUT01,24564,1.46
24,LUT02,0,0.0
24,LUT03,176091,10.49
24,LUT04,176945,10.54
24,LUT05,4843,0.29
25,LUT01,24712,1.47
25,LUT02,0,0.0
25,LUT03,177999,10.6
25,LUT04,178430,10.63
25,LUT05,0,0.0
26,LUT01,24863,1.48
26,LUT02,0,0.0
26,LUT03,180209,10.74
26,LUT04,179817,10.71
26,LUT05,1332,0.08
27,LUT01,24916,1.48
27,LUT02,0,0.0
27,LUT03,182679,10.88
27,LUT04,180857,10.77
27,LUT05,1332,0.08
28,LUT01,24853,1.48
28,LUT02,0,0.0
28,LUT03,185265,11.04
28,LUT04,182060,10.85
28,LUT05,1333,0.08
29,LUT01,24869,1.48
29,LUT02,0,0.0
29,LUT03,188311,11.22
29,LUT04,183806,10.95
29,LUT05,1333,0.08
30,LUT01,24807,1.48
30,LUT02,0,0.0
30,LUT03,191111,11.39
30,LUT04,185000,11.02
30,LUT05,1333,0.08
31,LUT01,24722,1.47
31,LUT02,0,0.0
31,LUT03,193594,11.53
31,LUT04,186580,11.12
31,LUT05,1333,0.08
32,LUT01,24348,1.45
32,LUT02,0,0.0
32,LUT03,196524,11.71
