time_step,LUT_code,pixels,percentage
1,LUT01,23234,1.38
1,LUT02,49,0.0
1,LUT03,158925,9.47
1,LUT04,161827,9.64
1,LUT05,74969,4.47
2,LUT01,23257,1.39
2,LUT02,30,0.0
2,LUT03,158995,9.47
2,LUT04,161972,9.65
2,LUT05,74969,4.47
3,LUT01,22920,1.37
3,LUT02,0,0.0
3,LUT03,159244,9.49
3,LUT04,161934,9.65
3,LUT05,74969,4.47
4,LUT01,23000,1.37
4,LUT02,0,0.0
4,LUT03,159629,9.51
4,LUT04,161947,9.65
4,LUT05,74969,4.47
5,LUT01,23052,1.37
5,LUT02,0,0.0
5,LUT03,159795,9.52
5,LUT04,161715,9.63
5,LUT05,74969,4.47
6,LUT01,22933,1.37
6,LUT02,0,0.0
6,LUT03,160265,9.55
6,LUT04,161645,9.63
6,LUT05,74969,4.47
7,LUT01,23101,1.38
7,LUT02,0,0.0
7,LUT03,160703,9.57
7,LUT04,161387,9.62
7,LUT05,74969,4.47
8,LUT01,23220,1.38
8,LUT02,0,0.0
8,LUT03,161131,9.6
8,LUT04,161092,9.6
8,LUT05,74969,4.47
9,LUT01,23281,1.39
9,LUT02,0,0.0
9,LUT03,161649,9.63
9,LUT04,160811,9.58
9,LUT05,74969,4.47
10,LUT01,22714,1.35
10,LUT02,0,0.0
10,LUT03,162097,9.66
10,LUT04,160454,9.56
10,LUT05,74969,4.47
11,LUT01,22621,1.35
11,LUT02,0,0.0
11,LUT03,162685,9.69
11,LUT04,160055,9.54
11,LUT05,74969,4.47
12,LUT01,22290,1.33
12,LUT02,0,0.0
12,LUT03,163748,9.76
12,LUT04,160028,9.53
12,LUT05,74969,4.47
13,LUT01,22300,1.33
13,LUT02,0,0.0
13,LUT03,164698,9.81
13,LUT04,159752,9.52
13,LUT05,74969,4.47
14,LUT01,22291,1.33
14,LUT02,0,0.0
14,LUT03,165632,9.87
14,LUT04,159424,9.5
14,LUT05,74969,4.47
15,LUT01,22337,1.33
15,LUT02,0,0.0
15,LUT03,167243,9.96
15,LUT04,159570,9.51
15,LUT05,74969,4.47
16,LUT01,22281,1.33
16,LUT02,0,0.0
16,LUT03,168703,10.05
16,LUT04,159519,9.5
16,LUT05,74969,4.47
17,LUT01,22336,1.33
17,LUT02,0,0.0
17,LUT03,171045,10.19
17,LUT04,160057,9.54
17,LUT05,72969,4.35
18,LUT01,22475,1.34
18,LUT02,0,0.0
18,LUT03,173088,10.31
18,LUT04,160665,9.57
18,LUT05,63366,3.78
19,LUT01,22578,1.35
19,LUT02,0,0.0
19,LUT03,174410,10.39
19,LUT04,161057,9.6
19,LUT05,61377,3.66
20,LUT01,22827,1.36
20,LUT02,0,0.0
20,LUT03,176818,10.53
20,LUT04,162802,9.7
20,LUT05,59308,3.53
21,LUT01,22707,1.35
21,LUT02,0,0.0
21,LUT03,179385,10.69
21,LUT04,164432,9.8
21,LUT05,56975,3.39
22,LUT01,22835,1.36
22,LUT02,0,0.0
22,LUT03,181892,10.84
22,LUT04,165860,9.88
22,LUT05,54385,3.24
23,LUT01,22925,1.37
23,LUT02,0,0.0
23,LUT03,184481,10.99
23,LUT04,167218,9.96
23,LUT05,52355,3.12
24,LUT01,22915,1.37
24,LUT02,0,0.0
24,LUT03,186850,11.13
24,LUT04,168788,10.06
24,LUT05,50061,2.98
25,LUT01,22979,1.37
25,LUT02,0,0.0
25,LUT03,189048,11.26
25,LUT04,170303,10.15
25,LUT05,41596,2.48
26,LUT01,23108,1.38
26,LUT02,0,0.0
26,LUT03,189785,11.31
26,LUT04,171011,10.19
26,LUT05,39640,2.36
27,LUT01,23335,1.39
