time_step,LUT_code,pixels,percentage
1,LUT01,91,0.01
1,LUT02,2573,0.15
1,LUT03,53284,3.17
1,LUT04,103697,6.18
1,LUT05,1745,0.1
2,LUT01,91,0.01
2,LUT02,2559,0.15
2,LUT03,53250,3.17
2,LUT04,103697,6.18
2,LUT05,1745,0.1
3,LUT01,91,0.01
3,LUT02,2543,0.15
3,LUT03,53222,3.17
3,LUT04,103695,6.18
3,LUT05,1745,0.1
4,LUT01,91,0.01
4,LUT02,2543,0.15
4,LUT03,53202,3.17
4,LUT04,103695,6.18
4,LUT05,1745,0.1
5,LUT01,91,0.01
5,LUT02,2543,0.15
5,LUT03,53175,3.17
5,LUT04,103695,6.18
5,LUT05,1745,0.1
6,LUT01,91,0.01
6,LUT02,2543,0.15
6,LUT03,53133,3.17
6,LUT04,103695,6.18
6,LUT05,1745,0.1
7,LUT01,91,0.01
7,LUT02,2543,0.15
7,LUT03,53079,3.16
7,LUT04,103695,6.18
7,LUT05,1745,0.1
8,LUT01,91,0.01
8,LUT02,2543,0.15
8,LUT03,53046,3.16
8,LUT04,103692,6.18
8,LUT05,1745,0.1
9,LUT01,91,0.01
9,LUT02,2543,0.15
9,LUT03,53024,3.16
9,LUT04,103689,6.18
9,LUT05,1745,0.1
10,LUT01,91,0.01
10,LUT02,2542,0.15
10,LUT03,52989,3.16
10,LUT04,103686,6.18
10,LUT05,1745,0.1
11,LUT01,91,0.01
11,LUT02,2537,0.15
11,LUT03,52954,3.15
11,LUT04,103686,6.18
11,LUT05,1745,0.1
12,LUT01,91,0.01
12,LUT02,2535,0.15
12,LUT03,52922,3.15
12,LUT04,103686,6.18
12,LUT05,1745,0.1
13,LUT01,91,0.01
13,LUT02,2534,0.15
13,LUT03,52863,3.15
13,LUT04,103684,6.18
13,LUT05,1745,0.1
14,LUT01,91,0.01
14,LUT02,2533,0.15
14,LUT03,52820,3.15
14,LUT04,103681,6.18
14,LUT05,1745,0.1
15,LUT01,91,0.01
15,LUT02,2531,0.15
15,LUT03,52770,3.14
15,LUT04,103677,6.18
15,LUT05,1745,0.1
16,LUT01,91,0.01
16,LUT02,2529,0.15
16,LUT03,52721,3.14
16,LUT04,103676,6.18
16,LUT05,1745,0.1
17,LUT01,91,0.01
17,LUT02,2528,0.15
17,LUT03,52672,3.14
17,LUT04,103673,6.18
17,LUT05,1704,0.1
18,LUT01,91,0.01
18,LUT02,2527,0.15
18,LUT03,52613,3.13
18,LUT04,103673,6.18
18,LUT05,1607,0.1
19,LUT01,91,0.01
19,LUT02,2525,0.15
19,LUT03,52589,3.13
19,LUT04,103672,6.18
19,LUT05,1563,0.09
20,LUT01,91,0.01
20,LUT02,2524,0.15
20,LUT03,52585,3.13
20,LUT04,103672,6.18
20,LUT05,1504,0.09
21,LUT01,91,0.01
21,LUT02,2523,0.15
21,LUT03,52573,3.13
21,LUT04,103672,6.18
21,LUT05,1457,0.09
22,LUT01,91,0.01
22,LUT02,2522,0.15
22,LUT03,52563,3.13
22,LUT04,103672,6.18
22,LUT05,1411,0.08
23,LUT01,91,0.01
23,LUT02,2522,0.15
23,LUT03,52556,3.13
23,LUT04,103670,6.18
23,LUT05,1355,0.08
24,LUT01,91,0.01
24,LUT02,2522,0.15
24,LUT03,52554,3.13
24,LUT04,103670,6.18
24,LUT05,1298,0.08
25,LUT01,91,0.01
25,LUT02,2522,0.15
25,LUT03,52550,3.13
25,LUT04,103670,6.18
25,LUT05,1066,0.06
26,LUT01,91,0.01
26,LUT02,2522,0.15
26,LUT03,52549,3.13
26,LUT04,103670,6.18
26,LUT05,1019,0.06
27,LUT01,91,0.01
27,LUT02,2522,0.15
27,LUT03,52552,3.13
27,LUT04,103669,6.18
27,LUT05,980,0.06
28,LUT01,91,0.01
28,LUT02,2522,0.15
28,LUT03,52555,3.13
28,LUT04,103669,6.18
28,LUT05,964,0.06
29,LUT01,91,0.01
29,LUT02,2522,0.15
29,LUT03,52554,3.13
29,LUT04,103669,6.18
29,LUT05,946,0.06
30,LUT01,91,0.01
30,LUT02,2522,0.15
30,LUT03,52551,3.13
30,LUT04,103669,6.18
30,LUT05,893,0.05
31,LUT01,91,0.01
31,LUT02,2522,0.15
31,LUT03,52554,3.13
31,LUT04,103669,6.18
31,LUT05,921,0.05
32,LUT01,91,0.01
32,LUT02,2522,0.15
32,LUT03,52548,3.13
32,LUT04,103669,6.18
32,LUT05,859,0.05
33,LUT01,91,0.01
33,LUT02,2522,0.15
33,LUT03,52543,3.13
33,LUT04,103669,6.18
33,LUT05,1370,0.08
34,LUT01,91,0.01
34,LUT02,2522,0.15
34,LUT03,52541,3.13
34,LUT04,103668,6.18
34,LUT05,1478,0.09
35,LUT01,91,0.01
35,LUT02,2522,0.15
35,LUT03,52541,3.13
35,LUT04,103668,6.18
35,LUT05,1477,0.09
36,LUT01,91,0.01
36,LUT02,2522,0.15
36,LUT03,52541,3.13
36,LUT04,103668,6.18
36,LUT05,1477,0.09
37,LUT01,91,0.01
37,LUT02,2522,0.15
37,LUT03,52541,3.13
37,LUT04,103668,6.18
37,LUT05,1478,0.09
38,LUT01,91,0.01
38,LUT02,2522,0.15
38,LUT03,52541,3.13
38,LUT04,103668,6.18
38,LUT05,1477,0.09
