time_step,LUT_code,pixels,percentage
1,LUT01,91,0.01
1,LUT02,2543,0.15
1,LUT03,53046,3.16
1,LUT04,103692,6.18
1,LUT05,1666,0.1
2,LUT01,91,0.01
2,LUT02,2541,0.15
2,LUT03,53027,3.16
2,LUT04,103689,6.18
2,LUT05,1610,0.1
3,LUT01,91,0.01
3,LUT02,2540,0.15
3,LUT03,53007,3.16
3,LUT04,103686,6.18
3,LUT05,1522,0.09
4,LUT01,91,0.01
4,LUT02,2537,0.15
4,LUT03,52985,3.16
4,LUT04,103686,6.18
4,LUT05,1466,0.09
5,LUT01,91,0.01
5,LUT02,2533,0.15
5,LUT03,52960,3.16
5,LUT04,103686,6.18
5,LUT05,1417,0.08
6,LUT01,91,0.01
6,LUT02,2532,0.15
6,LUT03,52941,3.15
6,LUT04,103684,6.18
6,LUT05,1347,0.08
7,LUT01,91,0.01
7,LUT02,2531,0.15
7,LUT03,52930,3.15
7,LUT04,103681,6.18
7,LUT05,1305,0.08
8,LUT01,91,0.01
8,LUT02,2530,0.15
8,LUT03,52919,3.15
8,LUT04,103677,6.18
8,LUT05,1239,0.07
9,LUT01,91,0.01
9,LUT02,2529,0.15
9,LUT03,52909,3.15
9,LUT04,103676,6.18
9,LUT05,1177,0.07
10,LUT01,91,0.01
10,LUT02,2529,0.15
10,LUT03,52897,3.15
10,LUT04,103673,6.18
10,LUT05,1124,0.07
11,LUT01,91,0.01
11,LUT02,2529,0.15
11,LUT03,52891,3.15
11,LUT04,103674,6.18
11,LUT05,1085,0.06
12,LUT01,91,0.01
12,LUT02,2528,0.15
12,LUT03,52884,3.15
12,LUT04,103673,6.18
12,LUT05,1065,0.06
13,LUT01,91,0.01
13,LUT02,2527,0.15
13,LUT03,52876,3.15
13,LUT04,103673,6.18
13,LUT05,1007,0.06
14,LUT01,91,0.01
14,LUT02,2527,0.15
14,LUT03,52871,3.15
14,LUT04,103673,6.18
14,LUT05,956,0.06
15,LUT01,91,0.01
15,LUT02,2527,0.15
15,LUT03,52868,3.15
15,LUT04,103673,6.18
15,LUT05,883,0.05
16,LUT01,91,0.01
16,LUT02,2527,0.15
16,LUT03,52863,3.15
16,LUT04,103671,6.18
16,LUT05,729,0.04
17,LUT01,91,0.01
17,LUT02,2527,0.15
17,LUT03,52863,3.15
17,LUT04,103671,6.18
17,LUT05,476,0.03
18,LUT01,91,0.01
18,LUT02,2527,0.15
18,LUT03,52863,3.15
18,LUT04,103672,6.18
18,LUT05,764,0.05
19,LUT01,91,0.01
19,LUT02,2527,0.15
19,LUT03,52863,3.15
19,LUT04,103672,6.18
19,LUT05,989,0.06
20,LUT01,91,0.01
20,LUT02,2527,0.15
20,LUT03,52863,3.15
20,LUT04,103671,6.18
20,LUT05,1014,0.06
21,LUT01,91,0.01
21,LUT02,2527,0.15
