time_step,LUT_code,pixels,percentage
1,LUT01,56667,3.38
1,LUT02,12068,0.72
1,LUT03,325173,19.37
1,LUT04,299882,17.87
1,LUT05,115107,6.86
1,LUT06,134,0.01
1,LUT07,244,0.01
1,LUT08,478164,28.49
1,LUT09,312857,18.64
1,LUT10,894,0.05
1,LUT11,16502,0.98
1,LUT12,54458,3.24
1,LUT13,1634,0.1
1,LUT14,0,0.0
1,LUT15,0,0.0
1,LUT16,0,0.0
1,LUT17,86,0.01
1,LUT18,4618,0.28
2,LUT01,57216,3.41
2,LUT02,12126,0.72
2,LUT03,328183,19.55
2,LUT04,301671,17.97
2,LUT05,110400,6.58
2,LUT06,177,0.01
2,LUT07,220,0.01
2,LUT08,477876,28.47
2,LUT09,312857,18.64
2,LUT10,865,0.05
2,LUT11,15956,0.95
2,LUT12,54458,3.24
2,LUT13,1634,0.1
2,LUT14,0,0.0
2,LUT15,0,0.0
2,LUT16,0,0.0
2,LUT17,66,0.0
2,LUT18,4783,0.28
3,LUT01,57765,3.44
3,LUT02,12184,0.73
3,LUT03,331152,19.73
3,LUT04,303411,18.08
3,LUT05,105569,6.29
3,LUT06,172,0.01
3,LUT07,237,0.01
3,LUT08,477824,28.47
3,LUT09,312857,18.64
3,LUT10,848,0.05
3,LUT11,15497,0.92
3,LUT12,54458,3.24
3,LUT13,1634,0.1
3,LUT14,0,0.0
3,LUT15,0,0.0
3,LUT16,0,0.0
3,LUT17,69,0.0
3,LUT18,4811,0.29
4,LUT01,58314,3.47
4,LUT02,12244,0.73
4,LUT03,334148,19.91
4,LUT04,305160,18.18
4,LUT05,100784,6.0
4,LUT06,133,0.01
4,LUT07,275,0.02
4,LUT08,477587,28.45
4,LUT09,312857,18.64
4,LUT10,840,0.05
4,LUT11,15208,0.91
4,LUT12,54458,3.24
4,LUT13,1634,0.1
4,LUT14,0,0.0
4,LUT15,0,0.0
4,LUT16,0,0.0
4,LUT17,68,0.0
4,LUT18,4778,0.28
5,LUT01,58863,3.51
5,LUT02,12300,0.73
5,LUT03,337166,20.09
5,LUT04,306921,18.29
5,LUT05,96058,5.72
5,LUT06,155,0.01
5,LUT07,263,0.02
5,LUT08,477103,28.42
5,LUT09,312857,18.64
5,LUT10,836,0.05
5,LUT11,15018,0.89
5,LUT12,54458,3.24
5,LUT13,1634,0.1
5,LUT14,0,0.0
5,LUT15,0,0.0
5,LUT16,0,0.0
5,LUT17,65,0.0
5,LUT18,4791,0.29
6,LUT01,59412,3.54
6,LUT02,12363,0.74
6,LUT03,340273,20.27
6,LUT04,308754,18.39
6,LUT05,91336,5.44
6,LUT06,140,0.01
6,LUT07,272,0.02
6,LUT08,476447,28.39
6,LUT09,312857,18.64
6,LUT10,835,0.05
6,LUT11,14846,0.88
6,LUT12,54458,3.24
6,LUT13,1634,0.1
6,LUT14,0,0.0
6,LUT15,0,0.0
6,LUT16,0,0.0
6,LUT17,65,0.0
6,LUT18,4796,0.29
7,LUT01,59827,3.56
7,LUT02,12421,0.74
7,LUT03,343341,20.46
7,LUT04,310536,18.5
7,LUT05,86597,5.16
7,LUT06,107,0.01
7,LUT07,333,0.02
7,LUT08,476103,28.36
7,LUT09,312801,18.64
7,LUT10,830,0.05
7,LUT11,14677,0.87
7,LUT12,54458,3.24
7,LUT13,1634,0.1
7,LUT14,0,0.0
7,LUT15,0,0.0
7,LUT16,0,0.0
7,LUT17,53,0.0
7,LUT18,4770,0.28
8,LUT01,60242,3.59
8,LUT02,12480,0.74
8,LUT03,346432,20.64
8,LUT04,312327,18.61
8,LUT05,81846,4.88
8,LUT06,104,0.01
8,LUT07,314,0.02
8,LUT08,475608,28.34
8,LUT09,312801,18.64
8,LUT10,827,0.05
8,LUT11,14572,0.87
8,LUT12,54458,3.24
8,LUT13,1634,0.1
8,LUT14,0,0.0
8,LUT15,0,0.0
8,LUT16,0,0.0
8,LUT17,52,0.0
8,LUT18,4791,0.29
9,LUT01,60657,3.61
9,LUT02,12543,0.75
9,LUT03,349618,20.83
9,LUT04,314194,18.72
9,LUT05,77035,4.59
9,LUT06,128,0.01
9,LUT07,290,0.02
9,LUT08,474900,28.29
9,LUT09,312801,18.64
9,LUT10,826,0.05
9,LUT11,14482,0.86
9,LUT12,54458,3.24
9,LUT13,1634,0.1
9,LUT14,0,0.0
9,LUT15,0,0.0
9,LUT16,0,0.0
9,LUT17,137,0.01
9,LUT18,4785,0.29
10,LUT01,61072,3.64
10,LUT02,12600,0.75
10,LUT03,352760,21.02
10,LUT04,316010,18.83
10,LUT05,72217,4.3
10,LUT06,120,0.01
10,LUT07,294,0.02
10,LUT08,474390,28.26
10,LUT09,312801,18.64
10,LUT10,822,0.05
10,LUT11,14395,0.86
10,LUT12,54458,3.24
10,LUT13,1634,0.1
10,LUT14,0,0.0
10,LUT15,0,0.0
10,LUT16,0,0.0
10,LUT17,109,0.01
10,LUT18,4806,0.29
11,LUT01,61487,3.66
11,LUT02,12663,0.75
11,LUT03,355927,21.21
11,LUT04,317837,18.94
11,LUT05,67374,4.01
11,LUT06,110,0.01
11,LUT07,243,0.01
11,LUT08,473878,28.23
11,LUT09,312801,18.64
11,LUT10,814,0.05
11,LUT11,14349,0.85
11,LUT12,54458,3.24
11,LUT13,1634,0.1
11,LUT14,0,0.0
11,LUT15,0,0.0
11,LUT16,0,0.0
11,LUT17,121,0.01
11,LUT18,4792,0.29
12,LUT01,61902,3.69
12,LUT02,12722,0.76
12,LUT03,359120,21.4
12,LUT04,319674,19.05
