time_step,LUT_code,pixels,percentage
1,LUT01,1781,0.11
1,LUT02,878,0.05
1,LUT03,15539,0.93
1,LUT04,30509,1.82
1,LUT05,245,0.01
2,LUT01,1781,0.11
2,LUT02,878,0.05
2,LUT03,15539,0.93
2,LUT04,30509,1.82
2,LUT05,245,0.01
3,LUT01,1781,0.11
3,LUT02,878,0.05
3,LUT03,15539,0.93
3,LUT04,30509,1.82
3,LUT05,245,0.01
4,LUT01,1781,0.11
4,LUT02,878,0.05
4,LUT03,15539,0.93
4,LUT04,30509,1.82
4,LUT05,245,0.01
5,LUT01,1781,0.11
5,LUT02,878,0.05
5,LUT03,15539,0.93
5,LUT04,30509,1.82
5,LUT05,245,0.01
6,LUT01,1781,0.11
6,LUT02,878,0.05
6,LUT03,15539,0.93
6,LUT04,30509,1.82
6,LUT05,245,0.01
7,LUT01,1781,0.11
7,LUT02,878,0.05
7,LUT03,15539,0.93
7,LUT04,30509,1.82
7,LUT05,245,0.01
8,LUT01,1781,0.11
8,LUT02,878,0.05
8,LUT03,15539,0.93
8,LUT04,30509,1.82
8,LUT05,245,0.01
9,LUT01,1781,0.11
9,LUT02,878,0.05
9,LUT03,15539,0.93
9,LUT04,30509,1.82
9,LUT05,245,0.01
10,LUT01,1781,0.11
10,LUT02,878,0.05
10,LUT03,15539,0.93
10,LUT04,30509,1.82
10,LUT05,245,0.01
11,LUT01,1783,0.11
11,LUT02,878,0.05
11,LUT03,15539,0.93
11,LUT04,30507,1.82
11,LUT05,245,0.01
12,LUT01,1783,0.11
12,LUT02,878,0.05
12,LUT03,15539,0.93
12,LUT04,30507,1.82
12,LUT05,245,0.01
13,LUT01,1783,0.11
13,LUT02,878,0.05
13,LUT03,15539,0.93
13,LUT04,30507,1.82
13,LUT05,245,0.01
14,LUT01,1783,0.11
14,LUT02,878,0.05
14,LUT03,15539,0.93
14,LUT04,30507,1.82
14,LUT05,245,0.01
15,LUT01,1783,0.11
15,LUT02,878,0.05
15,LUT03,15539,0.93
15,LUT04,30507,1.82
15,LUT05,245,0.01
16,LUT01,1783,0.11
16,LUT02,878,0.05
16,LUT03,15539,0.93
16,LUT04,30507,1.82
16,LUT05,245,0.01
17,LUT01,1783,0.11
17,LUT02,878,0.05
17,LUT03,15539,0.93
17,LUT04,30507,1.82
17,LUT05,236,0.01
18,LUT01,1783,0.11
18,LUT02,878,0.05
18,LUT03,15539,0.93
18,LUT04,30507,1.82
18,LUT05,215,0.01
19,LUT01,1783,0.11
19,LUT02,878,0.05
19,LUT03,15539,0.93
19,LUT04,30507,1.82
19,LUT05,212,0.01
20,LUT01,1783,0.11
20,LUT02,878,0.05
20,LUT03,15539,0.93
20,LUT04,30507,1.82
20,LUT05,203,0.01
21,LUT01,1783,0.11
21,LUT02,878,0.05
21,LUT03,15539,0.93
21,LUT04,30507,1.82
21,LUT05,198,0.01
22,LUT01,1783,0.11
22,LUT02,878,0.05
22,LUT03,15539,0.93
22,LUT04,30507,1.82
22,LUT05,193,0.01
23,LUT01,1789,0.11
23,LUT02,878,0.05
23,LUT03,15538,0.93
23,LUT04,30502,1.82
23,LUT05,191,0.01
24,LUT01,1789,0.11
24,LUT02,878,0.05
24,LUT03,15538,0.93
24,LUT04,30502,1.82
24,LUT05,177,0.01
25,LUT01,1789,0.11
25,LUT02,878,0.05
25,LUT03,15538,0.93
25,LUT04,30502,1.82
25,LUT05,117,0.01
26,LUT01,1789,0.11
26,LUT02,878,0.05
26,LUT03,15538,0.93
26,LUT04,30502,1.82
26,LUT05,114,0.01
27,LUT01,1789,0.11
27,LUT02,878,0.05
27,LUT03,15538,0.93
27,LUT04,30502,1.82
27,LUT05,109,0.01
28,LUT01,1789,0.11
28,LUT02,878,0.05
28,LUT03,15538,0.93
28,LUT04,30502,1.82
28,LUT05,109,0.01
29,LUT01,1789,0.11
29,LUT02,878,0.05
29,LUT03,15538,0.93
29,LUT04,30502,1.82
29,LUT05,111,0.01
30,LUT01,1789,0.11
30,LUT02,878,0.05
30,LUT03,15538,0.93
30,LUT04,30502,1.82
30,LUT05,102,0.01
31,LUT01,1789,0.11
31,LUT02,878,0.05
31,LUT03,15538,0.93
31,LUT04,30502,1.82
31,LUT05,103,0.01
32,LUT01,1789,0.11
32,LUT02,878,0.05
32,LUT03,15538,0.93
32,LUT04,30502,1.82
32,LUT05,99,0.01
33,LUT01,1795,0.11
33,LUT02,878,0.05
33,LUT03,15538,0.93
33,LUT04,30502,1.82
33,LUT05,163,0.01
34,LUT01,1795,0.11
34,LUT02,878,0.05
34,LUT03,15538,0.93
34,LUT04,30502,1.82
34,LUT05,172,0.01
35,LUT01,1795,0.11
35,LUT02,878,0.05
35,LUT03,15538,0.93
35,LUT04,30502,1.82
35,LUT05,172,0.01
36,LUT01,1795,0.11
36,LUT02,878,0.05
36,LUT03,15538,0.93
36,LUT04,30502,1.82
36,LUT05,172,0.01
37,LUT01,1797,0.11
37,LUT02,878,0.05
37,LUT03,15537,0.93
37,LUT04,30501,1.82
37,LUT05,172,0.01
38,LUT01,1797,0.11
38,LUT02,878,0.05
38,LUT03,15537,0.93
38,LUT04,30501,1.82
38,LUT05,172,0.01
39,LUT01,1797,0.11
39,LUT02,878,0.05
39,LUT03,15537,0.93
39,LUT04,30501,1.82
39,LUT05,131,0.01
40,LUT01,1797,0.11
40,LUT02,878,0.05
40,LUT03,15537,0.93
40,LUT04,30501,1.82
40,LUT05,75,0.0
41,LUT01,1797,0.11
41,LUT02,878,0.05
41,LUT03,15537,0.93
41,LUT04,30501,1.82
41,LUT05,22,0.0
42,LUT01,1797,0.11
42,LUT02,878,0.05
42,LUT03,15537,0.93
42,LUT04,30501,1.82
42,LUT05,22,0.0
43,LUT01,1797,0.11
43,LUT02,878,0.05
43,LUT03,15537,0.93
43,LUT04,30501,1.82
43,LUT05,22,0.0
44,LUT01,1797,0.11
44,LUT02,878,0.05
44,LUT03,15537,0.93
44,LUT04,30501,1.82
44,LUT05,22,0.0
45,LUT01,1797,0.11
45,LUT02,878,0.05
45,LUT03,15537,0.93
45,LUT04,30501,1.82
45,LUT05,22,0.0
46,LUT01,1797,0.11
46,LUT02,878,0.05
46,LUT03,15537,0.93
46,LUT04,30501,1.82
46,LUT05,22,0.0
47,LUT01,1797,0.11
47,LUT02,878,0.05
47,LUT03,15537,0.93
47,LUT04,30501,1.82
47,LUT05,22,0.0
48,LUT01,1797,0.11
48,LUT02,878,0.05
48,LUT03,15537,0.93
48,LUT04,30501,1.82
48,LUT05,22,0.0
49,LUT01,1797,0.11
49,LUT02,878,0.05
49,LUT03,15537,0.93
49,LUT04,30501,1.82
49,LUT05,22,0.0
50,LUT01,1797,0.11
50,LUT02,878,0.05
50,LUT03,15537,0.93
50,LUT04,30501,1.82
50,LUT05,22,0.0
51,LUT01,1797,0.11
51,LUT02,878,0.05
51,LUT03,15537,0.93
51,LUT04,30501,1.82
51,LUT05,22,0.0
52,LUT01,1797,0.11
52,LUT02,878,0.05
52,LUT03,15537,0.93
52,LUT04,30501,1.82
52,LUT05,22,0.0
53,LUT01,1797,0.11
53,LUT02,878,0.05
53,LUT03,15537,0.93
53,LUT04,30501,1.82
53,LUT05,22,0.0
54,LUT01,1797,0.11
54,LUT02,878,0.05
54,LUT03,15537,0.93
54,LUT04,30501,1.82
54,LUT05,22,0.0
55,LUT01,1797,0.11
55,LUT02,878,0.05
55,LUT03,15537,0.93
55,LUT04,30501,1.82
55,LUT05,22,0.0
56,LUT01,1797,0.11
56,LUT02,878,0.05
56,LUT03,15537,0.93
56,LUT04,30501,1.82
56,LUT05,22,0.0
57,LUT01,1797,0.11
57,LUT02,878,0.05
57,LUT03,15537,0.93
57,LUT04,30501,1.82
57,LUT05,22,0.0
58,LUT01,1797,0.11
58,LUT02,878,0.05
58,LUT03,15537,0.93
58,LUT04,30501,1.82
58,LUT05,22,0.0
59,LUT01,1797,0.11
59,LUT02,878,0.05
59,LUT03,15537,0.93
59,LUT04,30501,1.82
59,LUT05,22,0.0
60,LUT01,1797,0.11
60,LUT02,878,0.05
60,LUT03,15537,0.93
60,LUT04,30501,1.82
60,LUT05,22,0.0
61,LUT01,1797,0.11
61,LUT02,878,0.05
61,LUT03,15537,0.93
61,LUT04,30501,1.82
61,LUT05,22,0.0
62,LUT01,1797,0.11
62,LUT02,878,0.05
62,LUT03,15537,0.93
62,LUT04,30501,1.82
62,LUT05,22,0.0
63,LUT01,1797,0.11
63,LUT02,878,0.05
63,LUT03,15537,0.93
63,LUT04,30501,1.82
63,LUT05,22,0.0
64,LUT01,1797,0.11
64,LUT02,878,0.05
64,LUT03,15537,0.93
64,LUT04,30501,1.82
64,LUT05,22,0.0
65,LUT01,1797,0.11
65,LUT02,878,0.05
65,LUT03,15537,0.93
65,LUT04,30501,1.82
65,LUT05,22,0.0
66,LUT01,1797,0.11
66,LUT02,878,0.05
66,LUT03,15537,0.93
66,LUT04,30501,1.82
66,LUT05,22,0.0
67,LUT01,1797,0.11
67,LUT02,878,0.05
67,LUT03,15537,0.93
67,LUT04,30501,1.82
67,LUT05,22,0.0
68,LUT01,1797,0.11
68,LUT02,878,0.05
68,LUT03,15537,0.93
68,LUT04,30501,1.82
68,LUT05,22,0.0
69,LUT01,1797,0.11
69,LUT02,878,0.05
69,LUT03,15537,0.93
69,LUT04,30501,1.82
69,LUT05,22,0.0
70,LUT01,1797,0.11
70,LUT02,878,0.05
70,LUT03,15537,0.93
70,LUT04,30501,1.82
70,LUT05,22,0.0
71,LUT01,1797,0.11
71,LUT02,878,0.05
71,LUT03,15537,0.93
71,LUT04,30501,1.82
71,LUT05,22,0.0
72,LUT01,1797,0.11
72,LUT02,878,0.05
72,LUT03,15537,0.93
72,LUT04,30501,1.82
72,LUT05,22,0.0
73,LUT01,1797,0.11
73,LUT02,878,0.05
73,LUT03,15537,0.93
73,LUT04,30501,1.82
73,LUT05,22,0.0
74,LUT01,1797,0.11
74,LUT02,878,0.05
74,LUT03,15537,0.93
74,LUT04,30501,1.82
74,LUT05,22,0.0
75,LUT01,1797,0.11
75,LUT02,878,0.05
75,LUT03,15537,0.93
75,LUT04,30501,1.82
75,LUT05,22,0.0
76,LUT01,1797,0.11
76,LUT02,878,0.05
76,LUT03,15537,0.93
76,LUT04,30501,1.82
76,LUT05,22,0.0
77,LUT01,1797,0.11
77,LUT02,878,0.05
77,LUT03,15537,0.93
77,LUT04,30501,1.82
77,LUT05,22,0.0
78,LUT01,1797,0.11
78,LUT02,878,0.05
78,LUT03,15537,0.93
78,LUT04,30501,1.82
78,LUT05,22,0.0
79,LUT01,1797,0.11
79,LUT02,878,0.05
79,LUT03,15537,0.93
79,LUT04,30501,1.82
79,LUT05,22,0.0
80,LUT01,1797,0.11
80,LUT02,878,0.05
80,LUT03,15537,0.93
80,LUT04,30501,1.82
80,LUT05,22,0.0
81,LUT01,1797,0.11
81,LUT02,878,0.05
81,LUT03,15537,0.93
81,LUT04,30501,1.82
81,LUT05,22,0.0
82,LUT01,1797,0.11
82,LUT02,878,0.05
82,LUT03,15537,0.93
82,LUT04,30501,1.82
82,LUT05,22,0.0
83,LUT01,1797,0.11
83,LUT02,878,0.05
83,LUT03,15537,0.93
83,LUT04,30501,1.82
83,LUT05,22,0.0
