time_step,LUT_code,pixels,percentage
1,LUT01,1781,0.11
1,LUT02,878,0.05
1,LUT03,15539,0.93
1,LUT04,30509,1.82
1,LUT05,235,0.01
2,LUT01,1859,0.11
2,LUT02,876,0.05
2,LUT03,16932,1.01
2,LUT04,31475,1.88
2,LUT05,226,0.01
3,LUT01,1869,0.11
3,LUT02,879,0.05
3,LUT03,17747,1.06
3,LUT04,31711,1.89
3,LUT05,217,0.01
4,LUT01,1876,0.11
4,LUT02,889,0.05
4,LUT03,18474,1.1
4,LUT04,31703,1.89
4,LUT05,204,0.01
5,LUT01,1882,0.11
5,LUT02,895,0.05
5,LUT03,19107,1.14
5,LUT04,31631,1.88
5,LUT05,200,0.01
6,LUT01,1886,0.11
6,LUT02,896,0.05
6,LUT03,19658,1.17
6,LUT04,31582,1.88
6,LUT05,190,0.01
7,LUT01,1887,0.11
7,LUT02,896,0.05
7,LUT03,20154,1.2
7,LUT04,31537,1.88
7,LUT05,170,0.01
8,LUT01,1888,0.11
8,LUT02,896,0.05
8,LUT03,20556,1.22
8,LUT04,31464,1.87
8,LUT05,168,0.01
9,LUT01,1889,0.11
9,LUT02,897,0.05
9,LUT03,20829,1.24
9,LUT04,31470,1.87
9,LUT05,166,0.01
10,LUT01,1889,0.11
10,LUT02,900,0.05
10,LUT03,21058,1.25
10,LUT04,31458,1.87
10,LUT05,156,0.01
11,LUT01,1890,0.11
11,LUT02,900,0.05
11,LUT03,21187,1.26
11,LUT04,31482,1.88
11,LUT05,154,0.01
12,LUT01,1891,0.11
12,LUT02,902,0.05
12,LUT03,21337,1.27
12,LUT04,31513,1.88
12,LUT05,128,0.01
13,LUT01,1893,0.11
13,LUT02,904,0.05
13,LUT03,21399,1.27
13,LUT04,31548,1.88
13,LUT05,124,0.01
14,LUT01,1894,0.11
14,LUT02,908,0.05
14,LUT03,21404,1.28
14,LUT04,31590,1.88
14,LUT05,117,0.01
15,LUT01,1895,0.11
15,LUT02,910,0.05
15,LUT03,21297,1.27
15,LUT04,31638,1.88
15,LUT05,104,0.01
16,LUT01,1901,0.11
16,LUT02,915,0.05
16,LUT03,20860,1.24
16,LUT04,31729,1.89
16,LUT05,94,0.01
17,LUT01,1902,0.11
17,LUT02,916,0.05
17,LUT03,20769,1.24
17,LUT04,31785,1.89
17,LUT05,86,0.01
18,LUT01,1902,0.11
18,LUT02,918,0.05
18,LUT03,20851,1.24
18,LUT04,31824,1.9
18,LUT05,84,0.01
19,LUT01,1902,0.11
19,LUT02,920,0.05
19,LUT03,20963,1.25
19,LUT04,31815,1.9
19,LUT05,84,0.01
20,LUT01,1902,0.11
20,LUT02,920,0.05
20,LUT03,21076,1.26
20,LUT04,31875,1.9
20,LUT05,75,0.0
21,LUT01,1902,0.11
21,LUT02,920,0.05
21,LUT03,21148,1.26
21,LUT04,32047,1.91
21,LUT05,64,0.0
22,LUT01,1902,0.11
22,LUT02,921,0.05
22,LUT03,21221,1.26
22,LUT04,32266,1.92
22,LUT05,45,0.0
23,LUT01,1902,0.11
23,LUT02,922,0.05
23,LUT03,21281,1.27
23,LUT04,32508,1.94
23,LUT05,32,0.0
24,LUT01,1902,0.11
24,LUT02,921,0.05
24,LUT03,21355,1.27
24,LUT04,32745,1.95
24,LUT05,15,0.0
25,LUT01,1903,0.11
25,LUT02,922,0.05
25,LUT03,21414,1.28
25,LUT04,32911,1.96
25,LUT05,0,0.0
26,LUT01,1909,0.11
26,LUT02,919,0.05
26,LUT03,21518,1.28
26,LUT04,33148,1.97
26,LUT05,48,0.0
27,LUT01,1910,0.11
27,LUT02,919,0.05
27,LUT03,21886,1.3
27,LUT04,33400,1.99
27,LUT05,47,0.0
28,LUT01,1910,0.11
28,LUT02,917,0.05
28,LUT03,22369,1.33
28,LUT04,33580,2.0
28,LUT05,45,0.0
29,LUT01,1910,0.11
29,LUT02,916,0.05
29,LUT03,22916,1.37
29,LUT04,33791,2.01
29,LUT05,45,0.0
30,LUT01,1916,0.11
30,LUT02,916,0.05
30,LUT03,23462,1.4
30,LUT04,34060,2.03
30,LUT05,43,0.0
31,LUT01,1918,0.11
31,LUT02,915,0.05
31,LUT03,23979,1.43
31,LUT04,34291,2.04
31,LUT05,40,0.0
32,LUT01,1920,0.11
32,LUT02,915,0.05
32,LUT03,24503,1.46
32,LUT04,34467,2.05
32,LUT05,38,0.0
33,LUT01,1921,0.11
33,LUT02,915,0.05
33,LUT03,25081,1.49
33,LUT04,34757,2.07
33,LUT05,37,0.0
34,LUT01,1922,0.11
34,LUT02,913,0.05
34,LUT03,25708,1.53
34,LUT04,34962,2.08
34,LUT05,37,0.0
35,LUT01,1925,0.11
35,LUT02,913,0.05
35,LUT03,26365,1.57
35,LUT04,35211,2.1
35,LUT05,36,0.0
36,LUT01,1925,0.11
36,LUT02,912,0.05
36,LUT03,27059,1.61
36,LUT04,35427,2.11
36,LUT05,38,0.0
37,LUT01,1925,0.11
37,LUT02,911,0.05
37,LUT03,27280,1.63
37,LUT04,35443,2.11
37,LUT05,37,0.0
38,LUT01,1925,0.11
38,LUT02,910,0.05
38,LUT03,27522,1.64
38,LUT04,35457,2.11
38,LUT05,37,0.0
39,LUT01,1925,0.11
39,LUT02,910,0.05
39,LUT03,27766,1.65
39,LUT04,35480,2.11
39,LUT05,37,0.0
40,LUT01,1925,0.11
40,LUT02,909,0.05
40,LUT03,28027,1.67
40,LUT04,35490,2.11
40,LUT05,37,0.0
41,LUT01,1925,0.11
41,LUT02,909,0.05
41,LUT03,28260,1.68
41,LUT04,35490,2.11
41,LUT05,37,0.0
42,LUT01,1925,0.11
42,LUT02,909,0.05
42,LUT03,28486,1.7
42,LUT04,35497,2.11
42,LUT05,37,0.0
43,LUT01,1925,0.11
43,LUT02,909,0.05
43,LUT03,28728,1.71
43,LUT04,35514,2.12
43,LUT05,37,0.0
44,LUT01,1925,0.11
44,LUT02,909,0.05
44,LUT03,28961,1.73
44,LUT04,35530,2.12
44,LUT05,36,0.0
45,LUT01,1925,0.11
45,LUT02,909,0.05
45,LUT03,29197,1.74
45,LUT04,35548,2.12
45,LUT05,36,0.0
46,LUT01,1925,0.11
46,LUT02,909,0.05
46,LUT03,29422,1.75
46,LUT04,35557,2.12
46,LUT05,35,0.0
47,LUT01,1925,0.11
47,LUT02,909,0.05
47,LUT03,29844,1.78
47,LUT04,35602,2.12
47,LUT05,35,0.0
48,LUT01,1925,0.11
48,LUT02,911,0.05
48,LUT03,30246,1.8
48,LUT04,35645,2.12
48,LUT05,35,0.0
49,LUT01,1925,0.11
49,LUT02,911,0.05
49,LUT03,30600,1.82
49,LUT04,35717,2.13
49,LUT05,35,0.0
50,LUT01,1925,0.11
50,LUT02,911,0.05
50,LUT03,31023,1.85
50,LUT04,35803,2.13
50,LUT05,29,0.0
51,LUT01,1925,0.11
51,LUT02,911,0.05
51,LUT03,31411,1.87
51,LUT04,35834,2.13
51,LUT05,0,0.0
52,LUT01,1925,0.11
52,LUT02,911,0.05
52,LUT03,31676,1.89
52,LUT04,35924,2.14
52,LUT05,10,0.0
53,LUT01,1925,0.11
53,LUT02,911,0.05
53,LUT03,32012,1.91
53,LUT04,35972,2.14
53,LUT05,10,0.0
54,LUT01,1925,0.11
54,LUT02,911,0.05
54,LUT03,32385,1.93
54,LUT04,36040,2.15
54,LUT05,9,0.0
55,LUT01,1925,0.11
55,LUT02,911,0.05
55,LUT03,32765,1.95
55,LUT04,36115,2.15
55,LUT05,9,0.0
56,LUT01,1925,0.11
56,LUT02,911,0.05
56,LUT03,33144,1.97
56,LUT04,36204,2.16
56,LUT05,9,0.0
57,LUT01,1925,0.11
57,LUT02,911,0.05
57,LUT03,33722,2.01
57,LUT04,36317,2.16
57,LUT05,9,0.0
58,LUT01,1925,0.11
58,LUT02,913,0.05
58,LUT03,34333,2.05
58,LUT04,36435,2.17
58,LUT05,9,0.0
59,LUT01,1925,0.11
59,LUT02,915,0.05
59,LUT03,34938,2.08
59,LUT04,36550,2.18
59,LUT05,9,0.0
60,LUT01,1925,0.11
60,LUT02,916,0.05
60,LUT03,35622,2.12
60,LUT04,36678,2.19
60,LUT05,9,0.0
61,LUT01,1925,0.11
61,LUT02,917,0.05
61,LUT03,36354,2.17
61,LUT04,36828,2.19
61,LUT05,9,0.0
62,LUT01,1925,0.11
62,LUT02,917,0.05
62,LUT03,37125,2.21
62,LUT04,36972,2.2
62,LUT05,9,0.0
63,LUT01,1925,0.11
63,LUT02,918,0.05
63,LUT03,37882,2.26
63,LUT04,37088,2.21
63,LUT05,9,0.0
64,LUT01,1925,0.11
64,LUT02,919,0.05
64,LUT03,38765,2.31
64,LUT04,37250,2.22
64,LUT05,9,0.0
65,LUT01,1925,0.11
65,LUT02,920,0.05
65,LUT03,39651,2.36
65,LUT04,37433,2.23
65,LUT05,9,0.0
66,LUT01,1925,0.11
66,LUT02,922,0.05
66,LUT03,40552,2.42
66,LUT04,37598,2.24
66,LUT05,9,0.0
67,LUT01,1925,0.11
67,LUT02,923,0.05
67,LUT03,41690,2.48
67,LUT04,37810,2.25
67,LUT05,9,0.0
68,LUT01,1925,0.11
68,LUT02,924,0.06
68,LUT03,42824,2.55
68,LUT04,38035,2.27
68,LUT05,9,0.0
69,LUT01,1925,0.11
69,LUT02,926,0.06
69,LUT03,43988,2.62
69,LUT04,38320,2.28
69,LUT05,9,0.0
70,LUT01,1925,0.11
70,LUT02,927,0.06
70,LUT03,45151,2.69
70,LUT04,38541,2.3
70,LUT05,9,0.0
71,LUT01,1925,0.11
71,LUT02,930,0.06
71,LUT03,46257,2.76
71,LUT04,38833,2.31
71,LUT05,9,0.0
72,LUT01,1925,0.11
72,LUT02,930,0.06
72,LUT03,47434,2.83
72,LUT04,39140,2.33
72,LUT05,9,0.0
73,LUT01,1925,0.11
73,LUT02,932,0.06
73,LUT03,48653,2.9
73,LUT04,39461,2.35
73,LUT05,9,0.0
74,LUT01,1925,0.11
74,LUT02,936,0.06
74,LUT03,49705,2.96
74,LUT04,39789,2.37
74,LUT05,9,0.0
75,LUT01,1925,0.11
75,LUT02,937,0.06
75,LUT03,50749,3.02
75,LUT04,40107,2.39
75,LUT05,9,0.0
76,LUT01,1925,0.11
76,LUT02,939,0.06
76,LUT03,51828,3.09
76,LUT04,40528,2.41
76,LUT05,9,0.0
