time_step,LUT_code,pixels
1,LUT01,0
1,LUT02,0
1,LUT03,0
1,LUT04,0
1,LUT05,0
2,LUT01,78
2,LUT02,0
2,LUT03,1417
2,LUT04,966
2,LUT05,3
3,LUT01,10
3,LUT02,3
3,LUT03,821
3,LUT04,308
3,LUT05,7
4,LUT01,7
4,LUT02,10
4,LUT03,737
4,LUT04,118
4,LUT05,6
5,LUT01,6
5,LUT02,6
5,LUT03,644
5,LUT04,57
5,LUT05,13
6,LUT01,5
6,LUT02,3
6,LUT03,557
6,LUT04,40
6,LUT05,7
7,LUT01,2
7,LUT02,0
7,LUT03,498
7,LUT04,39
7,LUT05,6
8,LUT01,2
8,LUT02,0
8,LUT03,417
8,LUT04,23
8,LUT05,11
9,LUT01,1
9,LUT02,1
9,LUT03,310
9,LUT04,50
9,LUT05,11
10,LUT01,0
10,LUT02,3
10,LUT03,289
10,LUT04,46
10,LUT05,10
11,LUT01,1
11,LUT02,1
11,LUT03,219
11,LUT04,45
11,LUT05,15
12,LUT01,1
12,LUT02,2
12,LUT03,216
12,LUT04,52
12,LUT05,4
13,LUT01,2
13,LUT02,3
13,LUT03,171
13,LUT04,62
13,LUT05,11
14,LUT01,1
14,LUT02,4
14,LUT03,133
14,LUT04,56
14,LUT05,10
15,LUT01,1
15,LUT02,2
15,LUT03,77
15,LUT04,63
15,LUT05,10
16,LUT01,6
16,LUT02,6
16,LUT03,68
16,LUT04,105
16,LUT05,8
17,LUT01,1
17,LUT02,1
17,LUT03,76
17,LUT04,72
17,LUT05,11
18,LUT01,0
18,LUT02,2
18,LUT03,100
18,LUT04,52
18,LUT05,21
19,LUT01,0
19,LUT02,2
19,LUT03,129
19,LUT04,23
19,LUT05,15
20,LUT01,0
20,LUT02,0
20,LUT03,132
20,LUT04,66
20,LUT05,9
21,LUT01,0
21,LUT02,0
21,LUT03,98
21,LUT04,181
21,LUT05,6
22,LUT01,0
22,LUT02,1
22,LUT03,113
22,LUT04,224
22,LUT05,2
23,LUT01,0
23,LUT02,1
23,LUT03,98
23,LUT04,247
23,LUT05,4
24,LUT01,0
24,LUT02,0
24,LUT03,111
24,LUT04,244
24,LUT05,1
25,LUT01,1
25,LUT02,1
25,LUT03,88
25,LUT04,172
25,LUT05,0
26,LUT01,6
26,LUT02,0
26,LUT03,113
26,LUT04,239
26,LUT05,48
27,LUT01,1
27,LUT02,0
27,LUT03,422
27,LUT04,270
27,LUT05,1
28,LUT01,0
28,LUT02,0
28,LUT03,522
28,LUT04,205
28,LUT05,0
29,LUT01,0
29,LUT02,0
29,LUT03,585
29,LUT04,230
29,LUT05,1
30,LUT01,6
30,LUT02,0
30,LUT03,578
30,LUT04,296
30,LUT05,0
31,LUT01,2
31,LUT02,0
31,LUT03,551
31,LUT04,262
31,LUT05,0
32,LUT01,2
32,LUT02,0
32,LUT03,560
32,LUT04,207
32,LUT05,0
33,LUT01,1
33,LUT02,1
33,LUT03,618
33,LUT04,339
33,LUT05,1
34,LUT01,1
34,LUT02,0
34,LUT03,650
34,LUT04,247
34,LUT05,2
35,LUT01,3
35,LUT02,0
35,LUT03,691
35,LUT04,308
35,LUT05,0
36,LUT01,1
36,LUT02,0
36,LUT03,732
36,LUT04,254
36,LUT05,2
37,LUT01,0
37,LUT02,0
37,LUT03,238
37,LUT04,26
37,LUT05,0
38,LUT01,0
38,LUT02,0
38,LUT03,256
38,LUT04,25
38,LUT05,0
39,LUT01,0
39,LUT02,0
39,LUT03,256
39,LUT04,32
39,LUT05,0
40,LUT01,0
40,LUT02,0
40,LUT03,270
40,LUT04,25
40,LUT05,0
41,LUT01,0
41,LUT02,0
41,LUT03,258
41,LUT04,18
41,LUT05,0
42,LUT01,0
42,LUT02,0
42,LUT03,253
42,LUT04,17
42,LUT05,0
43,LUT01,0
43,LUT02,0
43,LUT03,265
43,LUT04,31
43,LUT05,0
44,LUT01,0
44,LUT02,0
44,LUT03,268
44,LUT04,30
44,LUT05,0
45,LUT01,0
45,LUT02,0
45,LUT03,267
45,LUT04,29
45,LUT05,0
46,LUT01,0
46,LUT02,0
46,LUT03,258
46,LUT04,26
46,LUT05,0
47,LUT01,0
47,LUT02,0
47,LUT03,456
47,LUT04,64
47,LUT05,0
48,LUT01,0
48,LUT02,2
48,LUT03,433
48,LUT04,76
48,LUT05,0
49,LUT01,0
49,LUT02,0
49,LUT03,425
49,LUT04,109
49,LUT05,1
50,LUT01,0
50,LUT02,0
50,LUT03,477
50,LUT04,103
50,LUT05,0
51,LUT01,0
51,LUT02,0
51,LUT03,451
51,LUT04,72
51,LUT05,0
52,LUT01,0
52,LUT02,0
52,LUT03,340
52,LUT04,121
52,LUT05,10
53,LUT01,0
53,LUT02,0
53,LUT03,403
53,LUT04,90
53,LUT05,0
54,LUT01,0
54,LUT02,0
54,LUT03,422
54,LUT04,117
54,LUT05,0
55,LUT01,0
55,LUT02,0
55,LUT03,422
55,LUT04,124
55,LUT05,0
56,LUT01,0
56,LUT02,0
56,LUT03,423
56,LUT04,140
56,LUT05,0
57,LUT01,0
57,LUT02,0
57,LUT03,618
57,LUT04,198
57,LUT05,0
58,LUT01,0
58,LUT02,2
58,LUT03,649
58,LUT04,186
58,LUT05,0
59,LUT01,0
59,LUT02,2
59,LUT03,641
59,LUT04,186
59,LUT05,0
60,LUT01,0
60,LUT02,1
60,LUT03,735
60,LUT04,210
60,LUT05,0
61,LUT01,0
61,LUT02,1
61,LUT03,781
61,LUT04,230
61,LUT05,0
62,LUT01,0
62,LUT02,1
62,LUT03,814
62,LUT04,242
62,LUT05,0
63,LUT01,0
63,LUT02,1
63,LUT03,824
63,LUT04,202
63,LUT05,0
64,LUT01,0
64,LUT02,1
64,LUT03,957
64,LUT04,259
64,LUT05,0
65,LUT01,0
65,LUT02,1
65,LUT03,946
65,LUT04,261
65,LUT05,0
66,LUT01,0
66,LUT02,2
66,LUT03,972
66,LUT04,260
66,LUT05,0
67,LUT01,0
67,LUT02,1
67,LUT03,1220
67,LUT04,327
67,LUT05,0
68,LUT01,0
68,LUT02,1
68,LUT03,1240
68,LUT04,345
68,LUT05,0
69,LUT01,0
69,LUT02,2
69,LUT03,1254
69,LUT04,413
69,LUT05,0
70,LUT01,0
70,LUT02,1
70,LUT03,1262
70,LUT04,351
70,LUT05,0
71,LUT01,0
71,LUT02,3
71,LUT03,1192
71,LUT04,439
71,LUT05,0
72,LUT01,0
72,LUT02,0
72,LUT03,1266
72,LUT04,462
72,LUT05,0
73,LUT01,0
73,LUT02,2
73,LUT03,1295
73,LUT04,528
73,LUT05,0
74,LUT01,0
74,LUT02,4
74,LUT03,1143
74,LUT04,543
74,LUT05,0
75,LUT01,0
75,LUT02,1
75,LUT03,1119
75,LUT04,531
75,LUT05,0
76,LUT01,0
76,LUT02,2
76,LUT03,1131
76,LUT04,624
76,LUT05,0
