time_step,LUT_code,pixels
1,LUT01,0
1,LUT02,0
1,LUT03,0
1,LUT04,0
1,LUT05,0
2,LUT01,49
2,LUT02,0
2,LUT03,1363
2,LUT04,913
2,LUT05,0
3,LUT01,3
3,LUT02,0
3,LUT03,711
3,LUT04,266
3,LUT05,6
4,LUT01,5
4,LUT02,0
4,LUT03,594
4,LUT04,102
4,LUT05,4
5,LUT01,1
5,LUT02,0
5,LUT03,523
5,LUT04,53
5,LUT05,10
6,LUT01,0
6,LUT02,0
6,LUT03,477
6,LUT04,35
6,LUT05,3
7,LUT01,0
7,LUT02,0
7,LUT03,415
7,LUT04,31
7,LUT05,5
8,LUT01,0
8,LUT02,0
8,LUT03,357
8,LUT04,15
8,LUT05,9
9,LUT01,0
9,LUT02,0
9,LUT03,277
9,LUT04,40
9,LUT05,7
10,LUT01,0
10,LUT02,0
10,LUT03,250
10,LUT04,35
10,LUT05,6
11,LUT01,1
11,LUT02,0
11,LUT03,193
11,LUT04,23
11,LUT05,10
12,LUT01,0
12,LUT02,0
12,LUT03,199
12,LUT04,34
12,LUT05,4
13,LUT01,0
13,LUT02,0
13,LUT03,151
13,LUT04,33
13,LUT05,7
14,LUT01,0
14,LUT02,0
14,LUT03,124
14,LUT04,40
14,LUT05,9
15,LUT01,0
15,LUT02,0
15,LUT03,72
15,LUT04,32
15,LUT05,4
16,LUT01,0
16,LUT02,0
16,LUT03,56
16,LUT04,59
16,LUT05,4
17,LUT01,1
17,LUT02,0
17,LUT03,61
17,LUT04,56
17,LUT05,6
18,LUT01,0
18,LUT02,0
18,LUT03,92
18,LUT04,41
18,LUT05,16
19,LUT01,0
19,LUT02,0
19,LUT03,122
19,LUT04,16
19,LUT05,13
20,LUT01,0
20,LUT02,0
20,LUT03,127
20,LUT04,53
20,LUT05,6
21,LUT01,0
21,LUT02,0
21,LUT03,93
21,LUT04,167
21,LUT05,2
22,LUT01,0
22,LUT02,0
22,LUT03,107
22,LUT04,209
22,LUT05,2
23,LUT01,0
23,LUT02,0
23,LUT03,93
23,LUT04,240
23,LUT05,4
24,LUT01,0
24,LUT02,0
24,LUT03,104
24,LUT04,232
24,LUT05,1
25,LUT01,0
25,LUT02,0
25,LUT03,81
25,LUT04,162
25,LUT05,0
26,LUT01,6
26,LUT02,0
26,LUT03,103
26,LUT04,229
26,LUT05,35
27,LUT01,0
27,LUT02,0
27,LUT03,376
27,LUT04,253
27,LUT05,1
28,LUT01,0
28,LUT02,0
28,LUT03,457
28,LUT04,197
28,LUT05,0
29,LUT01,0
29,LUT02,0
29,LUT03,527
29,LUT04,223
29,LUT05,1
30,LUT01,0
30,LUT02,0
30,LUT03,509
30,LUT04,285
30,LUT05,0
31,LUT01,0
31,LUT02,0
31,LUT03,475
31,LUT04,252
31,LUT05,0
32,LUT01,0
32,LUT02,0
32,LUT03,473
32,LUT04,199
32,LUT05,0
33,LUT01,0
33,LUT02,0
33,LUT03,525
33,LUT04,334
33,LUT05,1
34,LUT01,0
34,LUT02,0
34,LUT03,535
34,LUT04,238
34,LUT05,2
35,LUT01,0
35,LUT02,0
35,LUT03,571
35,LUT04,306
35,LUT05,0
36,LUT01,0
36,LUT02,0
36,LUT03,612
36,LUT04,245
36,LUT05,1
37,LUT01,0
37,LUT02,0
37,LUT03,182
37,LUT04,25
37,LUT05,0
38,LUT01,0
38,LUT02,0
38,LUT03,199
38,LUT04,25
38,LUT05,0
39,LUT01,0
39,LUT02,0
39,LUT03,206
39,LUT04,32
39,LUT05,0
40,LUT01,0
40,LUT02,0
40,LUT03,228
40,LUT04,24
40,LUT05,0
41,LUT01,0
41,LUT02,0
41,LUT03,216
41,LUT04,18
41,LUT05,0
42,LUT01,0
42,LUT02,0
42,LUT03,215
42,LUT04,17
42,LUT05,0
43,LUT01,0
43,LUT02,0
43,LUT03,232
43,LUT04,31
43,LUT05,0
44,LUT01,0
44,LUT02,0
44,LUT03,237
44,LUT04,29
44,LUT05,0
45,LUT01,0
45,LUT02,0
45,LUT03,234
45,LUT04,28
45,LUT05,0
46,LUT01,0
46,LUT02,0
46,LUT03,225
46,LUT04,25
46,LUT05,0
47,LUT01,0
47,LUT02,0
47,LUT03,410
47,LUT04,62
47,LUT05,0
48,LUT01,0
48,LUT02,0
48,LUT03,375
48,LUT04,76
48,LUT05,0
49,LUT01,0
49,LUT02,0
49,LUT03,389
49,LUT04,109
49,LUT05,1
50,LUT01,0
50,LUT02,0
50,LUT03,429
50,LUT04,99
50,LUT05,0
51,LUT01,0
51,LUT02,0
51,LUT03,412
51,LUT04,72
51,LUT05,0
52,LUT01,0
52,LUT02,0
52,LUT03,305
52,LUT04,119
52,LUT05,1
53,LUT01,0
53,LUT02,0
53,LUT03,368
53,LUT04,89
53,LUT05,0
54,LUT01,0
54,LUT02,0
54,LUT03,387
54,LUT04,116
54,LUT05,0
55,LUT01,0
55,LUT02,0
55,LUT03,378
55,LUT04,123
55,LUT05,0
56,LUT01,0
56,LUT02,0
56,LUT03,377
56,LUT04,139
56,LUT05,0
57,LUT01,0
57,LUT02,0
57,LUT03,545
57,LUT04,198
57,LUT05,0
58,LUT01,0
58,LUT02,0
58,LUT03,330
58,LUT04,186
58,LUT05,0
59,LUT01,0
59,LUT02,0
59,LUT03,329
59,LUT04,185
59,LUT05,0
60,LUT01,0
60,LUT02,0
60,LUT03,363
60,LUT04,205
60,LUT05,0
61,LUT01,0
61,LUT02,0
61,LUT03,378
61,LUT04,228
61,LUT05,0
62,LUT01,0
62,LUT02,0
62,LUT03,402
62,LUT04,241
62,LUT05,0
63,LUT01,0
63,LUT02,0
63,LUT03,417
63,LUT04,201
63,LUT05,0
64,LUT01,0
64,LUT02,0
64,LUT03,462
64,LUT04,258
64,LUT05,0
65,LUT01,0
65,LUT02,0
65,LUT03,461
65,LUT04,258
65,LUT05,0
66,LUT01,0
66,LUT02,0
66,LUT03,511
66,LUT04,258
66,LUT05,0
67,LUT01,0
67,LUT02,0
67,LUT03,596
67,LUT04,324
67,LUT05,0
68,LUT01,0
68,LUT02,0
68,LUT03,651
68,LUT04,342
68,LUT05,0
69,LUT01,0
69,LUT02,0
69,LUT03,620
69,LUT04,410
69,LUT05,0
70,LUT01,0
70,LUT02,0
70,LUT03,638
70,LUT04,349
70,LUT05,0
71,LUT01,0
71,LUT02,0
71,LUT03,605
71,LUT04,436
71,LUT05,0
72,LUT01,0
72,LUT02,0
72,LUT03,676
72,LUT04,456
72,LUT05,0
73,LUT01,0
73,LUT02,0
73,LUT03,713
73,LUT04,521
73,LUT05,0
74,LUT01,0
74,LUT02,0
74,LUT03,692
74,LUT04,538
74,LUT05,0
75,LUT01,0
75,LUT02,0
75,LUT03,702
75,LUT04,521
75,LUT05,0
76,LUT01,0
76,LUT02,0
76,LUT03,683
76,LUT04,613
76,LUT05,0
