time_step,LUT_code,pixels
1,LUT08,66744
1,LUT09,269255
2,LUT08,66744
2,LUT09,269255
3,LUT08,66744
3,LUT09,269255
4,LUT08,66744
4,LUT09,269255
5,LUT08,66772
5,LUT09,269255
6,LUT08,66774
6,LUT09,269255
7,LUT08,67315
7,LUT09,269255
8,LUT08,68238
8,LUT09,269255
9,LUT08,68241
9,LUT09,269255
10,LUT08,68241
10,LUT09,269255
11,LUT08,68241
11,LUT09,269255
12,LUT08,68241
12,LUT09,269255
13,LUT08,68242
13,LUT09,269254
14,LUT08,68244
14,LUT09,269252
15,LUT08,68244
15,LUT09,269252
16,LUT08,68244
16,LUT09,269252
17,LUT08,68244
17,LUT09,269252
18,LUT08,68244
18,LUT09,269252
19,LUT08,68248
19,LUT09,269252
20,LUT08,68254
20,LUT09,269252
21,LUT08,68262
21,LUT09,269252
22,LUT08,68265
22,LUT09,269251
23,LUT08,68269
23,LUT09,269250
24,LUT08,68277
24,LUT09,269249
25,LUT08,68289
25,LUT09,269245
26,LUT08,68314
26,LUT09,269244
27,LUT08,68315
27,LUT09,269244
28,LUT08,68315
28,LUT09,269242
29,LUT08,68320
29,LUT09,269238
30,LUT08,68325
30,LUT09,269233
31,LUT08,68335
31,LUT09,269230
32,LUT08,68340
32,LUT09,269224
33,LUT08,68465
33,LUT09,269098
34,LUT08,68472
34,LUT09,269091
35,LUT08,68487
35,LUT09,269076
36,LUT08,68501
36,LUT09,269062
37,LUT08,68544
37,LUT09,269019
38,LUT08,68560
38,LUT09,269003
39,LUT08,68584
39,LUT09,268979
40,LUT08,68613
40,LUT09,268953
41,LUT08,68675
41,LUT09,268921
42,LUT08,68752
42,LUT09,268906
43,LUT08,68842
43,LUT09,268871
44,LUT08,68843
44,LUT09,268870
45,LUT08,68847
45,LUT09,268866
46,LUT08,68851
46,LUT09,268862
47,LUT08,68858
47,LUT09,268855
48,LUT08,68865
48,LUT09,268848
49,LUT08,68871
49,LUT09,268842
50,LUT08,68878
50,LUT09,268835
51,LUT08,68884
51,LUT09,268829
52,LUT08,68893
52,LUT09,268820
53,LUT08,68898
53,LUT09,268815
54,LUT08,68917
54,LUT09,268796
55,LUT08,68931
55,LUT09,268782
56,LUT08,68955
56,LUT09,268758
57,LUT08,68981
57,LUT09,268732
58,LUT08,69004
58,LUT09,268709
59,LUT08,69025
59,LUT09,268688
60,LUT08,69037
60,LUT09,268676
61,LUT08,69054
61,LUT09,268659
62,LUT08,69067
62,LUT09,268646
63,LUT08,69081
63,LUT09,268632
64,LUT08,69118
64,LUT09,268595
65,LUT08,69013
65,LUT09,268700
66,LUT08,69181
66,LUT09,268532
67,LUT08,69225
67,LUT09,268488
68,LUT08,69261
68,LUT09,268452
69,LUT08,69301
69,LUT09,268412
70,LUT08,69346
70,LUT09,268367
71,LUT08,69394
71,LUT09,268319
72,LUT08,69447
72,LUT09,268266
73,LUT08,69501
73,LUT09,268212
74,LUT08,69585
74,LUT09,268128
75,LUT08,69670
75,LUT09,268043
76,LUT08,69802
76,LUT09,267911
77,LUT08,69944
77,LUT09,267769
78,LUT08,70086
78,LUT09,267627
79,LUT08,70219
79,LUT09,267494
80,LUT08,70402
80,LUT09,267311
81,LUT08,70527
81,LUT09,267186
82,LUT08,70551
82,LUT09,267162
83,LUT08,70534
83,LUT09,267179
