time_step,LUT_code,pixels
1,LUT08,119866
1,LUT09,217630
2,LUT08,117541
2,LUT09,217630
3,LUT08,116565
3,LUT09,217630
4,LUT08,115871
4,LUT09,217630
5,LUT08,115307
5,LUT09,217630
6,LUT08,114832
6,LUT09,217630
7,LUT08,114486
7,LUT09,217574
8,LUT08,114146
8,LUT09,217574
9,LUT08,113894
9,LUT09,217574
10,LUT08,113652
10,LUT09,217574
11,LUT08,113519
11,LUT09,217574
12,LUT08,113372
12,LUT09,217574
13,LUT08,113257
13,LUT09,217574
14,LUT08,113183
14,LUT09,217574
15,LUT08,113199
15,LUT09,217568
16,LUT08,113247
16,LUT09,217568
17,LUT08,113565
17,LUT09,217568
18,LUT08,113581
18,LUT09,217568
19,LUT08,113454
19,LUT09,217568
20,LUT08,113314
20,LUT09,217568
21,LUT08,113071
21,LUT09,217568
22,LUT08,112784
22,LUT09,217568
23,LUT08,112489
23,LUT09,217568
24,LUT08,112197
24,LUT09,217568
25,LUT08,112011
25,LUT09,217568
26,LUT08,112224
26,LUT09,217016
27,LUT08,111597
27,LUT09,217016
28,LUT08,110999
28,LUT09,217015
29,LUT08,110284
29,LUT09,217014
30,LUT08,109510
30,LUT09,217010
31,LUT08,108798
31,LUT09,217006
32,LUT08,108129
32,LUT09,217006
33,LUT08,107287
33,LUT09,217003
34,LUT08,106544
34,LUT09,217002
35,LUT08,105707
35,LUT09,216996
36,LUT08,104891
36,LUT09,216994
37,LUT08,104741
37,LUT09,216993
38,LUT08,104537
38,LUT09,216993
39,LUT08,104314
39,LUT09,216993
40,LUT08,104093
40,LUT09,216991
41,LUT08,103885
41,LUT09,216991
42,LUT08,103696
42,LUT09,216990
43,LUT08,103464
43,LUT09,216989
44,LUT08,103233
44,LUT09,216989
45,LUT08,103004
45,LUT09,216988
46,LUT08,102780
46,LUT09,216988
47,LUT08,102333
47,LUT09,216986
48,LUT08,101933
48,LUT09,216983
49,LUT08,101472
49,LUT09,216981
50,LUT08,101038
50,LUT09,216977
51,LUT08,100619
51,LUT09,216966
52,LUT08,100286
52,LUT09,216963
53,LUT08,99933
53,LUT09,216957
54,LUT08,99521
54,LUT09,216952
55,LUT08,99099
55,LUT09,216948
56,LUT08,98652
56,LUT09,216943
57,LUT08,96212
57,LUT09,216931
58,LUT08,95447
58,LUT09,216917
59,LUT08,94629
59,LUT09,216907
60,LUT08,93687
60,LUT09,216900
61,LUT08,92715
61,LUT09,216895
62,LUT08,91711
62,LUT09,216890
63,LUT08,90727
63,LUT09,216885
64,LUT08,89693
64,LUT09,216878
65,LUT08,88632
65,LUT09,216872
66,LUT08,87475
66,LUT09,216864
67,LUT08,86112
67,LUT09,216852
68,LUT08,84665
68,LUT09,216822
69,LUT08,83171
69,LUT09,216783
70,LUT08,81888
70,LUT09,216733
71,LUT08,80621
71,LUT09,216676
72,LUT08,79246
72,LUT09,216639
73,LUT08,77731
73,LUT09,216602
74,LUT08,76350
74,LUT09,216563
75,LUT08,75139
75,LUT09,216566
76,LUT08,73790
76,LUT09,216611
