time_step,LUT_code,pixels,percentage
1,LUT01,52628,3.14
1,LUT02,11668,0.7
1,LUT03,305071,18.18
1,LUT04,287945,17.16
1,LUT05,119725,7.13
1,LUT06,4029,0.24
1,LUT07,137,0.01
1,LUT08,457223,27.24
1,LUT09,364524,21.72
1,LUT10,936,0.06
1,LUT11,18476,1.1
1,LUT12,54458,3.24
1,LUT13,1634,0.1
1,LUT14,4,0.0
1,LUT15,0,0.0
1,LUT16,0,0.0
1,LUT17,30,0.0
1,LUT18,0,0.0
2,LUT01,53275,3.17
2,LUT02,11727,0.7
2,LUT03,307916,18.34
2,LUT04,289657,17.26
2,LUT05,119725,7.13
2,LUT06,2884,0.17
2,LUT07,112,0.01
2,LUT08,453250,27.0
2,LUT09,364503,21.72
2,LUT10,936,0.06
2,LUT11,18373,1.09
2,LUT12,54458,3.24
2,LUT13,1634,0.1
2,LUT14,0,0.0
2,LUT15,0,0.0
2,LUT16,0,0.0
2,LUT17,38,0.0
2,LUT18,0,0.0
3,LUT01,53922,3.21
3,LUT02,11781,0.7
3,LUT03,310727,18.51
3,LUT04,291331,17.36
3,LUT05,119725,7.13
3,LUT06,351,0.02
3,LUT07,2427,0.14
3,LUT08,448525,26.72
3,LUT09,364503,21.72
3,LUT10,935,0.06
3,LUT11,18133,1.08
3,LUT12,54458,3.24
3,LUT13,1634,0.1
3,LUT14,0,0.0
3,LUT15,0,0.0
3,LUT16,0,0.0
3,LUT17,36,0.0
3,LUT18,0,0.0
4,LUT01,54471,3.25
4,LUT02,11837,0.71
4,LUT03,313557,18.68
4,LUT04,293008,17.46
4,LUT05,119725,7.13
4,LUT06,246,0.01
4,LUT07,2291,0.14
4,LUT08,443927,26.45
4,LUT09,364503,21.72
4,LUT10,931,0.06
4,LUT11,17866,1.06
4,LUT12,54458,3.24
4,LUT13,1634,0.1
4,LUT14,0,0.0
4,LUT15,0,0.0
4,LUT16,0,0.0
4,LUT17,34,0.0
4,LUT18,0,0.0
5,LUT01,55020,3.28
5,LUT02,11895,0.71
5,LUT03,316414,18.85
5,LUT04,294699,17.56
5,LUT05,119725,7.13
5,LUT06,196,0.01
5,LUT07,2247,0.13
5,LUT08,439161,26.16
5,LUT09,364503,21.72
5,LUT10,926,0.06
5,LUT11,17578,1.05
5,LUT12,54458,3.24
5,LUT13,1634,0.1
5,LUT14,0,0.0
5,LUT15,0,0.0
5,LUT16,0,0.0
5,LUT17,32,0.0
5,LUT18,0,0.0
6,LUT01,55569,3.31
6,LUT02,11954,0.71
6,LUT03,319350,19.03
6,LUT04,296453,17.66
6,LUT05,119725,7.13
6,LUT06,744,0.04
6,LUT07,867,0.05
6,LUT08,435070,25.92
6,LUT09,364503,21.72
6,LUT10,916,0.05
6,LUT11,17215,1.03
6,LUT12,54458,3.24
6,LUT13,1634,0.1
6,LUT14,0,0.0
6,LUT15,0,0.0
