time_step,class,pixels,percentage
1,0 %,0,0.0
1,>0 - 20 %,1,0.0
1,>20 - 40 %,0,0.0
1,>40 - 60 %,0,0.0
1,>60 - 80 %,0,0.0
1,>80 - <100 %,0,0.0
1,100 %,1678487,100.0
2,0 %,0,0.0
2,>0 - 20 %,0,0.0
2,>20 - 40 %,81,0.0
2,>40 - 60 %,2592,0.15
2,>60 - 80 %,5604,0.33
2,>80 - <100 %,5193,0.31
2,100 %,1665018,99.2
3,0 %,0,0.0
3,>0 - 20 %,120,0.01
3,>20 - 40 %,117,0.01
3,>40 - 60 %,4078,0.24
3,>60 - 80 %,8721,0.52
3,>80 - <100 %,11002,0.66
3,100 %,1654450,98.57
4,0 %,0,0.0
4,>0 - 20 %,11,0.0
4,>20 - 40 %,134,0.01
4,>40 - 60 %,5425,0.32
4,>60 - 80 %,12184,0.73
4,>80 - <100 %,67539,4.02
4,100 %,1593195,94.92
5,0 %,0,0.0
5,>0 - 20 %,4,0.0
5,>20 - 40 %,135,0.01
5,>40 - 60 %,6912,0.41
5,>60 - 80 %,15790,0.94
5,>80 - <100 %,70956,4.23
5,100 %,1584691,94.41
6,0 %,0,0.0
6,>0 - 20 %,13,0.0
6,>20 - 40 %,1302,0.08
6,>40 - 60 %,9190,0.55
6,>60 - 80 %,17593,1.05
6,>80 - <100 %,73228,4.36
6,100 %,1577162,93.96
7,0 %,0,0.0
7,>0 - 20 %,6,0.0
7,>20 - 40 %,261,0.02
7,>40 - 60 %,10744,0.64
7,>60 - 80 %,22128,1.32
7,>80 - <100 %,76936,4.58
7,100 %,1568413,93.44
8,0 %,0,0.0
8,>0 - 20 %,12,0.0
8,>20 - 40 %,345,0.02
8,>40 - 60 %,12740,0.76
8,>60 - 80 %,25010,1.49
8,>80 - <100 %,80747,4.81
8,100 %,1559634,92.92
9,0 %,0,0.0
9,>0 - 20 %,11,0.0
9,>20 - 40 %,392,0.02
9,>40 - 60 %,14515,0.86
9,>60 - 80 %,27982,1.67
9,>80 - <100 %,84118,5.01
9,100 %,1551470,92.43
10,0 %,0,0.0
10,>0 - 20 %,1,0.0
10,>20 - 40 %,467,0.03
10,>40 - 60 %,16158,0.96
10,>60 - 80 %,31023,1.85
10,>80 - <100 %,33920,2.02
10,100 %,1596919,95.14
