time_step,class,pixels,percentage
1,0 %,0,0.0
1,>0 - 20 %,0,0.0
1,>20 - 40 %,0,0.0
1,>40 - 60 %,1,0.0
1,>60 - 80 %,2,0.0
1,>80 - <100 %,103752,6.18
1,100 %,1574733,93.82
2,0 %,0,0.0
2,>0 - 20 %,507,0.03
2,>20 - 40 %,1247,0.07
2,>40 - 60 %,1574,0.09
2,>60 - 80 %,4670,0.28
2,>80 - <100 %,121894,7.26
2,100 %,1548596,92.26
3,0 %,0,0.0
3,>0 - 20 %,1755,0.1
3,>20 - 40 %,2889,0.17
3,>40 - 60 %,2692,0.16
3,>60 - 80 %,14439,0.86
3,>80 - <100 %,119041,7.09
3,100 %,1537672,91.61
4,0 %,0,0.0
4,>0 - 20 %,3057,0.18
4,>20 - 40 %,4486,0.27
4,>40 - 60 %,4097,0.24
4,>60 - 80 %,38354,2.29
4,>80 - <100 %,99022,5.9
4,100 %,1529472,91.12
5,0 %,0,0.0
5,>0 - 20 %,3555,0.21
5,>20 - 40 %,6874,0.41
5,>40 - 60 %,5681,0.34
5,>60 - 80 %,71686,4.27
5,>80 - <100 %,68262,4.07
5,100 %,1522430,90.7
6,0 %,0,0.0
6,>0 - 20 %,2833,0.17
6,>20 - 40 %,10516,0.63
6,>40 - 60 %,7986,0.48
6,>60 - 80 %,100318,5.98
6,>80 - <100 %,41085,2.45
6,100 %,1515750,90.3
7,0 %,0,0.0
7,>0 - 20 %,686,0.04
7,>20 - 40 %,15704,0.94
7,>40 - 60 %,11750,0.7
7,>60 - 80 %,114499,6.82
7,>80 - <100 %,25734,1.53
7,100 %,1510115,89.97
8,0 %,0,0.0
8,>0 - 20 %,13590,0.81
8,>20 - 40 %,19183,1.14
8,>40 - 60 %,15210,0.91
8,>60 - 80 %,105961,6.31
8,>80 - <100 %,19158,1.14
8,100 %,1505386,89.69
9,0 %,0,0.0
9,>0 - 20 %,18204,1.08
9,>20 - 40 %,21798,1.3
9,>40 - 60 %,22090,1.32
9,>60 - 80 %,98066,5.84
9,>80 - <100 %,17832,1.06
9,100 %,1500498,89.4
10,0 %,0,0.0
10,>0 - 20 %,19778,1.18
10,>20 - 40 %,23713,1.41
10,>40 - 60 %,41995,2.5
10,>60 - 80 %,78786,4.69
10,>80 - <100 %,17672,1.05
10,100 %,1496544,89.16
11,0 %,0,0.0
11,>0 - 20 %,19312,1.15
11,>20 - 40 %,25575,1.52
11,>40 - 60 %,65409,3.9
11,>60 - 80 %,57201,3.41
11,>80 - <100 %,17936,1.07
11,100 %,1493055,88.95
12,0 %,0,0.0
12,>0 - 20 %,17462,1.04
12,>20 - 40 %,27788,1.66
12,>40 - 60 %,83439,4.97
12,>60 - 80 %,41820,2.49
12,>80 - <100 %,19001,1.13
12,100 %,1488978,88.71
13,0 %,0,0.0
13,>0 - 20 %,15281,0.91
13,>20 - 40 %,30597,1.82
13,>40 - 60 %,92895,5.53
13,>60 - 80 %,34486,2.05
13,>80 - <100 %,19419,1.16
13,100 %,1485810,88.52
14,0 %,0,0.0
14,>0 - 20 %,12779,0.76
14,>20 - 40 %,34509,2.06
14,>40 - 60 %,94887,5.65
14,>60 - 80 %,33610,2.0
14,>80 - <100 %,19306,1.15
14,100 %,1483397,88.38
15,0 %,0,0.0
15,>0 - 20 %,10072,0.6
15,>20 - 40 %,41161,2.45
15,>40 - 60 %,91161,5.43
15,>60 - 80 %,35679,2.13
15,>80 - <100 %,75594,4.5
15,100 %,1424821,84.89
16,0 %,0,0.0
16,>0 - 20 %,6497,0.39
16,>20 - 40 %,58384,3.48
16,>40 - 60 %,76131,4.54
16,>60 - 80 %,39400,2.35
16,>80 - <100 %,75874,4.52
16,100 %,1422202,84.73
17,0 %,0,0.0
17,>0 - 20 %,3979,0.24
17,>20 - 40 %,67787,4.04
17,>40 - 60 %,66609,3.97
17,>60 - 80 %,44515,2.65
17,>80 - <100 %,75698,4.51
17,100 %,1419900,84.59
18,0 %,0,0.0
18,>0 - 20 %,11383,0.68
18,>20 - 40 %,60264,3.59
18,>40 - 60 %,63396,3.78
18,>60 - 80 %,49580,2.95
18,>80 - <100 %,76554,4.56
18,100 %,1417311,84.44
19,0 %,0,0.0
19,>0 - 20 %,13282,0.79
19,>20 - 40 %,51864,3.09
19,>40 - 60 %,66253,3.95
19,>60 - 80 %,54732,3.26
19,>80 - <100 %,77068,4.59
19,100 %,1415289,84.32
20,0 %,0,0.0
20,>0 - 20 %,13922,0.83
20,>20 - 40 %,44079,2.63
20,>40 - 60 %,69963,4.17
20,>60 - 80 %,59434,3.54
20,>80 - <100 %,78245,4.66
20,100 %,1412845,84.17
21,0 %,0,0.0
21,>0 - 20 %,13399,0.8
21,>20 - 40 %,38610,2.3
21,>40 - 60 %,73373,4.37
21,>60 - 80 %,61482,3.66
21,>80 - <100 %,81890,4.88
21,100 %,1409734,83.99
22,0 %,0,0.0
22,>0 - 20 %,12368,0.74
22,>20 - 40 %,34315,2.04
22,>40 - 60 %,75498,4.5
22,>60 - 80 %,62938,3.75
22,>80 - <100 %,86714,5.17
22,100 %,1406655,83.8
23,0 %,0,0.0
23,>0 - 20 %,11003,0.66
23,>20 - 40 %,30884,1.84
23,>40 - 60 %,76242,4.54
23,>60 - 80 %,65113,3.88
23,>80 - <100 %,91545,5.45
23,100 %,1403701,83.63
24,0 %,0,0.0
24,>0 - 20 %,9635,0.57
24,>20 - 40 %,28588,1.7
24,>40 - 60 %,75236,4.48
24,>60 - 80 %,67679,4.03
24,>80 - <100 %,96773,5.77
24,100 %,1400577,83.44
25,0 %,0,0.0
25,>0 - 20 %,8243,0.49
25,>20 - 40 %,26976,1.61
25,>40 - 60 %,73186,4.36
25,>60 - 80 %,70859,4.22
25,>80 - <100 %,100265,5.97
25,100 %,1398959,83.35
26,0 %,0,0.0
26,>0 - 20 %,2231,0.13
26,>20 - 40 %,26638,1.59
26,>40 - 60 %,73591,4.38
26,>60 - 80 %,75457,4.5
26,>80 - <100 %,100540,5.99
26,100 %,1400031,83.41
27,0 %,0,0.0
27,>0 - 20 %,2358,0.14
27,>20 - 40 %,26821,1.6
27,>40 - 60 %,73018,4.35
27,>60 - 80 %,79035,4.71
27,>80 - <100 %,104178,6.21
27,100 %,1393078,83.0
28,0 %,0,0.0
28,>0 - 20 %,2467,0.15
28,>20 - 40 %,27149,1.62
28,>40 - 60 %,72289,4.31
28,>60 - 80 %,82807,4.93
28,>80 - <100 %,107035,6.38
28,100 %,1386741,82.62
29,0 %,0,0.0
29,>0 - 20 %,2493,0.15
29,>20 - 40 %,27606,1.64
29,>40 - 60 %,71993,4.29
29,>60 - 80 %,86697,5.17
29,>80 - <100 %,110048,6.56
29,100 %,1379651,82.2
30,0 %,0,0.0
30,>0 - 20 %,2523,0.15
30,>20 - 40 %,28198,1.68
30,>40 - 60 %,71787,4.28
30,>60 - 80 %,90483,5.39
30,>80 - <100 %,113540,6.76
30,100 %,1371957,81.74
31,0 %,0,0.0
31,>0 - 20 %,2496,0.15
31,>20 - 40 %,28831,1.72
31,>40 - 60 %,71446,4.26
31,>60 - 80 %,93687,5.58
31,>80 - <100 %,116178,6.92
31,100 %,1365850,81.37
32,0 %,0,0.0
32,>0 - 20 %,3768,0.22
32,>20 - 40 %,29640,1.77
32,>40 - 60 %,71740,4.27
32,>60 - 80 %,96221,5.73
32,>80 - <100 %,116956,6.97
32,100 %,1360163,81.04
33,0 %,0,0.0
33,>0 - 20 %,3864,0.23
33,>20 - 40 %,30483,1.82
33,>40 - 60 %,72959,4.35
33,>60 - 80 %,98091,5.84
33,>80 - <100 %,119964,7.15
33,100 %,1353127,80.62
34,0 %,0,0.0
34,>0 - 20 %,3954,0.24
34,>20 - 40 %,31460,1.87
34,>40 - 60 %,73869,4.4
34,>60 - 80 %,100175,5.97
34,>80 - <100 %,121774,7.25
34,100 %,1347256,80.27
35,0 %,0,0.0
35,>0 - 20 %,4040,0.24
35,>20 - 40 %,32228,1.92
35,>40 - 60 %,75353,4.49
35,>60 - 80 %,102399,6.1
35,>80 - <100 %,124071,7.39
35,100 %,1340397,79.86
36,0 %,0,0.0
36,>0 - 20 %,4186,0.25
36,>20 - 40 %,32888,1.96
36,>40 - 60 %,76275,4.54
36,>60 - 80 %,104183,6.21
36,>80 - <100 %,126183,7.52
36,100 %,1334773,79.52
37,0 %,0,0.0
37,>0 - 20 %,4077,0.24
37,>20 - 40 %,33081,1.97
37,>40 - 60 %,76668,4.57
37,>60 - 80 %,104508,6.23
37,>80 - <100 %,126600,7.54
37,100 %,1333554,79.45
38,0 %,0,0.0
38,>0 - 20 %,4079,0.24
38,>20 - 40 %,33158,1.98
38,>40 - 60 %,77071,4.59
38,>60 - 80 %,104601,6.23
38,>80 - <100 %,127401,7.59
38,100 %,1332178,79.37
39,0 %,0,0.0
39,>0 - 20 %,4023,0.24
39,>20 - 40 %,33194,1.98
39,>40 - 60 %,77423,4.61
39,>60 - 80 %,104824,6.25
39,>80 - <100 %,128283,7.64
39,100 %,1330741,79.28
40,0 %,0,0.0
40,>0 - 20 %,4019,0.24
40,>20 - 40 %,33277,1.98
40,>40 - 60 %,77580,4.62
40,>60 - 80 %,105206,6.27
40,>80 - <100 %,129129,7.69
40,100 %,1329277,79.19
41,0 %,0,0.0
41,>0 - 20 %,4028,0.24
41,>20 - 40 %,14679,0.87
41,>40 - 60 %,84292,5.02
41,>60 - 80 %,117718,7.01
41,>80 - <100 %,131757,7.85
41,100 %,1326014,79.0
42,0 %,0,0.0
42,>0 - 20 %,4062,0.24
42,>20 - 40 %,14588,0.87
42,>40 - 60 %,84403,5.03
42,>60 - 80 %,118322,7.05
42,>80 - <100 %,132471,7.89
42,100 %,1324642,78.92
43,0 %,0,0.0
43,>0 - 20 %,4084,0.24
43,>20 - 40 %,14458,0.86
43,>40 - 60 %,84428,5.03
43,>60 - 80 %,119053,7.09
43,>80 - <100 %,133131,7.93
43,100 %,1323334,78.84
44,0 %,0,0.0
44,>0 - 20 %,4131,0.25
