time_step,pixels,percentage
1,30,0.0
2,68,0.0
3,205,0.01
4,234,0.01
5,274,0.02
6,293,0.02
7,330,0.02
8,348,0.02
9,331,0.02
10,377,0.02
11,421,0.03
12,495,0.03
13,565,0.03
14,611,0.04
15,686,0.04
16,693,0.04
17,716,0.04
18,701,0.04
19,763,0.05
20,780,0.05
21,775,0.05
22,761,0.05
23,777,0.05
24,814,0.05
25,2486,0.15
26,2789,0.17
27,2404,0.14
28,2435,0.15
29,2353,0.14
30,2278,0.14
31,2352,0.14
32,2329,0.14
33,2156,0.13
34,1613,0.1
35,1552,0.09
36,1516,0.09
37,1434,0.09
38,1295,0.08
39,1120,0.07
40,1003,0.06
41,893,0.05
42,789,0.05
43,764,0.05
44,685,0.04
45,608,0.04
46,599,0.04
47,561,0.03
48,545,0.03
49,540,0.03
50,459,0.03
51,433,0.03
52,448,0.03
53,670,0.04
54,654,0.04
55,441,0.03
56,406,0.02
57,539,0.03
58,474,0.03
59,318,0.02
60,310,0.02
61,386,0.02
62,405,0.02
63,316,0.02
64,284,0.02
65,301,0.02
66,277,0.02
67,230,0.01
68,217,0.01
69,215,0.01
70,219,0.01
71,209,0.01
72,207,0.01
73,203,0.01
74,181,0.01
75,172,0.01
76,171,0.01
77,169,0.01
78,157,0.01
79,151,0.01
80,150,0.01
81,148,0.01
82,129,0.01
83,123,0.01
