time_step,pixels,percentage
1,86,0.01
2,134,0.01
3,381,0.02
4,461,0.03
5,502,0.03
6,512,0.03
7,547,0.03
8,430,0.03
9,3413,0.2
10,4155,0.25
11,4072,0.24
12,3976,0.24
13,3964,0.24
14,3986,0.24
15,3954,0.24
16,3748,0.22
17,3586,0.21
18,3475,0.21
19,3395,0.2
20,3113,0.19
21,2795,0.17
22,2510,0.15
23,2333,0.14
24,2125,0.13
25,1881,0.11
26,1696,0.1
27,1444,0.09
28,1199,0.07
29,1031,0.06
30,894,0.05
31,837,0.05
32,724,0.04
33,632,0.04
34,601,0.04
35,597,0.04
36,563,0.03
37,540,0.03
38,553,0.03
39,576,0.03
40,583,0.03
41,548,0.03
42,545,0.03
43,592,0.04
44,565,0.03
45,531,0.03
46,738,0.04
47,751,0.04
48,573,0.03
49,500,0.03
50,665,0.04
51,675,0.04
52,439,0.03
53,406,0.02
54,551,0.03
55,593,0.04
56,435,0.03
57,355,0.02
58,439,0.03
59,464,0.03
60,341,0.02
61,308,0.02
62,362,0.02
63,384,0.02
64,327,0.02
65,274,0.02
66,280,0.02
67,297,0.02
68,246,0.01
69,232,0.01
70,247,0.01
71,259,0.02
72,237,0.01
73,208,0.01
74,197,0.01
75,203,0.01
76,209,0.01
