time_step,LUT_code,pixels
1,total,0
1,LUT01,0
1,LUT02,0
1,LUT03,0
1,LUT04,0
1,LUT05,0
2,total,4510
2,LUT01,518
2,LUT02,1
2,LUT03,2770
2,LUT04,1499
2,LUT05,0
3,total,4849
3,LUT01,348
3,LUT02,1
3,LUT03,3064
3,LUT04,1647
3,LUT05,0
4,total,5008
4,LUT01,177
4,LUT02,0
4,LUT03,3180
4,LUT04,1674
4,LUT05,0
5,total,4970
5,LUT01,138
5,LUT02,2
5,LUT03,3150
5,LUT04,1694
5,LUT05,0
6,total,5120
6,LUT01,136
6,LUT02,0
6,LUT03,3235
6,LUT04,1754
6,LUT05,0
7,total,5106
7,LUT01,106
7,LUT02,0
7,LUT03,3344
7,LUT04,1709
7,LUT05,0
8,total,5172
8,LUT01,86
8,LUT02,0
8,LUT03,3421
8,LUT04,1723
8,LUT05,0
9,total,5338
9,LUT01,70
9,LUT02,0
9,LUT03,3519
9,LUT04,1795
9,LUT05,0
10,total,5239
10,LUT01,51
10,LUT02,0
10,LUT03,3464
10,LUT04,1747
10,LUT05,0
11,total,5234
11,LUT01,43
11,LUT02,0
11,LUT03,3463
11,LUT04,1753
11,LUT05,0
12,total,5198
12,LUT01,33
12,LUT02,0
12,LUT03,3486
12,LUT04,1761
12,LUT05,0
13,total,5338
13,LUT01,32
13,LUT02,0
13,LUT03,3593
13,LUT04,1836
13,LUT05,0
14,total,5133
14,LUT01,21
14,LUT02,0
14,LUT03,3365
14,LUT04,1786
14,LUT05,0
15,total,5207
15,LUT01,20
15,LUT02,0
15,LUT03,3446
15,LUT04,1796
15,LUT05,0
16,total,5374
16,LUT01,23
16,LUT02,0
16,LUT03,3556
16,LUT04,1869
16,LUT05,0
17,total,5282
17,LUT01,32
17,LUT02,0
17,LUT03,3503
17,LUT04,1820
17,LUT05,0
18,total,4060
18,LUT01,30
18,LUT02,0
18,LUT03,2926
18,LUT04,1509
18,LUT05,0
19,total,1364
19,LUT01,29
19,LUT02,0
19,LUT03,1335
19,LUT04,419
19,LUT05,0
20,total,2468
20,LUT01,38
20,LUT02,1
20,LUT03,1257
20,LUT04,1395
20,LUT05,0
21,total,2971
21,LUT01,18
21,LUT02,0
21,LUT03,1588
21,LUT04,1409
21,LUT05,0
22,total,3116
22,LUT01,22
22,LUT02,0
22,LUT03,1720
22,LUT04,1397
22,LUT05,0
23,total,3262
23,LUT01,28
23,LUT02,0
23,LUT03,1845
