time_step,LUT_code,pixels
1,total,0
1,LUT01,0
1,LUT02,0
1,LUT03,0
1,LUT04,0
1,LUT05,0
2,total,4424
2,LUT01,90
2,LUT02,0
2,LUT03,3170
2,LUT04,1371
2,LUT05,0
3,total,4015
3,LUT01,33
3,LUT02,0
3,LUT03,2686
3,LUT04,1411
3,LUT05,0
4,total,3545
4,LUT01,27
4,LUT02,0
4,LUT03,2460
4,LUT04,1442
4,LUT05,0
5,total,3400
5,LUT01,14
5,LUT02,0
5,LUT03,2320
5,LUT04,1448
5,LUT05,0
6,total,3454
6,LUT01,14
6,LUT02,0
6,LUT03,2299
6,LUT04,1474
6,LUT05,0
7,total,3156
7,LUT01,8
7,LUT02,0
7,LUT03,1977
7,LUT04,1359
7,LUT05,0
8,total,3185
8,LUT01,9
8,LUT02,0
8,LUT03,1892
8,LUT04,1517
8,LUT05,0
9,total,3239
9,LUT01,10
9,LUT02,0
9,LUT03,1928
9,LUT04,1508
9,LUT05,0
10,total,3003
10,LUT01,11
10,LUT02,0
10,LUT03,1731
10,LUT04,1449
10,LUT05,0
11,total,2989
11,LUT01,15
11,LUT02,0
11,LUT03,1690
11,LUT04,1517
11,LUT05,0
12,total,3008
12,LUT01,14
12,LUT02,0
12,LUT03,1628
12,LUT04,1541
12,LUT05,0
13,total,3019
13,LUT01,21
13,LUT02,0
13,LUT03,1690
13,LUT04,1597
13,LUT05,0
14,total,2871
14,LUT01,18
14,LUT02,0
14,LUT03,1507
14,LUT04,1549
14,LUT05,0
15,total,2830
15,LUT01,15
15,LUT02,0
15,LUT03,1417
15,LUT04,1602
15,LUT05,0
16,total,2802
16,LUT01,14
16,LUT02,0
16,LUT03,1438
16,LUT04,1673
16,LUT05,0
17,total,2744
17,LUT01,9
17,LUT02,0
17,LUT03,1303
17,LUT04,1657
17,LUT05,0
18,total,2658
18,LUT01,9
18,LUT02,0
18,LUT03,1192
18,LUT04,1693
18,LUT05,0
19,total,2773
19,LUT01,12
19,LUT02,0
19,LUT03,1220
19,LUT04,1738
19,LUT05,0
20,total,2837
20,LUT01,6
20,LUT02,0
20,LUT03,1230
20,LUT04,1800
20,LUT05,0
21,total,2751
21,LUT01,11
21,LUT02,0
21,LUT03,1244
21,LUT04,1790
21,LUT05,0
22,total,2706
22,LUT01,11
22,LUT02,0
22,LUT03,1128
22,LUT04,1832
22,LUT05,0
23,total,2831
23,LUT01,11
23,LUT02,2
23,LUT03,1139
