time_step,Aspect,pixels
1,mean of probabilistically simulated forest,821748
2,mean of probabilistically simulated forest,817708
3,mean of probabilistically simulated forest,813055
4,mean of probabilistically simulated forest,808453
5,mean of probabilistically simulated forest,803742
6,mean of probabilistically simulated forest,799576
7,mean of probabilistically simulated forest,795423
8,mean of probabilistically simulated forest,790530
9,mean of probabilistically simulated forest,785447
10,mean of probabilistically simulated forest,780424
11,mean of probabilistically simulated forest,775367
12,mean of probabilistically simulated forest,770278
13,mean of probabilistically simulated forest,765040
14,mean of probabilistically simulated forest,760059
15,mean of probabilistically simulated forest,755000
16,mean of probabilistically simulated forest,749784
17,mean of probabilistically simulated forest,744647
18,mean of probabilistically simulated forest,741335
19,mean of probabilistically simulated forest,740556
20,mean of probabilistically simulated forest,739168
21,mean of probabilistically simulated forest,737432
22,mean of probabilistically simulated forest,735501
23,mean of probabilistically simulated forest,733378
24,mean of probabilistically simulated forest,732046
25,mean of probabilistically simulated forest,733149
26,mean of probabilistically simulated forest,733373
27,mean of probabilistically simulated forest,732895
28,mean of probabilistically simulated forest,731786
29,mean of probabilistically simulated forest,730317
30,mean of probabilistically simulated forest,728660
31,mean of probabilistically simulated forest,726809
32,mean of probabilistically simulated forest,726591
33,mean of probabilistically simulated forest,724321
34,mean of probabilistically simulated forest,721933
35,mean of probabilistically simulated forest,719726
36,mean of probabilistically simulated forest,717403
37,mean of probabilistically simulated forest,714874
38,mean of probabilistically simulated forest,712490
39,mean of probabilistically simulated forest,710013
40,mean of probabilistically simulated forest,707494
41,mean of probabilistically simulated forest,704752
42,mean of probabilistically simulated forest,702122
43,mean of probabilistically simulated forest,696726
44,mean of probabilistically simulated forest,695723
45,mean of probabilistically simulated forest,694693
46,mean of probabilistically simulated forest,693659
47,mean of probabilistically simulated forest,692625
48,mean of probabilistically simulated forest,691706
49,mean of probabilistically simulated forest,690408
50,mean of probabilistically simulated forest,689106
51,mean of probabilistically simulated forest,687804
52,mean of probabilistically simulated forest,686672
53,mean of probabilistically simulated forest,685372
54,mean of probabilistically simulated forest,682809
55,mean of probabilistically simulated forest,680409
56,mean of probabilistically simulated forest,677862
57,mean of probabilistically simulated forest,675247
58,mean of probabilistically simulated forest,672787
59,mean of probabilistically simulated forest,670123
60,mean of probabilistically simulated forest,667622
61,mean of probabilistically simulated forest,664926
62,mean of probabilistically simulated forest,662398
63,mean of probabilistically simulated forest,659853
64,mean of probabilistically simulated forest,655968
65,mean of probabilistically simulated forest,652029
66,mean of probabilistically simulated forest,648215
67,mean of probabilistically simulated forest,644153
68,mean of probabilistically simulated forest,640227
69,mean of probabilistically simulated forest,636056
70,mean of probabilistically simulated forest,632018
71,mean of probabilistically simulated forest,627934
72,mean of probabilistically simulated forest,623790
73,mean of probabilistically simulated forest,619584
74,mean of probabilistically simulated forest,614560
75,mean of probabilistically simulated forest,609470
76,mean of probabilistically simulated forest,604254
77,mean of probabilistically simulated forest,598893
78,mean of probabilistically simulated forest,593577
79,mean of probabilistically simulated forest,588152
80,mean of probabilistically simulated forest,582371
81,mean of probabilistically simulated forest,576676
82,mean of probabilistically simulated forest,570860
83,mean of probabilistically simulated forest,565188
