time_step,Aspect,pixels
1,mean of probabilistically simulated forest,791022
2,mean of probabilistically simulated forest,787382
3,mean of probabilistically simulated forest,784479
4,mean of probabilistically simulated forest,781789
5,mean of probabilistically simulated forest,779263
6,mean of probabilistically simulated forest,776757
7,mean of probabilistically simulated forest,774590
8,mean of probabilistically simulated forest,774591
9,mean of probabilistically simulated forest,774436
10,mean of probabilistically simulated forest,774425
11,mean of probabilistically simulated forest,774375
12,mean of probabilistically simulated forest,774269
13,mean of probabilistically simulated forest,773986
14,mean of probabilistically simulated forest,773772
15,mean of probabilistically simulated forest,773490
16,mean of probabilistically simulated forest,773155
17,mean of probabilistically simulated forest,772851
18,mean of probabilistically simulated forest,772508
19,mean of probabilistically simulated forest,772119
20,mean of probabilistically simulated forest,771610
21,mean of probabilistically simulated forest,771085
22,mean of probabilistically simulated forest,770494
23,mean of probabilistically simulated forest,769737
24,mean of probabilistically simulated forest,769052
25,mean of probabilistically simulated forest,768260
26,mean of probabilistically simulated forest,767219
27,mean of probabilistically simulated forest,762961
28,mean of probabilistically simulated forest,758602
29,mean of probabilistically simulated forest,754024
30,mean of probabilistically simulated forest,749117
31,mean of probabilistically simulated forest,744258
32,mean of probabilistically simulated forest,738787
33,mean of probabilistically simulated forest,733003
34,mean of probabilistically simulated forest,727000
35,mean of probabilistically simulated forest,721111
36,mean of probabilistically simulated forest,715164
37,mean of probabilistically simulated forest,713884
38,mean of probabilistically simulated forest,712583
39,mean of probabilistically simulated forest,711289
40,mean of probabilistically simulated forest,709998
41,mean of probabilistically simulated forest,708821
42,mean of probabilistically simulated forest,707523
43,mean of probabilistically simulated forest,706223
44,mean of probabilistically simulated forest,704920
45,mean of probabilistically simulated forest,703788
46,mean of probabilistically simulated forest,702489
47,mean of probabilistically simulated forest,699930
48,mean of probabilistically simulated forest,697540
49,mean of probabilistically simulated forest,694997
50,mean of probabilistically simulated forest,692397
51,mean of probabilistically simulated forest,689965
52,mean of probabilistically simulated forest,688099
53,mean of probabilistically simulated forest,685748
54,mean of probabilistically simulated forest,683099
55,mean of probabilistically simulated forest,680614
56,mean of probabilistically simulated forest,678107
57,mean of probabilistically simulated forest,674274
58,mean of probabilistically simulated forest,670681
59,mean of probabilistically simulated forest,666917
60,mean of probabilistically simulated forest,662918
61,mean of probabilistically simulated forest,659056
62,mean of probabilistically simulated forest,654939
63,mean of probabilistically simulated forest,650957
64,mean of probabilistically simulated forest,646928
65,mean of probabilistically simulated forest,642841
66,mean of probabilistically simulated forest,638704
67,mean of probabilistically simulated forest,633741
68,mean of probabilistically simulated forest,628689
69,mean of probabilistically simulated forest,623535
70,mean of probabilistically simulated forest,618288
71,mean of probabilistically simulated forest,613134
72,mean of probabilistically simulated forest,607879
73,mean of probabilistically simulated forest,602319
74,mean of probabilistically simulated forest,596872
75,mean of probabilistically simulated forest,591321
76,mean of probabilistically simulated forest,585866
