time_step,crop,source_LUT,pixels,yield_minimum,yield_mean,yield_maximum
1,Cacao,agroforestry,236202,47240.4,212581.8,377923.2
1,Coffee,agroforestry,202,26.26,28.28,30.3
1,Plantano,agroforestry,37117,371.17,178903.94,357436.71
1,Maize,cropland-annual,6041,845.74,6222.23,11598.72
1,Cassava,cropland-annual,1257,12.57,7529.43,15046.29
2,Cacao,agroforestry,237606,47521.2,213845.4,380169.6
2,Coffee,agroforestry,203,26.39,28.42,30.45
2,Plantano,agroforestry,37337,373.37,179964.34,359555.31
2,Maize,cropland-annual,6072,850.08,6254.16,11658.24
2,Cassava,cropland-annual,1263,12.63,7565.37,15118.11
3,Cacao,agroforestry,238979,47795.8,215081.1,382366.4
3,Coffee,agroforestry,204,26.52,28.56,30.6
3,Plantano,agroforestry,37553,375.53,181005.46,361635.39
3,Maize,cropland-annual,6100,854.0,6283.0,11712.0
3,Cassava,cropland-annual,1269,12.69,7601.31,15189.93
4,Cacao,agroforestry,240355,48071.0,216319.5,384568.0
4,Coffee,agroforestry,206,26.78,28.84,30.9
4,Plantano,agroforestry,37769,377.69,182046.58,363715.47
4,Maize,cropland-annual,6129,858.06,6312.87,11767.68
4,Cassava,cropland-annual,1275,12.75,7637.25,15261.75
5,Cacao,agroforestry,241742,48348.4,217567.8,386787.2
5,Coffee,agroforestry,207,26.91,28.98,31.05
5,Plantano,agroforestry,37987,379.87,183097.34,365814.81
5,Maize,cropland-annual,6159,862.26,6343.77,11825.28
5,Cassava,cropland-annual,1282,12.82,7679.18,15345.54
6,Cacao,agroforestry,243181,48636.2,218862.9,389089.6
6,Coffee,agroforestry,208,27.04,29.12,31.2
6,Plantano,agroforestry,38213,382.13,184186.66,367991.19
6,Maize,cropland-annual,6189,866.46,6374.67,11882.88
6,Cassava,cropland-annual,1288,12.88,7715.12,15417.36
7,Cacao,agroforestry,244583,48916.6,220124.7,391332.8
7,Coffee,agroforestry,209,27.17,29.26,31.35
7,Plantano,agroforestry,38434,384.34,185251.88,370119.42
7,Maize,cropland-annual,6218,870.52,6404.54,11938.56
7,Cassava,cropland-annual,1294,12.94,7751.06,15489.18
8,Cacao,agroforestry,245994,49198.8,221394.6,393590.4
8,Coffee,agroforestry,210,27.3,29.4,31.5
8,Plantano,agroforestry,38655,386.55,186317.1,372247.65
8,Maize,cropland-annual,6248,874.72,6435.44,11996.16
8,Cassava,cropland-annual,1300,13.0,7787.0,15561.0
9,Cacao,agroforestry,247461,49492.2,222714.9,395937.6
9,Coffee,agroforestry,212,27.56,29.68,31.8
9,Plantano,agroforestry,38886,388.86,187430.52,374472.18
9,Maize,cropland-annual,6278,878.92,6466.34,12053.76
9,Cassava,cropland-annual,1306,13.06,7822.94,15632.82
10,Cacao,agroforestry,248889,49777.8,224000.1,398222.4
10,Coffee,agroforestry,213,27.69,29.82,31.95
10,Plantano,agroforestry,39110,391.1,188510.2,376629.3
10,Maize,cropland-annual,6308,883.12,6497.24,12111.36
10,Cassava,cropland-annual,1313,13.13,7864.87,15716.61
11,Cacao,agroforestry,250323,50064.6,225290.7,400516.8
11,Coffee,agroforestry,214,27.82,29.96,32.1
11,Plantano,agroforestry,39336,393.36,189599.52,378805.68
11,Maize,cropland-annual,6339,887.46,6529.17,12170.88
11,Cassava,cropland-annual,1319,13.19,7900.81,15788.43
12,Cacao,agroforestry,251768,50353.6,226591.2,402828.8
12,Coffee,agroforestry,215,27.95,30.1,32.25
12,Plantano,agroforestry,39563,395.63,190693.66,380991.69
12,Maize,cropland-annual,6368,891.52,6559.04,12226.56
12,Cassava,cropland-annual,1325,13.25,7936.75,15860.25
13,Cacao,agroforestry,253271,50654.2,227943.9,405233.6
13,Coffee,agroforestry,217,28.21,30.38,32.55
13,Plantano,agroforestry,39799,397.99,191831.18,383264.37
13,Maize,cropland-annual,6401,896.14,6593.03,12289.92
13,Cassava,cropland-annual,1332,13.32,7978.68,15944.04
14,Cacao,agroforestry,254733,50946.6,229259.7,407572.8
14,Coffee,agroforestry,218,28.34,30.52,32.7
14,Plantano,agroforestry,40029,400.29,192939.78,385479.27
14,Maize,cropland-annual,6431,900.34,6623.93,12347.52
14,Cassava,cropland-annual,1338,13.38,8014.62,16015.86
15,Cacao,agroforestry,256202,51240.4,230581.8,409923.2
15,Coffee,agroforestry,219,28.47,30.66,32.85
15,Plantano,agroforestry,40259,402.59,194048.38,387694.17
15,Maize,cropland-annual,6461,904.54,6654.83,12405.12
15,Cassava,cropland-annual,1345,13.45,8056.55,16099.65
16,Cacao,agroforestry,257734,51546.8,231960.6,412374.4
16,Coffee,agroforestry,220,28.6,30.8,33.0
16,Plantano,agroforestry,40500,405.0,195210.0,390015.0
16,Maize,cropland-annual,6494,909.16,6688.82,12468.48
16,Cassava,cropland-annual,1351,13.51,8092.49,16171.47
17,Cacao,agroforestry,259224,51844.8,233301.6,414758.4
17,Coffee,agroforestry,222,28.86,31.08,33.3
17,Plantano,agroforestry,40734,407.34,196337.88,392268.42
17,Maize,cropland-annual,6524,913.36,6719.72,12526.08
17,Cassava,cropland-annual,1358,13.58,8134.42,16255.26
18,Cacao,agroforestry,260722,52144.4,234649.8,417155.2
18,Coffee,agroforestry,223,28.99,31.22,33.45
18,Plantano,agroforestry,40970,409.7,197475.4,394541.1
18,Maize,cropland-annual,6556,917.84,6752.68,12587.52
18,Cassava,cropland-annual,1364,13.64,8170.36,16327.08
19,Cacao,agroforestry,262229,52445.8,236006.1,419566.4
19,Coffee,agroforestry,224,29.12,31.36,33.6
19,Plantano,agroforestry,41206,412.06,198612.92,396813.78
19,Maize,cropland-annual,6587,922.18,6784.61,12647.04
19,Cassava,cropland-annual,1371,13.71,8212.29,16410.87
20,Cacao,agroforestry,263797,52759.4,237417.3,422075.2
20,Coffee,agroforestry,226,29.38,31.64,33.9
20,Plantano,agroforestry,41453,414.53,199803.46,399192.39
20,Maize,cropland-annual,6620,926.8,6818.6,12710.4
20,Cassava,cropland-annual,1378,13.78,8254.22,16494.66
21,Cacao,agroforestry,265322,53064.4,238789.8,424515.2
21,Coffee,agroforestry,227,29.51,31.78,34.05
21,Plantano,agroforestry,41692,416.92,200955.44,401493.96
21,Maize,cropland-annual,6650,931.0,6849.5,12768.0
21,Cassava,cropland-annual,1384,13.84,8290.16,16566.48
22,Cacao,agroforestry,266860,53372.0,240174.0,426976.0
22,Coffee,agroforestry,228,29.64,31.92,34.2
22,Plantano,agroforestry,41934,419.34,202121.88,403824.42
22,Maize,cropland-annual,6683,935.62,6883.49,12831.36
22,Cassava,cropland-annual,1391,13.91,8332.09,16650.27
23,Cacao,agroforestry,268455,53691.0,241609.5,429528.0
23,Coffee,agroforestry,230,29.9,32.2,34.5
23,Plantano,agroforestry,42185,421.85,203331.7,406241.55
23,Maize,cropland-annual,6716,940.24,6917.48,12894.72
23,Cassava,cropland-annual,1397,13.97,8368.03,16722.09
24,Cacao,agroforestry,270010,54002.0,243009.0,432016.0
24,Coffee,agroforestry,231,30.03,32.34,34.65
24,Plantano,agroforestry,42429,424.29,204507.78,408591.27
24,Maize,cropland-annual,6748,944.72,6950.44,12956.16
24,Cassava,cropland-annual,1404,14.04,8409.96,16805.88
25,Cacao,agroforestry,271576,54315.2,244418.4,434521.6
25,Coffee,agroforestry,232,30.16,32.48,34.8
25,Plantano,agroforestry,42675,426.75,205693.5,410960.25
25,Maize,cropland-annual,6780,949.2,6983.4,13017.6
25,Cassava,cropland-annual,1411,14.11,8451.89,16889.67
26,Cacao,agroforestry,273147,54629.4,245832.3,437035.2
26,Coffee,agroforestry,234,30.42,32.76,35.1
26,Plantano,agroforestry,42922,429.22,206884.04,413338.86
26,Maize,cropland-annual,6812,953.68,7016.36,13079.04
26,Cassava,cropland-annual,1418,14.18,8493.82,16973.46
27,Cacao,agroforestry,274786,54957.2,247307.4,439657.6
27,Coffee,agroforestry,235,30.55,32.9,35.25
27,Plantano,agroforestry,43180,431.8,208127.6,415823.4
27,Maize,cropland-annual,6845,958.3,7050.35,13142.4
27,Cassava,cropland-annual,1424,14.24,8529.76,17045.28
28,Cacao,agroforestry,276381,55276.2,248742.9,442209.6
28,Coffee,agroforestry,236,30.68,33.04,35.4
28,Plantano,agroforestry,43430,434.3,209332.6,418230.9
28,Maize,cropland-annual,6879,963.06,7085.37,13207.68
28,Cassava,cropland-annual,1431,14.31,8571.69,17129.07
29,Cacao,agroforestry,277985,55597.0,250186.5,444776.0
