time_step,LUT_code,pixels,percentage
1,LUT01,52628,3.14
1,LUT02,,
1,LUT03,,
1,LUT04,287945,17.16
1,LUT05,119725,7.13
1,LUT06,834,0.05
1,LUT07,19,0.0
1,LUT08,365457,21.77
1,LUT09,364524,21.72
1,LUT10,936,0.06
1,LUT11,18476,1.1
1,LUT12,54458,3.24
1,LUT13,1634,0.1
1,LUT14,0,0.0
1,LUT15,0,0.0
1,LUT16,0,0.0
1,LUT17,2,0.0
1,LUT18,0,0.0
1,LUT21,316739,18.87
1,LUT22,2561,0.15
1,LUT23,784,0.05
1,LUT24,0,0.0
1,LUT25,0,0.0
2,LUT01,53275,3.17
2,LUT02,,
2,LUT03,,
2,LUT04,289657,17.26
2,LUT05,119725,7.13
2,LUT06,504,0.03
2,LUT07,7,0.0
2,LUT08,453247,27.0
2,LUT09,364503,21.72
2,LUT10,936,0.06
2,LUT11,18373,1.09
2,LUT12,54458,3.24
2,LUT13,1634,0.1
2,LUT14,0,0.0
2,LUT15,0,0.0
2,LUT16,0,0.0
2,LUT17,2,0.0
2,LUT18,0,0.0
2,LUT21,319643,19.04
2,LUT22,1796,0.11
2,LUT23,725,0.04
2,LUT24,0,0.0
2,LUT25,0,0.0
3,LUT01,53922,3.21
3,LUT02,,
3,LUT03,,
3,LUT04,291331,17.36
3,LUT05,119725,7.13
3,LUT06,259,0.02
3,LUT07,104,0.01
3,LUT08,448525,26.72
3,LUT09,364503,21.72
3,LUT10,935,0.06
3,LUT11,18133,1.08
3,LUT12,54458,3.24
3,LUT13,1634,0.1
3,LUT14,0,0.0
3,LUT15,0,0.0
3,LUT16,0,0.0
3,LUT17,6,0.0
3,LUT18,0,0.0
3,LUT21,322508,19.21
3,LUT22,1715,0.1
3,LUT23,730,0.04
3,LUT24,0,0.0
3,LUT25,0,0.0
4,LUT01,54471,3.25
4,LUT02,,
4,LUT03,,
4,LUT04,293008,17.46
4,LUT05,119725,7.13
4,LUT06,151,0.01
4,LUT07,145,0.01
4,LUT08,443927,26.45
4,LUT09,364503,21.72
4,LUT10,931,0.06
4,LUT11,17866,1.06
4,LUT12,54458,3.24
4,LUT13,1634,0.1
4,LUT14,0,0.0
4,LUT15,0,0.0
4,LUT16,0,0.0
4,LUT17,8,0.0
4,LUT18,0,0.0
4,LUT21,325394,19.39
4,LUT22,1575,0.09
4,LUT23,690,0.04
4,LUT24,2,0.0
4,LUT25,2,0.0
5,LUT01,55020,3.28
5,LUT02,,
5,LUT03,,
5,LUT04,294699,17.56
5,LUT05,119725,7.13
5,LUT06,119,0.01
5,LUT07,141,0.01
5,LUT08,439161,26.16
5,LUT09,364503,21.72
5,LUT10,926,0.06
5,LUT11,17578,1.05
