time_step,LUT_code,pixels,percentage
1,LUT01,56667,3.38
1,LUT02,,
1,LUT03,,
1,LUT04,299882,17.87
1,LUT05,115107,6.86
1,LUT06,90,0.01
1,LUT07,136,0.01
1,LUT08,428060,25.5
1,LUT09,312857,18.64
1,LUT10,894,0.05
1,LUT11,16502,0.98
1,LUT12,54458,3.24
1,LUT13,1634,0.1
1,LUT14,0,0.0
1,LUT15,0,0.0
1,LUT16,0,0.0
1,LUT17,18,0.0
1,LUT18,4618,0.28
1,LUT21,337241,20.09
1,LUT22,151,0.01
1,LUT23,69,0.0
1,LUT24,0,0.0
1,LUT25,0,0.0
2,LUT01,57216,3.41
2,LUT02,,
2,LUT03,,
2,LUT04,301671,17.97
2,LUT05,110400,6.58
2,LUT06,89,0.01
2,LUT07,118,0.01
2,LUT08,477876,28.47
2,LUT09,312857,18.64
2,LUT10,865,0.05
2,LUT11,15956,0.95
2,LUT12,54458,3.24
2,LUT13,1634,0.1
2,LUT14,0,0.0
2,LUT15,0,0.0
2,LUT16,0,0.0
2,LUT17,13,0.0
2,LUT18,4783,0.28
2,LUT21,340309,20.27
2,LUT22,140,0.01
2,LUT23,103,0.01
2,LUT24,0,0.0
2,LUT25,0,0.0
3,LUT01,57765,3.44
3,LUT02,,
3,LUT03,,
3,LUT04,303411,18.08
3,LUT05,105569,6.29
3,LUT06,89,0.01
3,LUT07,130,0.01
3,LUT08,477824,28.47
3,LUT09,312857,18.64
3,LUT10,848,0.05
3,LUT11,15497,0.92
3,LUT12,54458,3.24
3,LUT13,1634,0.1
3,LUT14,0,0.0
3,LUT15,0,0.0
3,LUT16,0,0.0
3,LUT17,11,0.0
3,LUT18,4811,0.29
3,LUT21,343336,20.46
3,LUT22,132,0.01
3,LUT23,116,0.01
3,LUT24,0,0.0
3,LUT25,0,0.0
4,LUT01,58314,3.47
4,LUT02,,
4,LUT03,,
4,LUT04,305160,18.18
4,LUT05,100784,6.0
4,LUT06,90,0.01
4,LUT07,139,0.01
4,LUT08,477587,28.45
4,LUT09,312857,18.64
4,LUT10,840,0.05
4,LUT11,15208,0.91
4,LUT12,54458,3.24
4,LUT13,1634,0.1
4,LUT14,0,0.0
4,LUT15,0,0.0
4,LUT16,0,0.0
4,LUT17,9,0.0
4,LUT18,4778,0.28
4,LUT21,346392,20.64
4,LUT22,122,0.01
4,LUT23,116,0.01
4,LUT24,0,0.0
4,LUT25,0,0.0
5,LUT01,58863,3.51
5,LUT02,,
5,LUT03,,
5,LUT04,306921,18.29
5,LUT05,96058,5.72
5,LUT06,93,0.01
5,LUT07,150,0.01
5,LUT08,477103,28.42
5,LUT09,312857,18.64
5,LUT10,836,0.05
5,LUT11,15018,0.89
5,LUT12,54458,3.24
5,LUT13,1634,0.1
5,LUT14,0,0.0
5,LUT15,0,0.0
5,LUT16,0,0.0
5,LUT17,10,0.0
5,LUT18,4791,0.29
5,LUT21,349466,20.82
5,LUT22,118,0.01
5,LUT23,112,0.01
5,LUT24,0,0.0
5,LUT25,0,0.0
6,LUT01,59412,3.54
6,LUT02,,
6,LUT03,,
6,LUT04,308754,18.39
6,LUT05,91336,5.44
6,LUT06,91,0.01
6,LUT07,158,0.01
6,LUT08,476447,28.39
6,LUT09,312857,18.64
6,LUT10,835,0.05
6,LUT11,14846,0.88
6,LUT12,54458,3.24
6,LUT13,1634,0.1
6,LUT14,0,0.0
6,LUT15,0,0.0
6,LUT16,0,0.0
6,LUT17,9,0.0
6,LUT18,4796,0.29
6,LUT21,352636,21.01
6,LUT22,115,0.01
6,LUT23,104,0.01
6,LUT24,0,0.0
6,LUT25,0,0.0
7,LUT01,59827,3.56
7,LUT02,,
7,LUT03,,
7,LUT04,310536,18.5
7,LUT05,86597,5.16
7,LUT06,96,0.01
7,LUT07,166,0.01
7,LUT08,476047,28.36
7,LUT09,312801,18.64
7,LUT10,830,0.05
7,LUT11,14677,0.87
7,LUT12,54458,3.24
7,LUT13,1634,0.1
7,LUT14,0,0.0
7,LUT15,0,0.0
7,LUT16,0,0.0
7,LUT17,11,0.0
7,LUT18,4770,0.28
7,LUT21,355762,21.2
7,LUT22,117,0.01
7,LUT23,103,0.01
7,LUT24,0,0.0
7,LUT25,0,0.0
8,LUT01,60242,3.59
8,LUT02,,
8,LUT03,,
8,LUT04,312327,18.61
8,LUT05,81846,4.88
8,LUT06,97,0.01
8,LUT07,172,0.01
8,LUT08,475608,28.34
8,LUT09,312801,18.64
8,LUT10,827,0.05
8,LUT11,14572,0.87
8,LUT12,54458,3.24
8,LUT13,1634,0.1
8,LUT14,0,0.0
8,LUT15,0,0.0
8,LUT16,0,0.0
8,LUT17,10,0.0
8,LUT18,4791,0.29
8,LUT21,358912,21.38
8,LUT22,116,0.01
8,LUT23,75,0.0
8,LUT24,0,0.0
8,LUT25,0,0.0
9,LUT01,60657,3.61
9,LUT02,,
9,LUT03,,
9,LUT04,314194,18.72
9,LUT05,77035,4.59
9,LUT06,106,0.01
9,LUT07,169,0.01
9,LUT08,474900,28.29
9,LUT09,312801,18.64
