time_step,LUT_code,pixels
1,LUT22,71
1,LUT23,49
1,LUT24,0
1,LUT25,41917
2,LUT22,71
2,LUT23,66
2,LUT24,0
2,LUT25,0
3,LUT22,71
3,LUT23,79
3,LUT24,0
3,LUT25,0
4,LUT22,68
4,LUT23,80
4,LUT24,0
4,LUT25,0
5,LUT22,69
5,LUT23,84
5,LUT24,0
5,LUT25,0
6,LUT22,64
6,LUT23,74
6,LUT24,0
6,LUT25,0
7,LUT22,66
7,LUT23,74
7,LUT24,0
7,LUT25,51
8,LUT22,66
8,LUT23,54
8,LUT24,0
8,LUT25,0
9,LUT22,67
9,LUT23,103
9,LUT24,0
9,LUT25,0
10,LUT22,66
10,LUT23,87
10,LUT24,0
10,LUT25,0
11,LUT22,66
11,LUT23,52
11,LUT24,0
11,LUT25,0
12,LUT22,59
12,LUT23,43
12,LUT24,0
12,LUT25,0
13,LUT22,75
13,LUT23,47
13,LUT24,0
13,LUT25,0
14,LUT22,94
14,LUT23,38
14,LUT24,0
14,LUT25,0
15,LUT22,173
15,LUT23,34
15,LUT24,1
15,LUT25,6
16,LUT22,208
16,LUT23,16
16,LUT24,1
16,LUT25,0
17,LUT22,335
17,LUT23,72
17,LUT24,3
17,LUT25,0
18,LUT22,236
18,LUT23,73
18,LUT24,6
18,LUT25,0
19,LUT22,172
19,LUT23,71
19,LUT24,9
19,LUT25,0
20,LUT22,142
20,LUT23,76
20,LUT24,11
20,LUT25,0
21,LUT22,138
21,LUT23,73
21,LUT24,14
21,LUT25,0
22,LUT22,141
22,LUT23,71
22,LUT24,18
22,LUT25,0
23,LUT22,151
23,LUT23,74
23,LUT24,21
23,LUT25,0
24,LUT22,157
24,LUT23,62
24,LUT24,23
24,LUT25,0
25,LUT22,174
25,LUT23,80
25,LUT24,25
25,LUT25,0
26,LUT22,152
26,LUT23,77
26,LUT24,24
26,LUT25,534
27,LUT22,146
27,LUT23,82
27,LUT24,26
27,LUT25,0
28,LUT22,141
28,LUT23,82
28,LUT24,21
28,LUT25,0
29,LUT22,136
29,LUT23,87
29,LUT24,22
29,LUT25,0
30,LUT22,128
30,LUT23,88
30,LUT24,22
30,LUT25,0
31,LUT22,119
31,LUT23,87
31,LUT24,22
31,LUT25,0
32,LUT22,116
32,LUT23,76
32,LUT24,27
32,LUT25,0
33,LUT22,114
33,LUT23,84
33,LUT24,28
33,LUT25,0
34,LUT22,115
34,LUT23,82
34,LUT24,32
34,LUT25,0
35,LUT22,111
35,LUT23,80
35,LUT24,34
35,LUT25,0
36,LUT22,107
36,LUT23,81
36,LUT24,39
36,LUT25,0
37,LUT22,104
37,LUT23,80
37,LUT24,40
37,LUT25,0
38,LUT22,102
38,LUT23,79
38,LUT24,44
38,LUT25,0
39,LUT22,105
39,LUT23,84
39,LUT24,46
39,LUT25,0
40,LUT22,102
40,LUT23,73
40,LUT24,46
40,LUT25,0
41,LUT22,106
41,LUT23,79
41,LUT24,46
41,LUT25,0
42,LUT22,111
42,LUT23,80
42,LUT24,47
42,LUT25,0
43,LUT22,115
43,LUT23,80
43,LUT24,49
43,LUT25,0
44,LUT22,117
44,LUT23,80
44,LUT24,50
44,LUT25,0
45,LUT22,116
45,LUT23,83
45,LUT24,50
45,LUT25,0
46,LUT22,111
46,LUT23,82
46,LUT24,52
46,LUT25,0
47,LUT22,106
47,LUT23,82
47,LUT24,55
47,LUT25,0
48,LUT22,102
48,LUT23,76
48,LUT24,58
48,LUT25,0
49,LUT22,96
49,LUT23,79
49,LUT24,62
49,LUT25,0
50,LUT22,96
50,LUT23,82
50,LUT24,63
50,LUT25,0
51,LUT22,92
51,LUT23,73
51,LUT24,68
51,LUT25,0
52,LUT22,100
52,LUT23,73
52,LUT24,71
52,LUT25,0
53,LUT22,93
53,LUT23,75
53,LUT24,78
53,LUT25,0
54,LUT22,98
54,LUT23,71
54,LUT24,88
54,LUT25,0
55,LUT22,97
55,LUT23,76
55,LUT24,96
55,LUT25,0
56,LUT22,97
56,LUT23,69
56,LUT24,101
56,LUT25,0
57,LUT22,85
57,LUT23,67
57,LUT24,109
57,LUT25,0
58,LUT22,71
58,LUT23,69
58,LUT24,125
58,LUT25,0
59,LUT22,72
59,LUT23,64
59,LUT24,134
59,LUT25,0
60,LUT22,73
60,LUT23,65
60,LUT24,152
60,LUT25,0
61,LUT22,68
61,LUT23,62
61,LUT24,159
61,LUT25,0
62,LUT22,65
62,LUT23,63
62,LUT24,167
62,LUT25,0
63,LUT22,62
63,LUT23,66
63,LUT24,184
63,LUT25,0
64,LUT22,67
64,LUT23,59
64,LUT24,212
64,LUT25,0
65,LUT22,67
65,LUT23,58
65,LUT24,236
65,LUT25,0
66,LUT22,65
66,LUT23,59
66,LUT24,262
66,LUT25,0
67,LUT22,63
67,LUT23,56
67,LUT24,292
67,LUT25,0
68,LUT22,61
68,LUT23,56
68,LUT24,326
68,LUT25,0
69,LUT22,60
69,LUT23,57
69,LUT24,363
69,LUT25,0
70,LUT22,59
70,LUT23,59
70,LUT24,419
70,LUT25,0
71,LUT22,54
71,LUT23,61
71,LUT24,480
71,LUT25,0
72,LUT22,52
72,LUT23,54
72,LUT24,550
72,LUT25,0
73,LUT22,51
73,LUT23,53
73,LUT24,634
73,LUT25,0
74,LUT22,51
74,LUT23,54
74,LUT24,755
74,LUT25,0
75,LUT22,53
75,LUT23,51
75,LUT24,902
75,LUT25,0
76,LUT22,51
76,LUT23,50
76,LUT24,1114
76,LUT25,0
