time_step,LUT_code,pixels
1,LUT22,1339
1,LUT23,505
1,LUT24,0
1,LUT25,31952
2,LUT22,1339
2,LUT23,515
2,LUT24,0
2,LUT25,0
3,LUT22,1339
3,LUT23,526
3,LUT24,0
3,LUT25,0
4,LUT22,1312
4,LUT23,514
4,LUT24,0
4,LUT25,0
5,LUT22,1306
5,LUT23,523
5,LUT24,0
5,LUT25,0
6,LUT22,831
6,LUT23,341
6,LUT24,0
6,LUT25,0
7,LUT22,32
7,LUT23,75
7,LUT24,0
7,LUT25,0
8,LUT22,32
8,LUT23,63
8,LUT24,0
8,LUT25,14
9,LUT22,26
9,LUT23,76
9,LUT24,0
9,LUT25,0
10,LUT22,34
10,LUT23,84
10,LUT24,0
10,LUT25,0
11,LUT22,35
11,LUT23,95
11,LUT24,0
11,LUT25,0
12,LUT22,35
12,LUT23,100
12,LUT24,0
12,LUT25,0
13,LUT22,37
13,LUT23,99
13,LUT24,0
13,LUT25,0
14,LUT22,38
14,LUT23,104
14,LUT24,0
14,LUT25,0
15,LUT22,38
15,LUT23,104
15,LUT24,0
15,LUT25,0
16,LUT22,38
16,LUT23,93
16,LUT24,0
16,LUT25,0
17,LUT22,31
17,LUT23,98
17,LUT24,0
17,LUT25,0
18,LUT22,37
18,LUT23,92
18,LUT24,0
18,LUT25,0
19,LUT22,524
19,LUT23,104
19,LUT24,0
19,LUT25,0
20,LUT22,364
20,LUT23,104
20,LUT24,0
20,LUT25,0
21,LUT22,258
21,LUT23,100
21,LUT24,0
21,LUT25,0
22,LUT22,168
22,LUT23,107
22,LUT24,0
22,LUT25,0
23,LUT22,119
23,LUT23,107
23,LUT24,0
23,LUT25,0
24,LUT22,102
24,LUT23,185
24,LUT24,0
24,LUT25,0
25,LUT22,32
25,LUT23,213
25,LUT24,0
25,LUT25,0
26,LUT22,679
26,LUT23,274
26,LUT24,0
26,LUT25,0
27,LUT22,542
27,LUT23,270
27,LUT24,0
27,LUT25,0
28,LUT22,457
28,LUT23,243
28,LUT24,0
28,LUT25,0
29,LUT22,376
29,LUT23,230
29,LUT24,0
29,LUT25,0
30,LUT22,321
30,LUT23,220
30,LUT24,0
30,LUT25,0
31,LUT22,326
31,LUT23,225
31,LUT24,6
31,LUT25,0
32,LUT22,76
