time_step,LUT_code,LUT_mean,potential_AGB,potential_Carbon
1,LUT21,115.523,36590640.0,18295320.0
1,LUT22,210.799,539856.25,269928.125
1,LUT23,281.512,220705.406,110352.703
2,LUT21,115.523,36926120.0,18463060.0
2,LUT22,210.799,378595.0,189297.5
2,LUT23,281.512,204096.188,102048.094
3,LUT21,115.523,37257092.0,18628546.0
3,LUT22,210.799,361520.281,180760.141
3,LUT23,281.512,205503.75,102751.875
4,LUT21,115.523,37590492.0,18795246.0
4,LUT22,210.799,332008.406,166004.203
4,LUT23,281.512,194243.281,97121.64
5,LUT21,115.523,37927240.0,18963620.0
5,LUT22,210.799,317884.875,158942.438
5,LUT23,281.512,195932.344,97966.172
6,LUT21,115.523,38273232.0,19136616.0
6,LUT22,210.799,194989.078,97494.539
6,LUT23,281.512,131184.594,65592.297
7,LUT21,115.523,38614604.0,19307302.0
7,LUT22,210.799,12226.342,6113.171
7,LUT23,281.512,36596.559,18298.28
8,LUT21,115.523,38959092.0,19479546.0
8,LUT22,210.799,12437.141,6218.57
8,LUT23,281.512,31247.832,15623.916
9,LUT21,115.523,39313516.0,19656758.0
9,LUT22,210.799,8853.558,4426.779
9,LUT23,281.512,38285.633,19142.817
10,LUT21,115.523,39663204.0,19831602.0
10,LUT22,210.799,10539.95,5269.975
10,LUT23,281.512,38848.656,19424.328
11,LUT21,115.523,40016244.0,20008122.0
11,LUT22,210.799,10750.749,5375.374
11,LUT23,281.512,40819.238,20409.619
12,LUT21,115.523,40371360.0,20185680.0
12,LUT22,210.799,10961.548,5480.774
12,LUT23,281.512,44197.383,22098.692
13,LUT21,115.523,40737568.0,20368784.0
13,LUT22,210.799,12015.543,6007.771
13,LUT23,281.512,45041.918,22520.959
14,LUT21,115.523,41098696.0,20549348.0
14,LUT22,210.799,11804.744,5902.372
14,LUT23,281.512,44760.406,22380.203
15,LUT21,115.523,41462592.0,20731296.0
15,LUT22,210.799,11804.744,5902.372
15,LUT23,281.512,43071.336,21535.668
16,LUT21,115.523,41837928.0,20918964.0
16,LUT22,210.799,12015.543,6007.771
16,LUT23,281.512,38285.633,19142.817
17,LUT21,115.523,42207484.0,21103742.0
17,LUT22,210.799,9696.754,4848.377
17,LUT23,281.512,39130.168,19565.084
18,LUT21,115.523,42580624.0,21290312.0
18,LUT22,210.799,10750.749,5375.374
18,LUT23,281.512,34344.465,17172.232
19,LUT21,115.523,42956304.0,21478152.0
19,LUT22,210.799,1562231.375,781115.688
19,LUT23,281.512,50672.16,25336.08
20,LUT21,115.523,43343768.0,21671884.0
20,LUT22,210.799,917397.25,458698.625
20,LUT23,281.512,44760.406,22380.203
21,LUT21,115.523,43725224.0,21862612.0
21,LUT22,210.799,610263.062,305131.531
21,LUT23,281.512,42508.312,21254.156
22,LUT21,115.523,44110724.0,22055362.0
22,LUT22,210.799,454271.844,227135.922
22,LUT23,281.512,43634.359,21817.179
23,LUT21,115.523,44507548.0,22253774.0
23,LUT22,210.799,361731.062,180865.531
23,LUT23,281.512,42508.312,21254.156
24,LUT21,115.523,44898592.0,22449296.0
24,LUT22,210.799,311560.906,155780.453
