time_step,LUT_code,LUT_mean,potential_AGB,potential_Carbon
1,LUT21,117.543,39640320.0,19820160.0
1,LUT22,217.244,32803.844,16401.922
1,LUT23,288.993,19940.518,9970.259
2,LUT21,117.543,40000940.0,20000470.0
2,LUT22,217.244,30414.16,15207.08
2,LUT23,288.993,29766.279,14883.139
3,LUT21,117.543,40356744.0,20178372.0
3,LUT22,217.244,28676.209,14338.104
3,LUT23,288.993,33523.188,16761.594
4,LUT21,117.543,40715956.0,20357978.0
4,LUT22,217.244,26503.768,13251.884
4,LUT23,288.993,33523.188,16761.594
5,LUT21,117.543,41077280.0,20538640.0
5,LUT22,217.244,25634.793,12817.397
5,LUT23,288.993,32367.217,16183.609
6,LUT21,117.543,41449892.0,20724946.0
6,LUT22,217.244,24983.061,12491.531
6,LUT23,288.993,30055.273,15027.637
7,LUT21,117.543,41817332.0,20908666.0
7,LUT22,217.244,25417.549,12708.774
7,LUT23,288.993,29766.279,14883.139
8,LUT21,117.543,42187592.0,21093796.0
8,LUT22,217.244,25200.305,12600.153
8,LUT23,288.993,21674.477,10837.238
9,LUT21,117.543,42569492.0,21284746.0
9,LUT22,217.244,26069.281,13034.64
9,LUT23,288.993,36413.121,18206.56
10,LUT21,117.543,42945512.0,21472756.0
10,LUT22,217.244,25852.037,12926.019
10,LUT23,288.993,32367.217,16183.609
11,LUT21,117.543,43325176.0,21662588.0
11,LUT22,217.244,26721.012,13360.506
11,LUT23,288.993,19073.539,9536.77
12,LUT21,117.543,43707424.0,21853712.0
12,LUT22,217.244,23245.107,11622.553
12,LUT23,288.993,15316.63,7658.315
13,LUT21,117.543,44101664.0,22050832.0
13,LUT22,217.244,29545.184,14772.592
13,LUT23,288.993,16183.608,8091.804
14,LUT21,117.543,44489792.0,22244896.0
14,LUT22,217.244,42362.582,21181.291
14,LUT23,288.993,13293.679,6646.84
15,LUT21,117.543,44882032.0,22441016.0
15,LUT22,217.244,72342.25,36171.125
15,LUT23,288.993,12426.699,6213.35
16,LUT21,117.543,45285792.0,22642896.0
16,LUT22,217.244,95587.359,47793.679
16,LUT23,288.993,5201.874,2600.937
17,LUT21,117.543,45683676.0,22841838.0
17,LUT22,217.244,139687.891,69843.946
17,LUT23,288.993,28321.314,14160.657
18,LUT21,117.543,46084968.0,23042484.0
18,LUT22,217.244,99063.266,49531.633
18,LUT23,288.993,28321.314,14160.657
19,LUT21,117.543,46489668.0,23244834.0
19,LUT22,217.244,66476.664,33238.332
19,LUT23,288.993,26876.35,13438.175
20,LUT21,117.543,46906356.0,23453178.0
20,LUT22,217.244,49966.121,24983.06
20,LUT23,288.993,28321.314,14160.657
21,LUT21,117.543,47317876.0,23658938.0
21,LUT22,217.244,42362.582,21181.291
21,LUT23,288.993,27454.336,13727.168
