time_step,potential_AGB,potential_Carbon
1,166440080.0,83220040.0
2,166367728.0,83183864.0
3,167945584.0,83972792.0
4,169445520.0,84722760.0
5,170869264.0,85434632.0
6,172231600.0,86115800.0
7,173510224.0,86755112.0
8,174750336.0,87375168.0
9,175945968.0,87972984.0
10,177066208.0,88533104.0
11,178128720.0,89064360.0
12,179128320.0,89564160.0
13,180101616.0,90050808.0
14,181026032.0,90513016.0
15,181910848.0,90955424.0
16,182749920.0,91374960.0
17,166252528.0,83126264.0
18,167170240.0,83585120.0
19,167976144.0,83988072.0
20,168742240.0,84371120.0
21,169453616.0,84726808.0
22,170142784.0,85071392.0
23,170831952.0,85415976.0
24,171484768.0,85742384.0
25,172161152.0,86080576.0
26,172605296.0,86302648.0
27,173219920.0,86609960.0
28,173833408.0,86916704.0
29,174451776.0,87225888.0
30,175084528.0,87542264.0
31,175708256.0,87854128.0
32,176320368.0,88160184.0
33,176951680.0,88475840.0
34,177594784.0,88797392.0
35,178232896.0,89116448.0
36,178876768.0,89438384.0
37,178490464.0,89245232.0
38,179738400.0,89869200.0
39,180578720.0,90289360.0
40,181147536.0,90573768.0
41,181585680.0,90792840.0
42,181983088.0,90991544.0
43,182350176.0,91175088.0
44,182702480.0,91351240.0
45,183026160.0,91513080.0
46,183351968.0,91675984.0
47,183727856.0,91863928.0
48,184084880.0,92042440.0
49,184445936.0,92222968.0
50,184803872.0,92401936.0
51,185141952.0,92570976.0
52,185529936.0,92764968.0
53,185847328.0,92923664.0
54,186160320.0,93080160.0
55,186459568.0,93229784.0
56,186747040.0,93373520.0
57,188514128.0,94257064.0
58,190367840.0,95183920.0
59,191917520.0,95958760.0
60,193318272.0,96659136.0
61,194517840.0,97258920.0
62,195527104.0,97763552.0
63,196375008.0,98187504.0
64,197129264.0,98564632.0
65,197831392.0,98915696.0
66,198496624.0,99248312.0
67,199176304.0,99588152.0
68,199841376.0,99920688.0
69,200490128.0,100245064.0
70,201104544.0,100552272.0
71,201670176.0,100835088.0
72,202199680.0,101099840.0
73,202696992.0,101348496.0
74,203158240.0,101579120.0
75,203597152.0,101798576.0
76,204019008.0,102009504.0
